Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 7 FS/G,Last 14 FS/G,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
11,11,2026-07-11,Casey Schmitt,SF,COL,COL @ SF,HOME,LF,10.96,10.98,88.6,78.2,78.2,76.9,76.9,67.8,67.8,62.5,62.5,57.5,57.5,50.6,50.6,48.4,48.4,251.04,A+,Forecast 11.0 FS | Sim 11.0,4,4.82,Regular,13,1.04,Kyle Freeland,L,7.46,1.61,0.3016,0.045,0.0476,5.47,1.52,0.2555,0.0346,Oracle Park,0.94,1.01,72.3,11.2,275.0,1.0,light wind,362,342,0.281,0.309,0.494,0.803,97,0.829,96,17,1,18,41,47,9,7,7,8.86,5.64,6.0,1.386,0.193,0.0702,0.0351,0.0351,0.0,9.0,8.44,5.0,16.0,23.0,0.2262,0.0625,0.0044,0.0526,0.0387,0.0096,0.126,0.1547,0.0132,Medium
12,12,2026-07-11,Shohei Ohtani,LAD,ARI,ARI @ LAD,HOME,TWP,10.32,10.19,83.0,75.6,75.6,70.7,70.7,61.8,61.8,57.8,57.8,50.8,50.8,46.2,46.2,42.5,42.5,250.12,A,Forecast 10.3 FS | Sim 10.2,3,4.92,Regular,14,1.04,Brandon Pfaadt,R,4.84,1.34,0.2249,0.0383,0.0861,4.25,1.28,0.2262,0.0328,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,Weather unavailable,399,328,0.29,0.403,0.54,0.943,277,0.971,95,15,2,21,63,57,60,5,6,10.0,9.14,10.3,2.0,0.25,0.0625,0.0625,0.0938,0.0,8.0,8.47,4.0,16.0,22.0,0.1524,0.0378,0.0043,0.0538,0.1184,0.0097,0.1327,0.1522,0.0108,Low
13,13,2026-07-11,Willy Adames,SF,COL,COL @ SF,HOME,SS,10.47,10.59,86.1,77.0,77.0,75.1,75.1,64.8,64.8,61.1,61.1,55.1,55.1,49.0,49.0,45.9,45.9,249.62,A,Forecast 10.5 FS | Sim 10.6,3,4.92,Regular,14,1.04,Kyle Freeland,L,7.46,1.61,0.3016,0.045,0.0476,5.47,1.52,0.2555,0.0346,Oracle Park,0.94,1.01,72.3,11.2,275.0,1.0,light wind,376,349,0.226,0.279,0.421,0.7,97,0.607,79,21,1,15,45,36,25,1,2,8.43,7.36,7.13,1.807,0.2105,0.0877,0.0351,0.1404,0.0175,8.0,8.41,5.0,16.0,22.0,0.1794,0.0664,0.005,0.0506,0.0604,0.0054,0.1384,0.1265,0.0104,Medium
14,14,2026-07-11,Otto Lopez,MIA,CLE,CLE @ MIA,HOME,SS,9.81,9.54,82.9,73.2,73.2,70.6,70.6,60.1,60.1,56.6,56.6,50.4,50.4,44.6,44.6,41.5,41.5,249.32,A,Forecast 9.8 FS | Sim 9.5,1,5.13,Regular,14,1.04,Tanner Bibee,R,4.06,1.14,0.2116,0.0465,0.0698,3.76,1.26,0.211,0.0308,loanDepot park,0.96,1.0,,,,,Indoor/retractable neutral,401,372,0.341,0.374,0.516,0.89,309,0.835,127,26,6,9,61,45,19,4,17,14.29,12.86,11.6,2.769,0.3385,0.1846,0.0615,0.0615,0.0154,8.0,7.9,3.0,14.0,21.0,0.1641,0.0508,0.009,0.0377,0.0594,0.009,0.1377,0.1015,0.0206,Low
15,15,2026-07-11,Sal Stewart,CIN,CHC,CHC @ CIN,HOME,1B,10.47,10.42,80.6,72.6,72.6,69.0,69.0,59.4,59.4,56.4,56.4,50.3,50.3,46.7,46.7,43.8,43.8,248.92,A,Forecast 10.5 FS | Sim 10.4,1,5.13,Regular,14,1.04,Javier Assad,R,4.15,1.1,0.2098,0.0446,0.067,4.35,1.28,0.2202,0.041,Great American Ball Park,1.08,1.01,72.9,9.7,48.0,29.0,humid,404,354,0.257,0.339,0.477,0.816,300,0.783,91,21,0,19,50,65,45,1,11,8.71,9.86,8.8,2.262,0.2787,0.1475,0.082,0.0492,0.0,8.0,9.12,3.0,16.0,23.0,0.1258,0.0526,0.0025,0.0649,0.079,0.0061,0.1217,0.1243,0.0142,Low
16,16,2026-07-11,Trent Grisham,NYY,WSH,NYY @ WSH,AWAY,CF,10.16,9.91,82.3,74.0,74.0,71.1,71.1,60.7,60.7,57.4,57.4,51.0,51.0,46.4,46.4,42.9,42.9,248.53,A,Forecast 10.2 FS | Sim 9.9,4,4.73,Regular,13,1.04,Miles Mikolas,R,5.78,1.33,0.263,0.0521,0.0495,4.76,1.4,0.2294,0.0358,Nationals Park,1.0,1.03,84.2,4.8,332.0,12.0,warm,295,252,0.234,0.336,0.413,0.749,216,0.745,59,14,2,9,47,38,40,0,7,6.0,10.21,8.8,2.424,0.2881,0.1186,0.0339,0.0678,0.0508,8.0,8.26,3.0,15.0,21.0,0.1608,0.0589,0.0062,0.048,0.0792,0.0051,0.145,0.1474,0.0174,Low
17,17,2026-07-11,Miguel Vargas,CWS,ATH,ATH @ CWS,HOME,3B,10.01,9.66,81.0,74.5,74.5,69.5,69.5,59.9,59.9,56.6,56.6,49.5,49.5,45.3,45.3,40.9,40.9,247.5,A,Forecast 10.0 FS | Sim 9.7,1,5.13,Regular,14,1.04,Gage Jump,L,3.77,1.3,0.2376,0.0221,0.0718,5.22,1.48,0.2344,0.0399,Rate Field,1.0,1.0,,,,,Weather unavailable,401,335,0.245,0.358,0.496,0.854,120,1.024,82,19,1,21,63,59,56,5,11,10.86,11.36,8.4,2.484,0.2188,0.1719,0.0625,0.1562,0.0156,7.0,8.09,3.0,14.0,21.0,0.1283,0.0541,0.0039,0.0419,0.1125,0.0093,0.144,0.1174,0.0161,Low
18,18,2026-07-11,Yordan Alvarez,HOU,TEX,HOU @ TEX,AWAY,DH,10.03,10.04,83.0,75.6,75.6,71.0,71.0,61.5,61.5,57.3,57.3,49.6,49.6,45.3,45.3,41.4,41.4,244.55,A,Forecast 10.0 FS | Sim 10.0,1,5.13,Regular,14,1.04,Kumar Rocker,R,3.95,1.34,0.2238,0.0249,0.0884,4.07,1.25,0.2179,0.0324,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,410,343,0.312,0.417,0.621,1.038,304,1.096,107,16,0,30,63,68,59,5,1,10.43,8.71,9.77,2.0,0.2131,0.082,0.082,0.0984,0.0,7.0,8.39,4.0,15.0,22.0,0.1449,0.0391,0.0025,0.0504,0.1178,0.0097,0.1282,0.1263,0.0075,Low
19,19,2026-07-11,Juan Soto,NYM,BOS,BOS @ NYM,HOME,LF,9.8,9.51,80.8,73.0,73.0,68.0,68.0,58.1,58.1,54.0,54.0,47.2,47.2,42.8,42.8,39.0,39.0,243.1,A,Forecast 9.8 FS | Sim 9.5,3,4.84,Regular,14,1.04,TBD,R,4.2,1.25,0.224,0.03,0.085,3.65,1.23,0.2158,0.0279,Citi Field,1.0,1.03,84.8,7.0,81.0,11.0,warm,326,269,0.297,0.412,0.576,0.988,216,1.061,80,8,2,21,44,51,54,0,7,13.29,10.93,10.1,2.468,0.2097,0.0968,0.0645,0.2581,0.0161,7.0,8.18,3.0,14.0,21.0,0.1393,0.0347,0.0047,0.0484,0.1378,0.0065,0.1207,0.1579,0.0137,Low
20,20,2026-07-11,Bobby Witt Jr.,KC,BAL,KC @ BAL,AWAY,SS,9.79,9.41,82.5,74.7,74.7,70.5,70.5,60.5,60.5,56.5,56.5,49.3,49.3,44.2,44.2,39.9,39.9,242.44,A,Forecast 9.8 FS | Sim 9.4,1,5.13,Regular,13,1.04,Kyle Bradish,R,3.75,1.4,0.2168,0.028,0.1119,4.36,1.37,0.226,0.0297,Oriole Park at Camden Yards,1.01,1.01,77.8,4.8,143.0,25.0,humid,394,351,0.288,0.358,0.464,0.822,293,0.786,101,21,1,13,50,39,39,1,30,8.57,9.79,10.3,2.322,0.2542,0.1017,0.0678,0.0678,0.0339,7.0,7.76,3.0,14.0,20.0,0.1553,0.047,0.003,0.0335,0.1124,0.0092,0.1292,0.0933,0.0319,Low
21,21,2026-07-11,Freddie Freeman,LAD,ARI,ARI @ LAD,HOME,1B,9.91,9.99,83.8,75.8,75.8,72.4,72.4,62.3,62.3,58.4,58.4,51.4,51.4,46.4,46.4,42.8,42.8,242.36,A,Forecast 9.9 FS | Sim 10.0,2,5.02,Regular,14,1.04,Brandon Pfaadt,R,4.84,1.34,0.2249,0.0383,0.0861,4.25,1.28,0.2262,0.0328,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,Weather unavailable,401,348,0.293,0.379,0.494,0.873,275,0.946,102,23,1,15,52,49,47,3,3,6.14,8.71,8.97,2.033,0.3167,0.1,0.0333,0.1,0.0167,8.0,8.12,4.0,15.0,21.0,0.1641,0.0553,0.0034,0.0421,0.1002,0.0087,0.123,0.12,0.0102,Medium
