player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_fg_made,model_version
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,2,59.69,ELITE,2.005,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,3,32.55,ELITE,2.005,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,4,14.55,ELITE,2.005,NFL_FG_MADE_V1
00-0032569,Wil Lutz,DEN,KC,K,2026,REG,1,5,5.41,ELITE,2.005,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,1,94.37,ELITE,2.874,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,2,78.42,ELITE,2.874,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,3,55.34,ELITE,2.874,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,4,32.97,ELITE,2.874,NFL_FG_MADE_V1
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,2026,REG,1,5,16.88,ELITE,2.874,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,DEN,K,2026,REG,1,1,89.74,ELITE,2.272,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,DEN,K,2026,REG,1,2,66.27,ELITE,2.272,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,DEN,K,2026,REG,1,3,39.93,ELITE,2.272,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,DEN,K,2026,REG,1,4,19.66,ELITE,2.272,NFL_FG_MADE_V1
00-0033303,Harrison Butker,KC,DEN,K,2026,REG,1,5,8.12,ELITE,2.272,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,WAS,K,2026,REG,1,1,77.81,ELITE,1.51,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,WAS,K,2026,REG,1,2,44.49,ELITE,1.51,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,WAS,K,2026,REG,1,3,19.41,ELITE,1.51,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,WAS,K,2026,REG,1,4,6.73,ELITE,1.51,NFL_FG_MADE_V1
00-0033787,Jake Elliott,PHI,WAS,K,2026,REG,1,5,1.97,ELITE,1.51,NFL_FG_MADE_V1
00-0034161,Daniel Carlson,NO,DET,K,2026,REG,1,1,83.18,ELITE,1.794,NFL_FG_MADE_V1
00-0034161,Daniel Carlson,NO,DET,K,2026,REG,1,2,53.48,ELITE,1.794,NFL_FG_MADE_V1
00-0034161,Daniel Carlson,NO,DET,K,2026,REG,1,3,26.88,ELITE,1.794,NFL_FG_MADE_V1
00-0034161,Daniel Carlson,NO,DET,K,2026,REG,1,4,10.9,ELITE,1.794,NFL_FG_MADE_V1
00-0034161,Daniel Carlson,NO,DET,K,2026,REG,1,5,3.72,ELITE,1.794,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAR,K,2026,REG,1,1,88.36,ELITE,2.151,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAR,K,2026,REG,1,2,63.37,ELITE,2.151,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAR,K,2026,REG,1,3,36.4,ELITE,2.151,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAR,K,2026,REG,1,4,17.15,ELITE,2.151,NFL_FG_MADE_V1
00-0034173,Eddy Pineiro,SF,LAR,K,2026,REG,1,5,6.88,ELITE,2.151,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,NYJ,K,2026,REG,1,1,79.01,ELITE,1.566,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,NYJ,K,2026,REG,1,2,46.23,ELITE,1.566,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,NYJ,K,2026,REG,1,3,20.93,ELITE,1.566,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,NYJ,K,2026,REG,1,4,7.58,ELITE,1.566,NFL_FG_MADE_V1
00-0035192,Joey Slye,TEN,NYJ,K,2026,REG,1,5,2.23,ELITE,1.566,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,MIA,K,2026,REG,1,1,87.87,ELITE,2.13,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,MIA,K,2026,REG,1,2,62.75,ELITE,2.13,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,MIA,K,2026,REG,1,3,36.06,ELITE,2.13,NFL_FG_MADE_V1
00-0035269,Matt Gay,LV,MIA,K,2026,REG,1,4,16.89,ELITE,2.13,NFL_FG_MADE_V1
