player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,pat_make_rate,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0041582,Kansei Matsuzawa,LV,HOU,K,K,E14,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,away,1.821,1.92,94.5,,,1.0,55.0,0,0.915,1.821,2.0,0.0,4.0,1.34,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.85,54.68,27.54,11.18,3.55,0.99
00-0041333,Mason Shipley,NO,LAR,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,1.817,1.92,94.5,,,1.0,55.0,0,0.915,1.817,2.0,0.0,4.0,1.346,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.82,54.44,26.95,11.13,3.94,1.11
00-0041182,Drew Stevens,WAS,DET,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,away,1.814,1.92,94.5,,,1.0,55.0,0,0.915,1.814,2.0,0.0,4.0,1.348,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.55,53.93,27.6,11.26,3.72,1.11
00-0040279,Ryan Fitzgerald,CAR,JAX,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CAR_JAX,,away,1.806,1.96,92.45,1.967,2.137,1.0,68.2,17,0.915,1.806,2.0,0.0,4.0,1.356,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.32,53.46,27.21,11.34,3.85,1.12
00-0040899,Trey Smack,GB,DEN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,1.812,1.92,94.5,,,1.0,55.0,0,0.915,1.812,2.0,0.0,4.0,1.346,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.19,53.8,28.2,11.37,3.59,0.81
00-0035192,Joey Slye,TEN,SEA,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SEA_TEN,,home,1.814,1.9,94.76,2.02,2.077,1.0,74.2,44,0.915,1.814,2.0,0.0,4.0,1.359,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,83.14,54.0,27.47,11.56,3.85,1.01
00-0041174,Gabriel Plascencia,CHI,CIN,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,1.805,1.92,94.5,,,1.0,55.0,0,0.915,1.805,2.0,0.0,4.0,1.363,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,82.88,53.84,27.34,10.94,3.71,1.33
00-0035358,Chase McLaughlin,TB,KC,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,home,1.72,1.78,97.38,1.95,1.95,1.0,87.1,50,0.915,1.72,2.0,0.0,4.0,1.313,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,81.92,51.36,24.68,10.05,3.06,0.81
00-0025565,Nick Folk,ATL,IND,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,away,1.698,1.73,98.2,1.887,1.887,1.0,74.7,38,0.915,1.698,2.0,0.0,3.0,1.301,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,81.82,50.45,24.52,8.97,3.1,0.8
00-0038428,Andre Szmyt,CLE,BUF,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,home,1.613,1.7,95.28,1.815,1.861,1.0,74.1,14,0.915,1.613,1.0,0.0,3.0,1.254,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,80.67,48.15,21.63,7.68,2.32,0.65
00-0038905,Blake Grupe,IND,ATL,K,K,ACT,2026,PRE,2,2026 PRE W2,2026_PRE_W2_ATL_IND,,home,1.539,1.57,98.0,1.717,1.717,1.0,73.4,42,0.915,1.539,1.0,0.0,3.0,1.234,ADVANCED_PAT_MADE,10000,NFL_PAT_MADE_V1,78.7,45.58,20.23,6.85,1.95,0.41
