Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-06,Los Angeles Angels @ Baltimore Orioles,Oriole Park at Camden Yards,1.008,1.007,86.1,75.0,6.5,SSW,194.0,2.0,Clear,3.1,4.5,56.8,C,92.0,Baltimore Orioles,Jackson Holliday,Ryan Johnson,0.0,0,0,3.8,1.2,1.2,0.56,0.4,2.2,46.7,0.4,0|0|0|0|2,08/05|08/04|08/02|08/01|07/31,2.0,0|0|0|0|2|6|2|6|1|3,08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,1.8,0|0|0|0|2|6|2|6|1|3|3|1|2|0|1,08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20|07/19,84.5,59.6,36.2,20.0,10.4,4.9,2.2,2.11,108.1
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Boston Red Sox,Ceddanne Rafaela,Luis Castillo,0.2,1,5,4.6,1.17,1.91,1.26,1.74,4.89,73.3,4.6,0|5|5|6|7,08/05|08/04|08/02|08/01|07/31,3.8,0|5|5|6|7|4|2|1|6|2,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,3.4,0|5|5|6|7|4|2|1|6|2|0|5|0|5|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20,97.5,90.7,79.7,65.0,49.4,36.0,25.4,4.26,202.0
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Boston Red Sox,Andruw Monasterio,Luis Castillo,0.0,0,2,5.0,1.17,1.97,0.94,1.05,3.99,80.0,2.8,2|5|2|2|3,08/05|08/04|08/02|08/01|07/31,2.7,2|5|2|2|3|3|6|0|1|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.53,2|5|2|2|3|3|6|0|1|3|1|2|2|2|4,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/19|07/18,95.4,84.2,69.2,52.6,37.4,24.2,15.1,3.05,160.0
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Boston Red Sox,Caleb Durbin,Luis Castillo,1.0,2,2,4.7,1.17,1.56,1.09,0.89,3.49,53.3,3.4,2|8|3|0|4,08/05|08/04|08/02|08/01|07/31,2.7,2|8|3|0|4|1|4|1|1|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.4,2|8|3|0|4|1|4|1|1|3|0|0|0|6|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/22|07/20,94.3,80.0,62.0,43.4,28.2,17.6,10.2,2.92,144.9
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Wrigley Field,1.018,1.001,69.0,96.0,2.3,E,101.0,7.0,Overcast,0.7,1.0,51.5,C,92.0,Chicago Cubs,Alex Bregman,Dylan Cease,0.2,3,15,5.0,0.85,1.44,1.05,0.4,2.9,60.0,1.6,2|2|2|0|2,08/05|08/04|08/03|08/02|08/01,2.9,2|2|2|0|2|1|5|1|5|9,08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27,2.4,2|2|2|0|2|1|5|1|5|9|0|0|0|3|4,08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25|07/24|07/22|07/21|07/20,90.5,72.8,51.9,33.4,19.7,10.9,5.7,2.83,141.9
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Wrigley Field,1.018,1.001,69.0,96.0,2.3,E,101.0,7.0,Overcast,0.7,1.0,51.5,C,92.0,Chicago Cubs,Pete Crow-Armstrong,Dylan Cease,0.5,2,4,3.7,0.85,1.05,0.72,0.89,2.68,66.7,4.0,9|4|3|0|4,08/05|08/04|08/03|08/02|08/01,2.7,9|4|3|0|4|0|2|4|1|0,08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27,3.2,9|4|3|0|4|0|2|4|1|0|2|10|4|0|5,08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21,89.7,69.9,47.1,28.5,16.3,8.5,4.2,3.99,184.0
2026-08-06,Toronto Blue Jays @ Chicago Cubs,Wrigley Field,1.018,1.001,69.0,96.0,2.3,E,101.0,7.0,Overcast,0.7,1.0,51.5,C,92.0,Chicago Cubs,Seiya Suzuki,Dylan Cease,0.0,0,3,3.7,0.85,0.89,0.67,0.89,2.45,80.0,2.8,2|2|5|3|2,08/05|08/04|08/03|08/02|08/01,3.0,2|2|5|3|2|1|1|7|3|4,08/05|08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/26,2.93,2|2|5|3|2|1|1|7|3|4|3|1|3|3|4,08/05|08/04|08/03|08/02|08/01|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20,87.6,65.6,42.7,24.6,13.1,6.1,2.8,3.71,177.5
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Chicago White Sox,Munetaka Murakami,Ranger Suarez,0.0,0,0,3.7,0.85,0.89,0.73,0.51,2.12,40.0,1.8,0|1|1|1|6,08/05|08/04|08/02|08/01|07/31,3.0,0|1|1|1|6|1|5|1|2|12,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.53,0|1|1|1|6|1|5|1|2|12|1|2|1|1|3,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20,84.6,58.9,34.9,18.4,8.8,4.0,1.7,3.09,139.8
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Chicago White Sox,Chase Meidroth,Ranger Suarez,0.0,0,0,4.6,0.85,0.9,0.63,0.56,2.1,60.0,1.2,0|2|4|0|0,08/05|08/04|08/02|08/01|07/31,1.9,0|2|4|0|0|1|2|4|2|4,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.0,0|2|4|0|0|1|2|4|2|4|0|3|6|0|2,08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20,84.2,58.5,35.1,17.9,8.2,3.6,1.6,2.45,124.3
2026-08-06,Chicago White Sox @ Boston Red Sox,Fenway Park,1.03,1.007,88.5,56.0,8.8,SW,232.0,9.0,Clear,3.3,4.8,57.3,B,92.0,Chicago White Sox,Andrew Benintendi,Ranger Suarez,0.0,0,1,5.0,0.85,0.91,0.31,0.84,2.07,53.3,2.0,1|3|0|4|2,08/05|08/02|08/01|07/31|07/30,1.5,1|3|0|4|2|2|1|0|2|0,08/05|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,1.8,1|3|0|4|2|2|1|0|2|0|1|4|0|4|3,08/05|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,83.9,57.4,33.3,17.3,8.5,3.8,1.6,2.25,114.6
