Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
24,2026-07-19,824330,2026-07-19T19:10:00Z,Scheduled,Coors Field,Cincinnati Reds @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,Cincinnati Reds,C,R,No,,91,380,342,86,15,0,27,59,51,32,4,124,0.251,0.321,0.532,0.853,7,28,23,5,0,0.217,0.0,21,84,75,20,6,0.267,0.0714,0.0711,0.0617,4.09,33,10,12.7,2.61,260.5,Very long drought,668881.0,Hunter Greene,R,RHB vs RHP,2,2,10.1,6.97,1.45,1,0.87,16.55,4.35,0.885,0.995,0.985,1.03,1.06,22.92,21.82,83.7,57.7,D+,Lineup unconfirmed
25,2026-07-19,822786,2026-07-19T16:15:00Z,Scheduled,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,808959,Munetaka Murakami,Chicago White Sox,Toronto Blue Jays,1B,L,No,,61,264,215,50,5,0,20,46,42,47,1,88,0.233,0.371,0.535,0.906,4,18,15,2,0,0.133,0.0,4,18,15,2,0,0.133,0.0,0.0758,0.0621,4.23,19,6,10.8,1.77,176.7,Above normal drought,702056.0,Trey Yesavage,R,LHB vs RHP,14,14,75.0,3.72,1.16,7,0.84,8.28,4.68,0.857,0.958,1.025,1.03,1.035,23.75,21.53,72.3,53.1,D,Lineup unconfirmed; Limited recent games
26,2026-07-19,824978,2026-07-19T20:05:00Z,Scheduled,Sutter Health Park,Washington Nationals @ Athletics,Home,669127,Shea Langeliers,Athletics,Washington Nationals,C,R,No,,87,390,354,91,16,0,22,53,47,30,5,88,0.257,0.323,0.489,0.812,7,27,24,4,2,0.167,0.0741,18,73,66,12,3,0.182,0.0411,0.0564,0.0507,4.09,0,0,16.1,0.0,0.0,Very recent HR,656492.0,Foster Griffin,L,RHB vs LHP,19,19,110.1,2.77,1.02,17,1.39,8.89,2.12,1.068,1.046,1.025,1.0,0.98,19.16,21.29,82.8,48.1,F,Lineup unconfirmed
27,2026-07-19,824411,2026-07-19T17:40:00Z,Scheduled,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,656811,Ryan O'Hearn,Pittsburgh Pirates,Cleveland Guardians,RF,L,No,,83,339,306,88,13,0,16,49,63,26,5,74,0.288,0.351,0.487,0.838,7,25,21,7,3,0.333,0.12,22,90,81,24,5,0.296,0.0556,0.0472,0.0432,4.15,16,6,19.1,0.84,83.7,Near normal interval,676282.0,Joey Cantillo,L,LHB vs LHP,20,20,101.0,3.56,1.4,12,1.07,9.36,4.37,1.315,0.995,0.985,1.0,1.0,16.75,21.18,83.4,48.8,F,Lineup unconfirmed
28,2026-07-19,824978,2026-07-19T20:05:00Z,Scheduled,Sutter Health Park,Washington Nationals @ Athletics,Away,682928,CJ Abrams,Washington Nationals,Athletics,SS,L,No,,94,400,350,97,18,2,20,57,68,34,10,85,0.277,0.353,0.511,0.864,7,32,27,10,2,0.37,0.0625,20,84,75,19,5,0.253,0.0595,0.05,0.0458,4.15,17,4,17.5,0.97,97.1,Near normal interval,682052.0,Jacob Lopez,L,LHB vs LHP,14,11,55.1,6.83,1.79,11,1.79,6.99,5.53,1.134,1.087,0.985,1.0,1.0,17.7,21.15,83.7,49.8,F,Lineup unconfirmed
29,2026-07-19,824330,2026-07-19T19:10:00Z,Scheduled,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,553993,Eugenio Suárez,Cincinnati Reds,Colorado Rockies,DH,R,No,,68,271,244,52,11,0,12,24,36,24,2,97,0.213,0.288,0.406,0.694,7,29,26,7,4,0.269,0.1379,20,81,70,15,5,0.214,0.0617,0.0443,0.0405,3.99,0,0,20.3,0.0,0.0,Very recent HR,663372.0,Ryan Feltner,R,RHB vs RHP,13,13,63.1,4.55,1.29,11,1.56,6.68,3.41,1.35,1.066,0.985,1.0,0.98,15.21,20.64,77.8,44.6,F,Lineup unconfirmed
30,2026-07-19,823439,2026-07-19T17:35:00Z,Scheduled,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Away,682626,Francisco Alvarez,New York Mets,Philadelphia Phillies,C,R,No,,65,236,212,55,7,0,11,21,24,18,3,61,0.259,0.325,0.448,0.773,6,24,21,8,2,0.381,0.0833,20,77,71,19,6,0.268,0.0779,0.0466,0.0417,4.05,0,0,19.3,0.0,0.0,Very recent HR,660604.0,Alan Rangel,R,RHB vs RHP,5,2,19.1,4.19,1.4,3,1.4,10.24,4.19,1.35,1.013,0.985,1.0,0.98,15.84,20.49,75.0,45.1,F,Lineup unconfirmed
31,2026-07-19,825057,2026-07-19T20:10:00Z,Scheduled,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,676369,Nelson Velázquez,St. Louis Cardinals,Arizona Diamondbacks,LF,R,No,,24,65,57,14,3,0,4,10,12,6,1,16,0.246,0.323,0.509,0.832,5,13,13,2,1,0.154,0.0769,11,30,26,4,2,0.154,0.0667,0.0615,0.0424,4.15,5,2,14.2,0.35,35.1,Recently homered,593958.0,Eduardo Rodriguez,L,RHB vs LHP,19,19,114.0,2.29,1.17,12,0.95,6.24,3.08,1.255,0.976,1.025,1.0,1.0,16.45,20.29,59.0,43.5,F,Small season sample; Lineup unconfirmed
32,2026-07-19,824653,2026-07-19T18:20:00Z,Scheduled,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,673548,Seiya Suzuki,Chicago Cubs,Minnesota Twins,RF,R,No,,81,347,305,82,15,0,15,48,48,36,3,89,0.269,0.349,0.466,0.815,7,30,28,9,2,0.321,0.0667,20,92,82,22,5,0.268,0.0543,0.0432,0.0403,4.09,16,4,20.3,0.79,78.7,Recently homered,805673.0,Zebby Matthews,R,RHB vs RHP,11,11,67.0,4.57,1.22,14,1.88,7.25,2.42,1.206,1.119,0.985,1.0,1.0,15.5,20.19,84.1,46.7,F,Lineup unconfirmed
33,2026-07-19,824168,2026-07-19T18:10:00Z,Scheduled,Daikin Park,Baltimore Orioles @ Houston Astros,Away,691723,Coby Mayo,Baltimore Orioles,Houston Astros,3B,R,No,,75,250,227,44,9,0,12,31,34,19,3,82,0.194,0.264,0.392,0.656,6,13,11,3,2,0.273,0.1538,16,49,43,8,3,0.186,0.0612,0.048,0.0428,3.99,4,2,18.9,0.21,21.1,Very recent HR,686613.0,Hunter Brown,R,RHB vs RHP,7,7,35.1,3.57,1.39,5,1.27,9.93,5.6,1.3,1.014,0.985,1.0,0.98,16.02,20.03,73.8,42.5,F,Lineup unconfirmed
