Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
59,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Home,669394,Jake Burger,Texas Rangers,Seattle Mariners,1B,R,No,,99,402,367,88,15,0,18,43,64,30,3,105,0.24,0.301,0.428,0.729,7,30,29,7,2,0.241,0.0667,20,84,79,15,4,0.19,0.0476,22,22,13.6,40.9,46.2,23.1,30.8,18.2,27.3,50.0,31.8,13.6,9.1,13.6,66.7,84.0,13.8,0.611,77.2,56.0,Average,3.0,Pull Power,A,Excellent HR swing plane,56.0,Average,1.017,Good,2.43,-15.57,Strong negative regression,Average Pull Power profile. 13.6% barrel rate; 84.0 mph average exit velocity; 27.3% air-ball rate; 50.0% pull-air rate; 13.6% HR-launch rate.,0.0448,0.0418,3.99,0,0,20.4,0.0,0.0,Very recent HR,669302,Logan Gilbert,R,RHB vs RHP,20,20,120.0,3.38,0.98,15,1.13,9.68,1.88,1.155,1.005,0.985,1.0,1.017,1.017,0.98,15.68,17.71,83.7,41.2,D+,Lineup unconfirmed
60,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Away,670042,Luke Raley,Seattle Mariners,Texas Rangers,RF,L,Yes,7.0,90,278,255,59,9,1,15,28,39,13,7,90,0.231,0.286,0.451,0.737,8,19,19,5,1,0.263,0.0526,18,55,52,10,1,0.192,0.0182,10,10,0.0,50.0,71.4,0.0,28.6,30.0,60.0,66.7,40.0,0.0,0.0,0.0,,90.6,28.4,0.475,72.5,47.0,Below Average,3.0,Pull Power,C+,High fly-ball plane,47.0,Below Average,0.992,Small Statcast sample,0.17,-14.83,Strong negative regression,Below Average Pull Power profile. 0.0% barrel rate; 90.6 mph average exit velocity; 60.0% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.054,0.0473,4.08,11,5,17.0,0.65,64.7,Recently homered,594798,Jacob deGrom,R,LHB vs RHP,19,19,105.1,3.76,1.05,16,1.37,10.94,2.05,0.926,1.043,1.025,1.0,0.992,0.992,1.0,17.95,17.64,88.3,41.9,D+,Good
61,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Away,702284,Cole Young,Seattle Mariners,Texas Rangers,2B,L,Yes,1.0,105,416,379,96,14,1,13,48,48,26,7,73,0.253,0.311,0.398,0.709,8,32,31,8,2,0.258,0.0625,22,84,80,21,6,0.262,0.0714,41,41,0.0,12.2,42.1,26.3,31.6,12.2,24.4,20.0,19.5,2.4,0.0,2.4,,79.6,22.1,0.327,69.3,4.9,Weak,1.0,Contact-First Profile,A-,Elevated power plane,4.9,Weak,0.88,Good,0.29,-12.71,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 79.6 mph average exit velocity; 24.4% air-ball rate; 20.0% pull-air rate; 2.4% HR-launch rate.,0.0312,0.0314,4.75,20,5,29.2,0.69,68.6,Recently homered,594798,Jacob deGrom,R,LHB vs RHP,19,19,105.1,3.76,1.05,16,1.37,10.94,2.05,1.35,1.043,1.025,1.0,0.88,0.88,1.0,14.07,17.59,95.0,42.3,C-,Good
62,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Away,606466,Ketel Marte,Arizona Diamondbacks,Washington Nationals,2B,S,Yes,4.0,100,441,404,103,20,3,18,57,60,31,2,65,0.255,0.308,0.453,0.761,8,36,33,8,1,0.242,0.0278,23,102,94,22,5,0.234,0.049,26,26,3.8,23.1,47.4,15.8,36.8,34.6,42.3,36.4,23.1,11.5,3.8,11.5,100.0,85.4,18.4,0.502,76.0,27.6,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,27.6,Weak,0.937,Good,1.2,-16.8,Strong negative regression,Weak Contact-First Profile profile. 3.8% barrel rate; 85.3 mph average exit velocity; 42.3% air-ball rate; 36.4% pull-air rate; 11.5% HR-launch rate.,0.0408,0.0389,4.48,16,4,22.4,0.71,71.3,Recently homered,571945,Miles Mikolas,R,Switch vs RHP,21,8,98.0,5.6,1.34,21,1.93,4.68,1.84,0.984,1.133,1.035,1.0,0.937,0.937,1.0,16.3,17.52,95.0,43.0,C-,Good
63,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Away,701398,Sal Stewart,Cincinnati Reds,St. Louis Cardinals,1B,R,No,,103,449,395,99,23,0,21,54,75,46,2,95,0.251,0.327,0.468,0.795,8,35,32,6,2,0.188,0.0571,23,102,94,24,7,0.255,0.0686,32,32,6.2,18.8,38.9,33.3,27.8,18.8,31.2,40.0,43.8,6.2,3.1,6.2,100.0,84.4,20.2,0.67,68.2,28.4,Weak,2.0,Contact-First Profile,A-,Elevated power plane,28.4,Weak,0.94,Good,1.76,-19.24,Strong negative regression,Weak Contact-First Profile profile. 6.2% barrel rate; 84.4 mph average exit velocity; 31.2% air-ball rate; 40.0% pull-air rate; 6.2% HR-launch rate.,0.0468,0.0437,4.05,9,2,18.8,0.48,47.8,Recently homered,681517,Kyle Leahy,R,RHB vs RHP,19,19,95.1,3.59,1.35,10,0.94,7.46,3.12,1.171,0.974,0.985,1.0,0.94,0.94,1.0,16.54,17.4,85.0,41.9,D+,Lineup unconfirmed
64,2026-07-26,824730,2026-07-26T17:35:00Z,Pre-Game,Fenway Park,Toronto Blue Jays @ Boston Red Sox,Home,677800,Wilyer Abreu,Boston Red Sox,Toronto Blue Jays,RF,L,Yes,3.0,101,438,387,98,21,3,15,52,50,42,2,91,0.253,0.326,0.439,0.765,9,38,34,6,4,0.176,0.1053,23,101,86,16,5,0.186,0.0495,26,26,0.0,15.4,28.6,21.4,50.0,19.2,30.8,12.5,19.2,7.7,0.0,7.7,,74.1,14.7,0.297,71.8,8.0,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,8.0,Weak,0.882,Good,0.28,-14.72,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 74.1 mph average exit velocity; 30.8% air-ball rate; 12.5% pull-air rate; 7.7% HR-launch rate.,0.0342,0.0338,4.49,23,6,25.8,0.89,89.1,Near normal interval,592332,Kevin Gausman,R,LHB vs RHP,21,21,115.2,4.51,1.28,15,1.17,9.1,2.65,1.348,1.011,1.025,1.0,0.882,0.882,1.0,14.29,17.38,95.0,43.5,C-,Good
65,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Home,691023,Jordan Walker,St. Louis Cardinals,Cincinnati Reds,RF,R,Yes,3.0,102,434,393,114,23,0,22,65,77,35,3,107,0.29,0.35,0.517,0.867,9,39,36,9,0,0.25,0.0,24,100,86,25,4,0.291,0.04,35,35,8.6,28.6,50.0,27.8,22.2,2.9,22.9,50.0,28.6,5.7,5.7,5.7,0.0,84.4,17.5,0.5,76.7,34.2,Weak,2.5,Pull Power,A,Excellent HR swing plane,34.2,Weak,0.956,Good,2.48,-19.52,Strong negative regression,Weak Pull Power profile. 8.6% barrel rate; 84.4 mph average exit velocity; 22.9% air-ball rate; 50.0% pull-air rate; 5.7% HR-launch rate.,0.0507,0.0466,4.49,46,12,17.9,2.58,257.5,Very long drought,671096,Andrew Abbott,L,RHB vs LHP,21,21,111.0,3.89,1.4,16,1.3,7.3,4.05,0.831,1.032,1.025,1.0,0.956,0.956,1.06,19.3,17.35,95.0,52.3,C,Good
66,2026-07-26,823194,2026-07-26T20:05:00Z,Scheduled,Oracle Park,Los Angeles Angels @ San Francisco Giants,Home,642715,Willy Adames,San Francisco Giants,Los Angeles Angels,SS,R,No,,99,416,387,87,23,1,18,50,45,27,1,121,0.225,0.276,0.429,0.705,8,32,30,5,3,0.167,0.0938,20,81,73,15,4,0.205,0.0494,21,21,4.8,14.3,33.3,33.3,33.3,23.8,28.6,33.3,33.3,9.5,4.8,9.5,100.0,79.0,14.1,0.51,70.1,25.1,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,25.1,Weak,0.93,Good,0.95,-17.05,Strong negative regression,Weak Contact-First Profile profile. 4.8% barrel rate; 79.0 mph average exit velocity; 28.6% air-ball rate; 33.3% pull-air rate; 9.5% HR-launch rate.,0.0433,0.0407,3.93,14,4,21.5,0.65,65.1,Recently homered,667755,José Soriano,R,RHB vs RHP,21,21,118.0,3.43,1.25,12,0.92,9.31,4.12,1.302,0.971,0.985,1.0,0.93,0.93,1.0,15.08,17.31,83.5,40.2,D+,Lineup unconfirmed
67,2026-07-26,824572,2026-07-26T18:10:00Z,Pre-Game,Rate Field,Houston Astros @ Chicago White Sox,Home,695657,Colson Montgomery,Chicago White Sox,Houston Astros,SS,L,No,,98,411,367,80,17,0,24,48,59,34,9,131,0.218,0.299,0.46,0.759,7,30,26,5,1,0.192,0.0333,21,91,86,18,4,0.209,0.044,20,20,10.0,20.0,42.9,21.4,28.6,25.0,30.0,33.3,15.0,10.0,5.0,10.0,50.0,83.6,28.5,0.437,76.5,28.7,Weak,2.0,Contact-First Profile,C+,High fly-ball plane,28.7,Weak,0.94,Good,1.59,-22.41,Strong negative regression,Weak Contact-First Profile profile. 10.0% barrel rate; 83.6 mph average exit velocity; 30.0% air-ball rate; 33.3% pull-air rate; 10.0% HR-launch rate.,0.0584,0.0524,3.99,15,4,15.3,0.98,98.1,Near normal interval,669854,Ronel Blanco,R,LHB vs RHP,1,1,4.2,7.71,1.07,2,3.86,15.43,5.79,0.891,1.026,1.025,1.0,0.94,0.94,1.0,19.34,17.2,84.3,42.0,C-,Lineup unconfirmed
68,2026-07-26,823194,2026-07-26T20:05:00Z,Scheduled,Oracle Park,Los Angeles Angels @ San Francisco Giants,Home,669477,Casey Schmitt,San Francisco Giants,Los Angeles Angels,LF,R,No,,96,404,382,104,17,1,21,47,55,11,7,79,0.272,0.302,0.487,0.789,8,34,32,6,2,0.188,0.0588,23,95,89,19,5,0.213,0.0526,30,30,10.0,30.0,80.0,0.0,20.0,20.0,23.3,85.7,20.0,10.0,6.7,10.0,66.7,83.4,29.2,0.631,71.6,38.8,Below Average,2.5,Pull Power,C+,High fly-ball plane,38.8,Below Average,0.969,Good,2.74,-18.26,Strong negative regression,Below Average Pull Power profile. 10.0% barrel rate; 83.4 mph average exit velocity; 23.3% air-ball rate; 85.7% pull-air rate; 10.0% HR-launch rate.,0.052,0.0474,3.99,4,1,18.2,0.22,22.0,Very recent HR,667755,José Soriano,R,RHB vs RHP,21,21,118.0,3.43,1.25,12,0.92,9.31,4.12,1.073,0.971,0.985,1.0,0.969,0.969,0.98,17.62,17.19,84.6,41.4,D+,Lineup unconfirmed
69,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Away,668709,JJ Bleday,Cincinnati Reds,St. Louis Cardinals,LF,L,Yes,3.0,75,317,269,64,11,1,17,39,44,43,2,65,0.238,0.345,0.476,0.821,8,33,29,6,1,0.207,0.0303,23,94,81,19,4,0.235,0.0426,30,30,6.7,20.0,28.6,35.7,35.7,20.0,36.7,27.3,36.7,10.0,6.7,10.0,50.0,87.0,20.3,0.748,72.9,29.8,Weak,2.0,Contact-First Profile,A-,Elevated power plane,29.8,Weak,0.943,Good,1.85,-15.15,Strong negative regression,Weak Contact-First Profile profile. 6.7% barrel rate; 87.0 mph average exit velocity; 36.7% air-ball rate; 27.3% pull-air rate; 10.0% HR-launch rate.,0.0536,0.0477,4.55,7,2,15.8,0.44,44.2,Recently homered,681517,Kyle Leahy,R,LHB vs RHP,19,19,95.1,3.59,1.35,10,0.94,7.46,3.12,0.9,0.974,1.025,1.0,0.943,0.943,1.0,19.93,17.13,94.2,43.2,C-,Good
70,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Away,642215,Weston Wilson,Seattle Mariners,Texas Rangers,3B,R,No,,37,78,70,16,2,0,3,10,10,7,1,22,0.229,0.308,0.386,0.694,6,14,13,4,1,0.308,0.0714,13,25,24,6,2,0.25,0.08,17,17,5.9,17.6,44.4,22.2,33.3,17.6,29.4,60.0,23.5,5.9,5.9,5.9,100.0,76.9,15.7,0.408,71.9,32.8,Weak,2.5,Pull Power,A,Excellent HR swing plane,32.8,Weak,0.952,Small Statcast sample,0.91,-2.09,Negative regression,Weak Pull Power profile. 5.9% barrel rate; 76.9 mph average exit velocity; 29.4% air-ball rate; 60.0% pull-air rate; 5.9% HR-launch rate.,0.0385,0.0345,4.05,5,3,23.3,0.21,21.4,Very recent HR,594798,Jacob deGrom,R,RHB vs RHP,19,19,105.1,3.76,1.05,16,1.37,10.94,2.05,1.35,1.043,0.985,1.0,0.952,0.952,0.98,13.27,16.91,59.6,36.1,D+,Small season sample; Lineup unconfirmed
71,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Home,676369,Nelson Velázquez,St. Louis Cardinals,Cincinnati Reds,LF,R,Yes,7.0,29,74,65,14,3,0,4,10,12,7,1,23,0.215,0.297,0.446,0.743,5,9,8,0,0,0.0,0.0,14,34,29,4,2,0.138,0.0588,5,5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,80.5,29.0,0.129,72.2,40.3,Below Average,2.5,Contact-First Profile,C+,High fly-ball plane,40.3,Below Average,0.973,Small Statcast sample,0.0,-4.0,Strong negative regression,Below Average Contact-First Profile profile. 0.0% barrel rate; 80.5 mph average exit velocity; 0.0% air-ball rate; 0.0% HR-launch rate; 0.0% ideal HR-contact rate.,0.0541,0.0404,4.02,13,7,16.2,0.8,80.0,Near normal interval,671096,Andrew Abbott,L,RHB vs LHP,21,21,111.0,3.89,1.4,16,1.3,7.3,4.05,1.082,1.032,1.025,1.0,0.973,0.973,1.0,15.28,16.9,72.0,38.7,D+,Small season sample
72,2026-07-26,822870,2026-07-26T18:35:00Z,Pre-Game,Globe Life Field,Seattle Mariners @ Texas Rangers,Away,686527,Dominic Canzone,Seattle Mariners,Texas Rangers,DH,L,Yes,3.0,90,284,253,64,14,1,15,34,42,26,3,60,0.253,0.327,0.494,0.821,7,30,26,4,0,0.154,0.0,18,75,69,14,3,0.203,0.04,29,29,0.0,13.8,38.5,38.5,23.1,10.3,20.7,33.3,27.6,3.4,0.0,3.4,,78.7,19.1,0.27,71.1,12.1,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,12.1,Weak,0.894,Good,0.32,-14.68,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 78.7 mph average exit velocity; 20.7% air-ball rate; 33.3% pull-air rate; 3.4% HR-launch rate.,0.0528,0.0466,4.55,34,9,16.9,2.02,201.6,Very long drought,594798,Jacob deGrom,R,LHB vs RHP,19,19,105.1,3.76,1.05,16,1.37,10.94,2.05,0.831,1.043,1.025,1.0,0.894,0.894,1.06,19.53,16.67,90.3,47.7,C-,Good
73,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Away,543510,James McCann,Arizona Diamondbacks,Washington Nationals,C,R,No,,27,81,77,20,3,0,3,7,15,2,0,21,0.26,0.278,0.416,0.694,3,12,11,5,1,0.455,0.0833,5,19,18,8,3,0.444,0.1579,10,10,10.0,20.0,50.0,0.0,50.0,40.0,40.0,50.0,30.0,10.0,10.0,10.0,100.0,79.8,14.2,0.963,70.4,48.1,Average,3.0,Pull Power,A,Excellent HR swing plane,48.1,Average,0.995,Small Statcast sample,0.8,-2.2,Negative regression,Average Pull Power profile. 10.0% barrel rate; 79.8 mph average exit velocity; 40.0% air-ball rate; 50.0% pull-air rate; 10.0% HR-launch rate.,0.037,0.034,3.99,3,1,25.7,0.12,11.7,Very recent HR,571945,Miles Mikolas,R,RHB vs RHP,21,8,98.0,5.6,1.34,21,1.93,4.68,1.84,1.206,1.133,0.985,1.0,0.995,0.995,0.98,12.9,16.65,59.3,35.6,D,Lineup unconfirmed
74,2026-07-26,823678,2026-07-26T18:10:00Z,Pre-Game,Target Field,Athletics @ Minnesota Twins,Away,701762,Nick Kurtz,Athletics,Minnesota Twins,1B,L,Yes,2.0,93,416,338,89,15,1,20,61,66,76,2,134,0.263,0.401,0.491,0.892,1,4,4,0,0,0.0,0.0,12,45,42,6,1,0.143,0.0222,7,7,0.0,14.3,,,,0.0,0.0,,14.3,0.0,0.0,0.0,,68.6,1.3,,76.0,36.4,Below Average,2.5,Contact-First Profile,D,Ground-ball heavy,36.4,Below Average,0.962,Small Statcast sample,0.0,-20.0,Strong negative regression,Below Average Contact-First Profile profile. 0.0% barrel rate; 68.6 mph average exit velocity; 0.0% air-ball rate; 0.0% HR-launch rate; 0.0% ideal HR-contact rate.,0.0481,0.0445,4.65,22,6,16.9,1.3,130.2,Near normal interval,687570,Connor Prielipp,L,LHB vs LHP,13,13,66.2,5.0,1.37,8,1.08,9.59,3.38,0.91,0.997,0.985,1.0,0.962,0.962,1.0,19.07,16.58,92.6,45.6,C-,Good
75,2026-07-26,823194,2026-07-26T20:05:00Z,Scheduled,Oracle Park,Los Angeles Angels @ San Francisco Giants,Away,666176,Jo Adell,Los Angeles Angels,San Francisco Giants,RF,R,No,,104,430,400,97,15,1,15,45,57,14,14,95,0.243,0.291,0.398,0.689,8,31,28,6,2,0.214,0.0645,22,84,76,17,4,0.224,0.0476,28,28,10.7,32.1,50.0,21.4,28.6,17.9,32.1,55.6,35.7,14.3,7.1,14.3,66.7,82.9,13.5,0.936,77.5,50.8,Average,3.0,Pull Power,A,Excellent HR swing plane,50.8,Average,1.002,Good,2.59,-12.41,Strong negative regression,Average Pull Power profile. 10.7% barrel rate; 82.9 mph average exit velocity; 32.1% air-ball rate; 55.6% pull-air rate; 14.3% HR-launch rate.,0.0349,0.0343,4.05,9,3,26.7,0.34,33.8,Very recent HR,687931,Carson Whisenhunt,L,RHB vs LHP,2,2,10.2,3.38,1.41,1,0.84,5.06,5.06,1.265,0.994,1.025,1.0,1.002,1.002,0.98,13.17,16.43,83.7,38.6,D+,Lineup unconfirmed
76,2026-07-26,822706,2026-07-26T17:35:00Z,Pre-Game,Nationals Park,Arizona Diamondbacks @ Washington Nationals,Home,686611,Dylan Crews,Washington Nationals,Arizona Diamondbacks,RF,R,Yes,3.0,54,221,197,43,6,0,8,31,23,17,7,49,0.218,0.303,0.371,0.674,7,32,22,6,2,0.273,0.0625,21,89,71,14,3,0.197,0.0337,17,17,5.9,17.6,14.3,42.9,42.9,35.3,41.2,14.3,35.3,11.8,11.8,11.8,100.0,81.4,33.1,0.64,72.7,32.3,Weak,2.5,Contact-First Profile,C+,High fly-ball plane,32.3,Weak,0.95,Small Statcast sample,0.85,-7.15,Strong negative regression,Weak Contact-First Profile profile. 5.9% barrel rate; 81.4 mph average exit velocity; 41.2% air-ball rate; 14.3% pull-air rate; 11.8% HR-launch rate.,0.0362,0.0347,4.49,1,1,24.6,0.04,4.1,Very recent HR,684442,Kohl Drake,L,RHB vs LHP,1,1,5.0,1.8,1.2,0,0.0,9.0,3.6,1.171,1.0,1.025,1.0,0.95,0.95,0.98,14.67,16.28,86.9,38.6,D+,Good
77,2026-07-26,823433,2026-07-26T23:20:00Z,Scheduled,Citizens Bank Park,New York Yankees @ Philadelphia Phillies,Away,642708,Amed Rosario,New York Yankees,Philadelphia Phillies,3B,R,No,,60,171,157,36,4,1,9,20,27,11,0,43,0.229,0.275,0.439,0.714,4,6,6,0,0,0.0,0.0,16,36,33,6,2,0.182,0.0556,6,6,0.0,16.7,50.0,50.0,0.0,0.0,16.7,0.0,33.3,0.0,0.0,0.0,,82.0,33.7,0.534,73.2,37.4,Below Average,2.5,Contact-First Profile,C+,High fly-ball plane,37.4,Below Average,0.965,Small Statcast sample,0.0,-9.0,Strong negative regression,Below Average Contact-First Profile profile. 0.0% barrel rate; 82.0 mph average exit velocity; 16.7% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0526,0.0441,3.99,17,11,17.4,0.97,97.5,Near normal interval,650911,Cristopher Sánchez,L,RHB vs LHP,21,21,132.2,2.65,1.19,12,0.81,10.24,1.7,1.047,0.954,1.025,1.0,0.965,0.965,1.0,16.48,16.28,67.1,37.4,D+,Lineup unconfirmed
78,2026-07-26,824572,2026-07-26T18:10:00Z,Pre-Game,Rate Field,Houston Astros @ Chicago White Sox,Away,701358,Cam Smith,Houston Astros,Chicago White Sox,RF,R,Yes,8.0,104,384,341,71,13,1,13,41,36,33,5,92,0.208,0.285,0.367,0.652,8,23,20,1,1,0.05,0.0435,22,74,67,11,5,0.164,0.0676,14,14,14.3,57.1,57.1,28.6,14.3,14.3,14.3,50.0,21.4,14.3,7.1,14.3,50.0,91.2,27.1,0.405,78.8,59.6,Average,3.5,Pull Power,A-,Elevated power plane,59.6,Average,1.027,Small Statcast sample,1.84,-11.16,Strong negative regression,Average Pull Power profile. 14.3% barrel rate; 91.2 mph average exit velocity; 14.3% air-ball rate; 50.0% pull-air rate; 14.3% HR-launch rate.,0.0339,0.0334,3.98,3,1,26.2,0.11,11.4,Very recent HR,607200,Erick Fedde,R,RHB vs RHP,20,10,93.0,4.16,1.4,16,1.55,6.39,3.39,1.219,1.072,0.985,1.0,1.027,1.027,0.98,12.65,16.15,94.9,39.2,D+,Good
79,2026-07-26,824572,2026-07-26T18:10:00Z,Pre-Game,Rate Field,Houston Astros @ Chicago White Sox,Away,670623,Isaac Paredes,Houston Astros,Chicago White Sox,3B,R,Yes,3.0,99,419,361,95,18,1,14,43,57,40,14,63,0.263,0.356,0.435,0.791,8,35,30,11,2,0.367,0.0571,22,98,85,27,4,0.318,0.0408,38,38,2.6,21.1,52.6,15.8,31.6,21.1,34.2,61.5,26.3,5.3,2.6,5.3,200.0,82.9,31.9,0.506,65.4,22.0,Weak,2.0,Pull Power,C+,High fly-ball plane,22.0,Weak,0.922,Good,1.35,-12.65,Strong negative regression,Weak Pull Power profile. 2.6% barrel rate; 82.9 mph average exit velocity; 34.2% air-ball rate; 61.5% pull-air rate; 5.3% HR-launch rate.,0.0334,0.0331,4.55,7,2,25.8,0.27,27.1,Very recent HR,607200,Erick Fedde,R,RHB vs RHP,20,10,93.0,4.16,1.4,16,1.55,6.39,3.39,1.202,1.072,0.985,1.0,0.922,0.922,0.98,14.2,16.13,95.0,41.2,D+,Good
80,2026-07-26,823599,2026-07-26T17:40:00Z,Pre-Game,Citi Field,Los Angeles Dodgers @ New York Mets,Away,687221,Dalton Rushing,Los Angeles Dodgers,New York Mets,C,L,No,,69,230,202,49,11,0,11,33,33,23,4,64,0.243,0.33,0.46,0.79,8,25,21,3,1,0.143,0.04,21,70,60,15,3,0.25,0.0429,17,17,5.9,29.4,33.3,22.2,44.4,17.6,47.1,37.5,35.3,5.9,0.0,5.9,100.0,83.0,8.8,0.951,69.8,29.7,Weak,2.0,Contact-First Profile,C,Low line-drive plane,29.7,Weak,0.943,Small Statcast sample,0.86,-10.14,Strong negative regression,Weak Contact-First Profile profile. 5.9% barrel rate; 83.0 mph average exit velocity; 47.1% air-ball rate; 37.5% pull-air rate; 5.9% HR-launch rate.,0.0478,0.0424,4.05,8,2,18.4,0.44,43.6,Recently homered,642547,Freddy Peralta,R,LHB vs RHP,21,21,109.2,5.01,1.46,17,1.4,9.03,3.78,0.989,1.048,1.025,1.0,0.943,0.943,1.0,16.09,16.13,74.0,38.3,D+,Lineup unconfirmed
81,2026-07-26,823028,2026-07-26T18:15:00Z,Pre-Game,Busch Stadium,Cincinnati Reds @ St. Louis Cardinals,Home,663494,Bryan Torres,St. Louis Cardinals,Cincinnati Reds,LF,L,No,,36,81,74,16,0,2,4,11,11,6,0,16,0.216,0.275,0.432,0.707,6,8,7,3,0,0.429,0.0,18,32,31,6,2,0.194,0.0625,9,9,0.0,22.2,50.0,33.3,16.7,11.1,33.3,66.7,22.2,0.0,0.0,0.0,,82.7,6.4,0.57,63.0,35.6,Below Average,2.5,Pull Power,C,Low line-drive plane,35.6,Below Average,0.96,Small Statcast sample,0.14,-3.86,Negative regression,Below Average Pull Power profile. 0.0% barrel rate; 82.7 mph average exit velocity; 33.3% air-ball rate; 66.7% pull-air rate; 0.0% HR-launch rate.,0.0494,0.039,3.93,25,14,18.5,1.35,135.1,Above normal drought,671096,Andrew Abbott,L,LHB vs LHP,21,21,111.0,3.89,1.4,16,1.3,7.3,4.05,1.108,1.032,0.985,1.0,0.96,0.96,1.035,14.47,16.09,60.3,37.8,D+,Lineup unconfirmed
82,2026-07-26,823755,2026-07-26T18:10:00Z,Pre-Game,American Family Field,Colorado Rockies @ Milwaukee Brewers,Home,596142,Gary Sánchez,Milwaukee Brewers,Colorado Rockies,C,R,Yes,6.0,57,185,147,32,5,1,8,26,25,35,2,33,0.218,0.373,0.429,0.802,3,7,6,1,0,0.167,0.0,11,36,26,6,1,0.231,0.0278,6,6,0.0,16.7,0.0,0.0,100.0,16.7,16.7,0.0,33.3,0.0,0.0,0.0,,77.5,40.8,0.036,70.0,36.4,Below Average,2.5,Contact-First Profile,D,Popup-heavy plane,36.4,Below Average,0.962,Small Statcast sample,0.0,-8.0,Strong negative regression,Below Average Contact-First Profile profile. 0.0% barrel rate; 77.5 mph average exit velocity; 16.7% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0432,0.0388,4.14,20,9,18.4,1.09,108.8,Near normal interval,607536,Kyle Freeland,L,RHB vs LHP,18,18,94.0,7.28,1.56,20,1.91,7.95,1.91,0.949,1.13,1.025,1.0,0.962,0.962,1.0,15.12,15.92,80.1,40.5,D+,Good
