Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,New York Mets,Francisco Lindor,Aaron Nola,0.333,3,9,4.8,1.11,0.97,0.67,0.66,2.27,2.0,0.0,6.0,1.4,28.4,40,94,45.0,2.4,1|1|0|0|10,09/16|09/15|09/14|09/13|09/12,2.6,1|1|0|0|10|1|6|4|3|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,2.47,1|1|0|0|10|1|6|4|3|0|0|6|1|4|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,71.5,50.8,34.6,23.3,15.8,10.5,6.8,2.65,51.8
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,Philadelphia Phillies,Bryce Harper,Nolan McLean,0.167,1,6,4.2,0.85,0.93,0.47,0.37,1.71,1.0,0.0,4.0,5.25,23.8,40,151,60.0,2.2,3|0|3|3|2,09/16|09/15|09/13|09/12|09/11,1.6,3|0|3|3|2|0|4|1|0|0,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06,1.87,3|0|3|3|2|0|4|1|0|0|2|0|1|6|3,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,76.1,48.2,25.9,12.4,5.5,2.1,0.7,2.3,52.0
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,Philadelphia Phillies,Luis Arraez,Nolan McLean,0.0,0,2,4.3,0.85,1.05,0.3,0.42,1.71,1.0,0.0,4.0,4.78,25.4,40,144,57.5,1.6,2|3|0|0|3,09/16|09/15|09/13|09/12|09/11,1.7,2|3|0|0|3|2|4|1|0|2,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06,1.73,2|3|0|0|3|2|4|1|0|2|3|3|0|2|1,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,74.6,47.4,26.3,12.6,5.8,2.5,1.1,2.27,50.8
2026-09-17,Philadelphia Phillies @ New York Mets,Citi Field,1.0,1.003,75.8,70.0,9.9,SSE,162.0,4.0,Mainly clear,1.2,1.7,52.6,C,92.0,Philadelphia Phillies,Alec Bohm,Nolan McLean,0.667,2,3,4.1,0.85,0.99,0.36,0.53,1.92,1.0,0.0,5.0,1.78,25.8,40,143,62.5,2.4,3|2|5|2|0,09/16|09/15|09/13|09/12|09/11,1.7,3|2|5|2|0|1|2|0|2|0,09/16|09/15|09/13|09/12|09/11|09/10|09/08|09/07|09/06|09/05,1.93,3|2|5|2|0|1|2|0|2|0|5|4|0|0|3,09/16|09/15|09/13|09/12|09/11|09/10|09/08|09/07|09/06|09/05|09/04|09/01|08/31|08/30|08/29,74.2,47.3,29.6,17.0,10.3,5.8,3.2,2.47,53.4
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Pittsburgh Pirates,Konnor Griffin,Kyle Harrison,0.0,0,2,4.4,1.02,1.0,0.58,0.28,1.83,2.0,0.0,4.0,9.16,19.4,40,69,60.0,1.8,3|1|2|0|3,09/16|09/15|09/13|09/12|09/11,1.5,3|1|2|0|3|0|3|3|0|0,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05,1.8,3|1|2|0|3|0|3|3|0|0|1|5|2|2|2,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|07/05|07/04|07/03|07/01,80.5,52.4,28.3,13.2,5.5,2.2,0.8,2.16,53.0
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Pittsburgh Pirates,Brandon Lowe,Kyle Harrison,0.333,1,3,4.1,1.02,1.07,0.54,0.62,2.06,2.0,0.0,5.0,2.51,26.3,40,141,55.0,2.6,5|3|3|2|0,09/16|09/15|09/13|09/12|09/10,2.2,5|3|3|2|0|2|4|2|0|1,09/16|09/15|09/13|09/12|09/10|09/09|09/08|09/06|09/05|09/04,2.6,5|3|3|2|0|2|4|2|0|1|0|1|8|4|4,09/16|09/15|09/13|09/12|09/10|09/09|09/08|09/06|09/05|09/04|09/03|09/02|09/01|08/30|08/29,73.7,51.9,33.5,20.2,11.8,6.6,3.7,2.69,55.0
2026-09-17,Milwaukee Brewers @ Pittsburgh Pirates,PNC Park,0.982,1.006,81.3,80.0,6.4,WNW,288.0,15.0,Overcast,2.7,3.9,55.9,C,92.0,Pittsburgh Pirates,Oneil Cruz,Kyle Harrison,0.0,0,2,4.2,1.02,1.05,0.49,0.7,2.08,1.0,0.0,5.0,1.96,28.6,40,88,60.0,1.4,4|0|1|0|2,09/16|09/15|09/13|09/12|09/11,2.1,4|0|1|0|2|6|1|6|0|1,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05,2.47,4|0|1|0|2|6|1|6|0|1|0|2|2|9|3,09/16|09/15|09/13|09/12|09/11|09/10|09/09|09/08|09/06|09/05|09/04|09/03|09/02|09/01|08/30,71.4,50.0,32.5,21.1,12.9,8.0,4.9,2.74,55.8
2026-09-17,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.011,82.4,33.0,5.4,S,185.0,8.0,Overcast,5.0,7.2,60.9,B,92.0,San Diego Padres,Fernando Tatis Jr.,Tanner Gordon,0.0,0,5,4.6,1.2,1.36,0.93,0.81,2.95,2.0,0.0,6.0,3.19,15.2,40,150,62.5,3.8,1|3|4|7|4,09/16|09/15|09/14|09/13|09/12,3.3,1|3|4|7|4|1|5|1|4|3,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,3.0,1|3|4|7|4|1|5|1|4|3|0|0|4|6|2,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,84.8,67.2,49.7,34.6,22.6,14.2,8.9,3.26,67.6
2026-09-17,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.011,82.4,33.0,5.4,S,185.0,8.0,Overcast,5.0,7.2,60.9,B,92.0,San Diego Padres,Jackson Merrill,Tanner Gordon,0.0,0,1,4.3,1.2,1.45,0.66,0.91,2.72,2.0,0.0,6.0,2.16,22.8,40,148,62.5,3.4,4|2|5|3|3,09/16|09/15|09/14|09/13|09/12,4.0,4|2|5|3|3|5|12|1|5|0,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06,3.07,4|2|5|3|3|5|12|1|5|0|0|0|0|2|4,09/16|09/15|09/14|09/13|09/12|09/11|09/09|09/08|09/07|09/06|09/05|09/04|09/02|09/01|08/31,77.2,59.6,43.5,30.5,20.7,14.2,9.4,3.15,63.4
2026-09-17,San Diego Padres @ Colorado Rockies,Coors Field,1.08,1.011,82.4,33.0,5.4,S,185.0,8.0,Overcast,5.0,7.2,60.9,B,92.0,San Diego Padres,Austin Hays,Tanner Gordon,0.0,0,0,3.2,1.2,1.13,0.72,0.56,2.1,2.0,0.0,5.0,3.96,26.2,32,32,43.8,2.4,4|4|3|1|0,09/15|09/12|09/09|09/08|09/07,1.5,4|4|3|1|0|1|0|2|0|0,09/15|09/12|09/09|09/08|09/07|09/05|09/04|09/02|09/01|08/28,1.33,4|4|3|1|0|1|0|2|0|0|0|1|2|2|0,09/15|09/12|09/09|09/08|09/07|09/05|09/04|09/02|09/01|08/28|08/25|08/24|08/23|08/21|08/19,73.8,54.2,35.7,21.3,12.0,6.6,3.3,2.49,51.9
