player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_rushing_yards,model_version
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,115.0,8.48,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,120.0,7.02,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,125.0,5.82,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,130.0,4.78,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,135.0,3.9,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,140.0,3.15,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,145.0,2.49,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,150.0,1.99,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,155.0,1.56,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,160.0,1.21,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,165.0,0.93,ELITE,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,170.0,0.71,HIGH,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,175.0,0.53,LEAN,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,180.0,0.39,LOW,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,185.0,0.29,LOW,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,190.0,0.2,VERY LOW,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,195.0,0.14,VERY LOW,50.104,NFL_RUSHING_YARDS_V1
00-0034844,Saquon Barkley,PHI,CIN,RB,2026,PRE,3,200.0,0.1,VERY LOW,50.104,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,0.0,100.0,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,5.0,74.52,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,10.0,71.59,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,15.0,68.64,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,20.0,65.34,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,25.0,62.03,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,30.0,58.56,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,35.0,54.96,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,40.0,51.43,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,45.0,47.89,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,50.0,44.25,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,55.0,40.76,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,60.0,37.34,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,65.0,33.98,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,70.0,30.73,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,75.0,27.57,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,80.0,24.64,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,85.0,21.82,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,90.0,19.25,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,95.0,16.93,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,100.0,14.7,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,105.0,12.76,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,110.0,10.94,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,115.0,9.35,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,120.0,7.99,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,125.0,6.73,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,130.0,5.62,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,135.0,4.68,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,140.0,3.85,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,145.0,3.18,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,150.0,2.58,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,155.0,2.09,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,160.0,1.69,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,165.0,1.36,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,170.0,1.07,ELITE,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,175.0,0.85,VERY HIGH,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,180.0,0.66,SOLID,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,185.0,0.49,COIN FLIP,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,190.0,0.38,LOW,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,195.0,0.29,LOW,49.134,NFL_RUSHING_YARDS_V1
00-0037248,James Cook,BUF,PIT,RB,2026,PRE,3,200.0,0.22,VERY LOW,49.134,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,0.0,100.0,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,5.0,72.04,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,10.0,69.07,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,15.0,66.14,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,20.0,62.99,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,25.0,59.74,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,30.0,56.53,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,35.0,53.06,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,40.0,49.66,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,45.0,46.22,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,50.0,42.83,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,55.0,39.54,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,60.0,36.27,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,65.0,33.19,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,70.0,30.09,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,75.0,27.17,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,80.0,24.47,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,85.0,21.95,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,90.0,19.44,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,95.0,17.13,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,100.0,15.16,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,105.0,13.23,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,110.0,11.53,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,115.0,9.93,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,120.0,8.54,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,125.0,7.29,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,130.0,6.2,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,135.0,5.21,ELITE,48.217,NFL_RUSHING_YARDS_V1
00-0038542,Bijan Robinson,ATL,MIA,RB,2026,PRE,3,140.0,4.32,ELITE,48.217,NFL_RUSHING_YARDS_V1
