player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pass_tds,model_version
00-0033873,Patrick Mahomes,KC,IND,QB,2026,REG,2,2,53.42,ELITE,2.045,NFL_PASS_TD_V1
00-0033873,Patrick Mahomes,KC,IND,QB,2026,REG,2,3,33.46,ELITE,2.045,NFL_PASS_TD_V1
00-0033873,Patrick Mahomes,KC,IND,QB,2026,REG,2,4,19.1,ELITE,2.045,NFL_PASS_TD_V1
00-0033873,Patrick Mahomes,KC,IND,QB,2026,REG,2,5,10.74,ELITE,2.045,NFL_PASS_TD_V1
00-0033949,Joshua Dobbs,DET,BUF,QB,2026,REG,2,1,41.17,ELITE,0.583,NFL_PASS_TD_V1
00-0033949,Joshua Dobbs,DET,BUF,QB,2026,REG,2,2,12.58,ELITE,0.583,NFL_PASS_TD_V1
00-0033949,Joshua Dobbs,DET,BUF,QB,2026,REG,2,3,3.59,ELITE,0.583,NFL_PASS_TD_V1
00-0033949,Joshua Dobbs,DET,BUF,QB,2026,REG,2,4,0.81,VERY HIGH,0.583,NFL_PASS_TD_V1
00-0033949,Joshua Dobbs,DET,BUF,QB,2026,REG,2,5,0.15,VERY LOW,0.583,NFL_PASS_TD_V1
00-0034577,Kyle Allen,BUF,DET,QB,2026,REG,2,1,5.18,ELITE,0.054,NFL_PASS_TD_V1
00-0034577,Kyle Allen,BUF,DET,QB,2026,REG,2,2,0.2,VERY LOW,0.054,NFL_PASS_TD_V1
00-0034577,Kyle Allen,BUF,DET,QB,2026,REG,2,3,0.0,VERY LOW,0.054,NFL_PASS_TD_V1
00-0034577,Kyle Allen,BUF,DET,QB,2026,REG,2,4,0.0,VERY LOW,0.054,NFL_PASS_TD_V1
00-0034577,Kyle Allen,BUF,DET,QB,2026,REG,2,5,0.0,VERY LOW,0.054,NFL_PASS_TD_V1
00-0034771,Mason Rudolph,PIT,NE,QB,2026,REG,2,1,47.13,ELITE,0.714,NFL_PASS_TD_V1
00-0034771,Mason Rudolph,PIT,NE,QB,2026,REG,2,2,16.84,ELITE,0.714,NFL_PASS_TD_V1
00-0034771,Mason Rudolph,PIT,NE,QB,2026,REG,2,3,5.25,ELITE,0.714,NFL_PASS_TD_V1
00-0034771,Mason Rudolph,PIT,NE,QB,2026,REG,2,4,1.48,ELITE,0.714,NFL_PASS_TD_V1
00-0034771,Mason Rudolph,PIT,NE,QB,2026,REG,2,5,0.51,LEAN,0.714,NFL_PASS_TD_V1
00-0034796,Lamar Jackson,BAL,NO,QB,2026,REG,2,1,74.86,ELITE,1.78,NFL_PASS_TD_V1
00-0034796,Lamar Jackson,BAL,NO,QB,2026,REG,2,2,47.62,ELITE,1.78,NFL_PASS_TD_V1
00-0034796,Lamar Jackson,BAL,NO,QB,2026,REG,2,3,27.25,ELITE,1.78,NFL_PASS_TD_V1
00-0034796,Lamar Jackson,BAL,NO,QB,2026,REG,2,4,14.89,ELITE,1.78,NFL_PASS_TD_V1
00-0034796,Lamar Jackson,BAL,NO,QB,2026,REG,2,5,7.61,ELITE,1.78,NFL_PASS_TD_V1
00-0034855,Baker Mayfield,TB,CLE,QB,2026,REG,2,1,74.96,ELITE,1.768,NFL_PASS_TD_V1
00-0034855,Baker Mayfield,TB,CLE,QB,2026,REG,2,2,47.42,ELITE,1.768,NFL_PASS_TD_V1
00-0034855,Baker Mayfield,TB,CLE,QB,2026,REG,2,3,26.87,ELITE,1.768,NFL_PASS_TD_V1
00-0034855,Baker Mayfield,TB,CLE,QB,2026,REG,2,4,14.93,ELITE,1.768,NFL_PASS_TD_V1
00-0034855,Baker Mayfield,TB,CLE,QB,2026,REG,2,5,7.54,ELITE,1.768,NFL_PASS_TD_V1
00-0034857,Josh Allen,BUF,DET,QB,2026,REG,2,1,79.75,ELITE,2.055,NFL_PASS_TD_V1
00-0034857,Josh Allen,BUF,DET,QB,2026,REG,2,2,53.93,ELITE,2.055,NFL_PASS_TD_V1
00-0034857,Josh Allen,BUF,DET,QB,2026,REG,2,3,33.35,ELITE,2.055,NFL_PASS_TD_V1
00-0034857,Josh Allen,BUF,DET,QB,2026,REG,2,4,18.91,ELITE,2.055,NFL_PASS_TD_V1
00-0034857,Josh Allen,BUF,DET,QB,2026,REG,2,5,10.82,ELITE,2.055,NFL_PASS_TD_V1
00-0034869,Sam Darnold,SEA,ARI,QB,2026,REG,2,1,75.62,ELITE,1.796,NFL_PASS_TD_V1
00-0034869,Sam Darnold,SEA,ARI,QB,2026,REG,2,2,48.06,ELITE,1.796,NFL_PASS_TD_V1
00-0034869,Sam Darnold,SEA,ARI,QB,2026,REG,2,3,27.92,ELITE,1.796,NFL_PASS_TD_V1
00-0034869,Sam Darnold,SEA,ARI,QB,2026,REG,2,4,14.92,ELITE,1.796,NFL_PASS_TD_V1
00-0034869,Sam Darnold,SEA,ARI,QB,2026,REG,2,5,7.55,ELITE,1.796,NFL_PASS_TD_V1
00-0035228,Kyler Murray,MIN,CHI,QB,2026,REG,2,1,66.7,ELITE,1.327,NFL_PASS_TD_V1
00-0035228,Kyler Murray,MIN,CHI,QB,2026,REG,2,2,35.99,ELITE,1.327,NFL_PASS_TD_V1
00-0035228,Kyler Murray,MIN,CHI,QB,2026,REG,2,3,16.92,ELITE,1.327,NFL_PASS_TD_V1
00-0035228,Kyler Murray,MIN,CHI,QB,2026,REG,2,4,7.71,ELITE,1.327,NFL_PASS_TD_V1
00-0035228,Kyler Murray,MIN,CHI,QB,2026,REG,2,5,3.41,ELITE,1.327,NFL_PASS_TD_V1
00-0035264,Jarrett Stidham,DEN,JAX,QB,2026,REG,2,1,65.94,ELITE,1.295,NFL_PASS_TD_V1
00-0035264,Jarrett Stidham,DEN,JAX,QB,2026,REG,2,2,35.17,ELITE,1.295,NFL_PASS_TD_V1
00-0035264,Jarrett Stidham,DEN,JAX,QB,2026,REG,2,3,16.85,ELITE,1.295,NFL_PASS_TD_V1
00-0035264,Jarrett Stidham,DEN,JAX,QB,2026,REG,2,4,7.11,ELITE,1.295,NFL_PASS_TD_V1
00-0035264,Jarrett Stidham,DEN,JAX,QB,2026,REG,2,5,2.95,ELITE,1.295,NFL_PASS_TD_V1
00-0035289,Gardner Minshew,ARI,SEA,QB,2026,REG,2,1,48.26,ELITE,0.739,NFL_PASS_TD_V1
00-0035289,Gardner Minshew,ARI,SEA,QB,2026,REG,2,2,17.76,ELITE,0.739,NFL_PASS_TD_V1
00-0035289,Gardner Minshew,ARI,SEA,QB,2026,REG,2,3,5.56,ELITE,0.739,NFL_PASS_TD_V1
00-0035289,Gardner Minshew,ARI,SEA,QB,2026,REG,2,4,1.64,ELITE,0.739,NFL_PASS_TD_V1
00-0035289,Gardner Minshew,ARI,SEA,QB,2026,REG,2,5,0.5,LEAN,0.739,NFL_PASS_TD_V1
00-0035704,Drew Lock,SEA,ARI,QB,2026,REG,2,1,57.02,ELITE,0.998,NFL_PASS_TD_V1
00-0035704,Drew Lock,SEA,ARI,QB,2026,REG,2,2,25.82,ELITE,0.998,NFL_PASS_TD_V1
00-0035704,Drew Lock,SEA,ARI,QB,2026,REG,2,3,10.47,ELITE,0.998,NFL_PASS_TD_V1
00-0035704,Drew Lock,SEA,ARI,QB,2026,REG,2,4,4.09,ELITE,0.998,NFL_PASS_TD_V1
00-0035704,Drew Lock,SEA,ARI,QB,2026,REG,2,5,1.57,ELITE,0.998,NFL_PASS_TD_V1
00-0035710,Daniel Jones,IND,KC,QB,2026,REG,2,1,63.22,ELITE,1.19,NFL_PASS_TD_V1
00-0035710,Daniel Jones,IND,KC,QB,2026,REG,2,2,31.82,ELITE,1.19,NFL_PASS_TD_V1
00-0035710,Daniel Jones,IND,KC,QB,2026,REG,2,3,14.44,ELITE,1.19,NFL_PASS_TD_V1
00-0035710,Daniel Jones,IND,KC,QB,2026,REG,2,4,5.88,ELITE,1.19,NFL_PASS_TD_V1
00-0035710,Daniel Jones,IND,KC,QB,2026,REG,2,5,2.35,ELITE,1.19,NFL_PASS_TD_V1
00-0035993,Tyler Huntley,BAL,NO,QB,2026,REG,2,1,52.65,ELITE,0.841,NFL_PASS_TD_V1
00-0035993,Tyler Huntley,BAL,NO,QB,2026,REG,2,2,20.82,ELITE,0.841,NFL_PASS_TD_V1
00-0035993,Tyler Huntley,BAL,NO,QB,2026,REG,2,3,7.36,ELITE,0.841,NFL_PASS_TD_V1
00-0035993,Tyler Huntley,BAL,NO,QB,2026,REG,2,4,2.28,ELITE,0.841,NFL_PASS_TD_V1
00-0035993,Tyler Huntley,BAL,NO,QB,2026,REG,2,5,0.7,HIGH,0.841,NFL_PASS_TD_V1
00-0036264,Jordan Love,GB,NYJ,QB,2026,REG,2,1,77.67,ELITE,1.956,NFL_PASS_TD_V1
00-0036264,Jordan Love,GB,NYJ,QB,2026,REG,2,2,51.78,ELITE,1.956,NFL_PASS_TD_V1
00-0036264,Jordan Love,GB,NYJ,QB,2026,REG,2,3,31.14,ELITE,1.956,NFL_PASS_TD_V1
00-0036264,Jordan Love,GB,NYJ,QB,2026,REG,2,4,17.85,ELITE,1.956,NFL_PASS_TD_V1
00-0036264,Jordan Love,GB,NYJ,QB,2026,REG,2,5,9.66,ELITE,1.956,NFL_PASS_TD_V1
00-0036355,Justin Herbert,LAC,LV,QB,2026,REG,2,1,71.27,ELITE,1.553,NFL_PASS_TD_V1
00-0036355,Justin Herbert,LAC,LV,QB,2026,REG,2,2,42.44,ELITE,1.553,NFL_PASS_TD_V1
00-0036355,Justin Herbert,LAC,LV,QB,2026,REG,2,3,22.4,ELITE,1.553,NFL_PASS_TD_V1
00-0036355,Justin Herbert,LAC,LV,QB,2026,REG,2,4,11.04,ELITE,1.553,NFL_PASS_TD_V1
00-0036355,Justin Herbert,LAC,LV,QB,2026,REG,2,5,4.95,ELITE,1.553,NFL_PASS_TD_V1
00-0036389,Jalen Hurts,PHI,TEN,QB,2026,REG,2,1,76.98,ELITE,1.875,NFL_PASS_TD_V1
00-0036389,Jalen Hurts,PHI,TEN,QB,2026,REG,2,2,50.29,ELITE,1.875,NFL_PASS_TD_V1
00-0036389,Jalen Hurts,PHI,TEN,QB,2026,REG,2,3,29.43,ELITE,1.875,NFL_PASS_TD_V1
00-0036389,Jalen Hurts,PHI,TEN,QB,2026,REG,2,4,15.9,ELITE,1.875,NFL_PASS_TD_V1
00-0036389,Jalen Hurts,PHI,TEN,QB,2026,REG,2,5,8.64,ELITE,1.875,NFL_PASS_TD_V1
00-0036442,Joe Burrow,CIN,HOU,QB,2026,REG,2,1,85.05,ELITE,2.552,NFL_PASS_TD_V1
00-0036442,Joe Burrow,CIN,HOU,QB,2026,REG,2,2,63.54,ELITE,2.552,NFL_PASS_TD_V1
00-0036442,Joe Burrow,CIN,HOU,QB,2026,REG,2,3,43.88,ELITE,2.552,NFL_PASS_TD_V1
00-0036442,Joe Burrow,CIN,HOU,QB,2026,REG,2,4,28.17,ELITE,2.552,NFL_PASS_TD_V1
00-0036442,Joe Burrow,CIN,HOU,QB,2026,REG,2,5,17.65,ELITE,2.552,NFL_PASS_TD_V1
00-0036879,Sam Ehlinger,DEN,JAX,QB,2026,REG,2,1,66.86,ELITE,1.369,NFL_PASS_TD_V1
00-0036879,Sam Ehlinger,DEN,JAX,QB,2026,REG,2,2,37.36,ELITE,1.369,NFL_PASS_TD_V1
00-0036879,Sam Ehlinger,DEN,JAX,QB,2026,REG,2,3,18.15,ELITE,1.369,NFL_PASS_TD_V1
00-0036879,Sam Ehlinger,DEN,JAX,QB,2026,REG,2,4,8.4,ELITE,1.369,NFL_PASS_TD_V1
00-0036879,Sam Ehlinger,DEN,JAX,QB,2026,REG,2,5,3.67,ELITE,1.369,NFL_PASS_TD_V1
00-0036898,Davis Mills,HOU,CIN,QB,2026,REG,2,1,63.09,ELITE,1.205,NFL_PASS_TD_V1
00-0036898,Davis Mills,HOU,CIN,QB,2026,REG,2,2,31.98,ELITE,1.205,NFL_PASS_TD_V1
00-0036898,Davis Mills,HOU,CIN,QB,2026,REG,2,3,14.65,ELITE,1.205,NFL_PASS_TD_V1
00-0036898,Davis Mills,HOU,CIN,QB,2026,REG,2,4,6.46,ELITE,1.205,NFL_PASS_TD_V1
00-0036898,Davis Mills,HOU,CIN,QB,2026,REG,2,5,2.68,ELITE,1.205,NFL_PASS_TD_V1
00-0036945,Justin Fields,KC,IND,QB,2026,REG,2,1,48.89,ELITE,0.761,NFL_PASS_TD_V1
00-0036945,Justin Fields,KC,IND,QB,2026,REG,2,2,18.82,ELITE,0.761,NFL_PASS_TD_V1
00-0036945,Justin Fields,KC,IND,QB,2026,REG,2,3,6.09,ELITE,0.761,NFL_PASS_TD_V1
00-0036945,Justin Fields,KC,IND,QB,2026,REG,2,4,1.84,ELITE,0.761,NFL_PASS_TD_V1
00-0036945,Justin Fields,KC,IND,QB,2026,REG,2,5,0.42,COIN FLIP,0.761,NFL_PASS_TD_V1
00-0036971,Trevor Lawrence,JAX,DEN,QB,2026,REG,2,1,79.51,ELITE,2.052,NFL_PASS_TD_V1
00-0036971,Trevor Lawrence,JAX,DEN,QB,2026,REG,2,2,53.75,ELITE,2.052,NFL_PASS_TD_V1
00-0036971,Trevor Lawrence,JAX,DEN,QB,2026,REG,2,3,33.97,ELITE,2.052,NFL_PASS_TD_V1
00-0036971,Trevor Lawrence,JAX,DEN,QB,2026,REG,2,4,19.04,ELITE,2.052,NFL_PASS_TD_V1
00-0036971,Trevor Lawrence,JAX,DEN,QB,2026,REG,2,5,10.43,ELITE,2.052,NFL_PASS_TD_V1
00-0036972,Mac Jones,SF,MIA,QB,2026,REG,2,1,67.84,ELITE,1.385,NFL_PASS_TD_V1
00-0036972,Mac Jones,SF,MIA,QB,2026,REG,2,2,38.19,ELITE,1.385,NFL_PASS_TD_V1
00-0036972,Mac Jones,SF,MIA,QB,2026,REG,2,3,18.52,ELITE,1.385,NFL_PASS_TD_V1
00-0036972,Mac Jones,SF,MIA,QB,2026,REG,2,4,8.33,ELITE,1.385,NFL_PASS_TD_V1
00-0036972,Mac Jones,SF,MIA,QB,2026,REG,2,5,3.57,ELITE,1.385,NFL_PASS_TD_V1
00-0037012,Trey Lance,LAC,LV,QB,2026,REG,2,1,24.93,ELITE,0.302,NFL_PASS_TD_V1
00-0037012,Trey Lance,LAC,LV,QB,2026,REG,2,2,4.54,ELITE,0.302,NFL_PASS_TD_V1
00-0037012,Trey Lance,LAC,LV,QB,2026,REG,2,3,0.68,SOLID,0.302,NFL_PASS_TD_V1
00-0037012,Trey Lance,LAC,LV,QB,2026,REG,2,4,0.09,VERY LOW,0.302,NFL_PASS_TD_V1
00-0037012,Trey Lance,LAC,LV,QB,2026,REG,2,5,0.0,VERY LOW,0.302,NFL_PASS_TD_V1
00-0037077,Sam Howell,DAL,WAS,QB,2026,REG,2,1,65.91,ELITE,1.329,NFL_PASS_TD_V1
00-0037077,Sam Howell,DAL,WAS,QB,2026,REG,2,2,35.94,ELITE,1.329,NFL_PASS_TD_V1
00-0037077,Sam Howell,DAL,WAS,QB,2026,REG,2,3,17.64,ELITE,1.329,NFL_PASS_TD_V1
00-0037077,Sam Howell,DAL,WAS,QB,2026,REG,2,4,7.97,ELITE,1.329,NFL_PASS_TD_V1
00-0037077,Sam Howell,DAL,WAS,QB,2026,REG,2,5,3.45,ELITE,1.329,NFL_PASS_TD_V1
00-0037834,Brock Purdy,SF,MIA,QB,2026,REG,2,1,81.71,ELITE,2.234,NFL_PASS_TD_V1
00-0037834,Brock Purdy,SF,MIA,QB,2026,REG,2,2,57.78,ELITE,2.234,NFL_PASS_TD_V1
00-0037834,Brock Purdy,SF,MIA,QB,2026,REG,2,3,37.29,ELITE,2.234,NFL_PASS_TD_V1
00-0037834,Brock Purdy,SF,MIA,QB,2026,REG,2,4,22.72,ELITE,2.234,NFL_PASS_TD_V1
