rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
11,2026-08-31,824149,HOU,CWS,673237,Yainer Diaz,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,7.0,641743,Anthony Kay,L,1.15,0.78,21.9,0.4101,1.5,LESS,95.8,-2263,70,87,0.4,0.6,0.5333,40.0,40.0,33.3,0.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,44,27.3,19.9,22.7,25.7,Sweeper,23.8,13.0,13.7,25.7,94.474,1.5,103,53,8,15.1,VELO_BAND_1.5,36.8,63.2,4.2,95.8,0.0,100.0,0.0,100.0,63.2,32.5,4.2,0.0,0.0
12,2026-08-31,824911,ATL,SF,642086,Dominic Smith,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,0,0.0,,683627,Anthony Molina,R,1.15,0.42,19.9,0.4107,1.5,LESS,95.6,-2196,68,86,0.6,0.9,0.6667,40.0,50.0,40.0,20.0,20.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,185,17.8,10.3,15.3,21.1,4-Seam,43.9,11.2,17.3,24.8,96.282,1.5,163,83,12,14.5,VELO_BAND_1.5,36.7,63.3,4.4,95.6,0.0,100.0,0.0,100.0,63.3,32.3,4.3,0.0,0.0
13,2026-08-31,824911,SF,ATL,687551,Drew Gilbert,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,1.01,693821,Bryce Elder,R,1.15,0.78,22.7,0.4078,1.5,LESS,95.6,-2164,80,89,0.2,0.6,0.8667,20.0,40.0,53.3,0.0,10.0,20.0,2,0,0.0,21.5,9,0.0,11.1,0.0,100.0,100.0,0.0,0.0545,256,15.2,18.9,19.9,25.5,Sinker,29.4,14.8,16.4,29.7,90.8002,1.5,135,44,3,6.8,VELO_BAND_1.5,36.4,63.6,4.4,95.6,0.0,100.0,0.0,100.0,63.6,31.9,4.4,0.0,0.0
14,2026-08-31,824719,BOS,SEA,668939,Adley Rutschman,S,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,4,57.1,5.0,669923,George Kirby,R,1.15,0.78,22.7,0.4062,1.5,LESS,95.6,-2150,78,89,0.8,0.6,1.0,60.0,50.0,66.7,20.0,10.0,26.7,3,0,0.0,21.1,10,40.0,40.0,0.0,60.0,60.0,0.0,0.0693,181,18.8,20.9,21.8,26.6,Sweeper,31.1,26.9,15.1,29.5,96.4808,1.5,201,89,7,7.9,VELO_BAND_1.5,36.2,63.8,4.4,95.6,0.0,100.0,0.0,100.0,63.8,31.7,4.4,0.0,0.0
15,2026-08-31,824149,CWS,HOU,671976,Tristan Peters,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,7,100.0,7.0,663567,Peter Lambert,R,1.15,0.78,22.8,0.4176,1.5,LESS,95.4,-2074,81,90,0.4,0.7,0.4667,40.0,70.0,46.7,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,281,16.4,22.2,21.7,25.2,4-Seam,31.4,15.7,17.8,24.8,93.2471,1.5,256,129,19,14.7,VELO_BAND_1.5,37.2,62.8,4.6,95.4,0.0,100.0,0.0,100.0,62.8,32.6,4.6,0.0,0.0
16,2026-08-31,822855,ATH,TEX,622268,Donovan Walton,L,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,6.0,594798,Jacob deGrom,R,1.15,0.7778,22.5,0.4152,1.5,LESS,95.3,-2040,75,88,0.2,0.3,0.4,20.0,20.0,26.7,0.0,10.0,13.3,2,0,0.0,21.5,8,25.0,25.0,25.0,75.0,100.0,0.0,0.0516,178,16.3,28.5,31.6,29.6,4-Seam,40.6,9.9,20.2,25.3,97.3817,1.5,69,47,6,12.8,VELO_BAND_1.5,36.8,63.2,4.7,95.3,0.0,100.0,0.0,100.0,63.2,32.2,4.7,0.0,0.0
17,2026-08-31,825040,PHI,AZ,592663,J.T. Realmuto,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,8.0,694297,Brandon Pfaadt,R,1.15,0.6343,18.2,0.4225,1.5,LESS,95.3,-2039,79,89,0.4,0.4,0.7333,40.0,40.0,60.0,0.0,0.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,249,22.9,16.1,18.0,25.5,4-Seam,29.0,17.5,18.9,26.9,92.5174,1.5,211,97,15,15.5,VELO_BAND_1.5,37.6,62.4,4.7,95.3,0.0,100.0,0.0,100.0,62.4,32.9,4.7,0.0,0.0
18,2026-08-31,824719,BOS,SEA,655316,Andruw Monasterio,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,6,85.7,4.01,669923,George Kirby,R,1.15,0.78,22.7,0.4174,1.5,LESS,95.2,-1997,77,89,0.4,0.3,0.3333,20.0,20.0,26.7,20.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,178,19.1,20.9,21.8,26.6,Sweeper,31.1,20.9,13.8,27.8,96.4808,1.5,203,102,15,14.7,VELO_BAND_1.5,37.0,63.0,4.8,95.2,0.0,100.0,0.0,100.0,63.0,32.2,4.8,0.0,0.0
19,2026-08-31,824314,BAL,COL,650968,Yohel Pozo,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,1,14.3,5.01,685299,Tanner Gordon,R,1.15,0.78,17.3,0.4311,1.5,LESS,95.1,-1944,64,85,0.0,0.4,0.3333,0.0,40.0,33.3,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,24,25.0,17.1,18.0,25.3,4-Seam,45.2,18.5,14.4,28.7,92.5737,1.5,21,14,1,7.1,VELO_BAND_1.5,38.2,61.8,4.9,95.1,0.0,100.0,0.0,100.0,61.8,33.3,4.9,0.0,0.0
20,2026-08-31,824473,CIN,SD,624431,Jose Trevino,R,,OFFICIAL_BENCH,CONFIRMED_BENCH,True,5,71.4,7.0,650633,Michael King,R,1.15,0.78,21.6,0.4259,1.5,LESS,95.1,-1936,70,87,0.6,0.4,0.7333,60.0,40.0,60.0,0.0,0.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,88,17.0,20.1,21.8,27.3,Sinker,28.6,8.8,14.6,30.6,93.6201,1.5,84,33,3,9.1,VELO_BAND_1.5,37.7,62.3,4.9,95.1,0.0,100.0,0.0,100.0,62.3,32.8,4.9,0.0,0.0
