player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,pat_make_rate,pat_makes_5y,pat_attempts_5y,pat_make_pct_5y,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0034173,Eddy Pineiro,SF,LAR,K,K,ACT,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,away,2.983,3.37,88.59,86,96,89.58,2.88,3.243,1.0,71.3,42,1.04,2.983,3.0,1.0,5.0,1.713,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.89,79.72,57.32,35.13,18.55,8.49
00-0031136,Chris Boswell,PIT,ATL,K,K,ACT,2026,REG,1,2026 REG W1,401872658,2026-09-13T17:00Z,home,2.912,2.98,97.69,108,110,98.18,2.777,2.867,1.0,74.5,47,1.04,2.912,3.0,1.0,5.0,1.689,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.6,78.74,55.96,33.37,17.16,7.54
00-0039576,Spencer Shrader,IND,BAL,K,K,ACT,2026,REG,1,2026 REG W1,401872659,2026-09-13T17:00Z,home,2.841,2.94,96.8,23,23,100.0,2.831,2.831,1.0,81.0,8,1.04,2.841,3.0,1.0,5.0,1.671,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,94.26,77.59,54.2,31.77,15.87,6.99
00-0040200,Andy Borregales,NE,SEA,K,K,ACT,2026,REG,1,2026 REG W1,401872656,2026-09-10T00:20Z,away,2.718,2.82,96.5,60,62,96.77,2.977,2.977,0.911,66.0,21,1.04,2.718,3.0,1.0,5.0,1.646,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,93.53,75.26,50.86,29.1,14.19,5.99
00-0033787,Jake Elliott,PHI,WAS,K,K,ACT,2026,REG,1,2026 REG W1,401872929,2026-09-13T20:25Z,home,2.57,2.67,96.18,147,154,95.45,2.153,2.313,1.111,68.1,56,1.04,2.57,2.0,1.0,5.0,1.599,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,92.45,72.45,47.46,25.79,11.98,4.77
00-0039404,Will Reichard,MIN,GB,K,K,ACT,2026,REG,1,2026 REG W1,401872927,2026-09-13T20:25Z,home,2.432,2.46,99.45,69,69,100.0,2.213,2.213,1.067,65.7,26,1.04,2.432,2.0,1.0,4.0,1.55,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,91.25,69.92,44.02,22.84,9.81,3.76
00-0033303,Harrison Butker,KC,DEN,K,K,ACT,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,home,2.344,2.58,90.45,111,117,94.87,2.217,2.457,1.011,68.2,48,1.04,2.344,2.0,1.0,4.0,1.519,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.56,68.14,41.55,20.86,8.82,3.23
00-0036816,Riley Patterson,MIA,LV,K,K,ACT,2026,REG,1,2026 REG W1,401872928,2026-09-13T20:25Z,away,2.302,2.35,97.81,93,97,95.88,2.673,2.743,0.822,73.2,33,1.04,2.302,2.0,1.0,4.0,1.513,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.01,66.94,40.55,19.98,8.52,3.0
00-0035269,Matt Gay,LV,MIA,K,K,ACT,2026,REG,1,2026 REG W1,401872928,2026-09-13T20:25Z,home,2.276,2.3,98.8,94,95,98.95,2.263,2.263,0.978,69.3,43,1.04,2.276,2.0,0.0,4.0,1.509,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,89.61,66.27,39.93,19.58,8.12,2.91
00-0041145,Dominic Zvada,NYG,DAL,K,K,ACT,2026,REG,1,2026 REG W1,401872930,2026-09-14T00:20Z,home,2.116,2.23,94.5,0,0,,,,1.022,55.0,0,1.04,2.116,2.0,0.0,4.0,1.452,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,87.83,62.6,35.52,16.44,6.32,2.14
00-0035358,Chase McLaughlin,TB,CIN,K,K,ACT,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,away,2.057,2.12,97.38,126,129,97.67,1.95,1.95,1.044,87.1,50,1.04,2.057,2.0,0.0,4.0,1.437,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,87.14,60.87,33.91,15.43,5.78,1.92
00-0040279,Ryan Fitzgerald,CAR,CHI,K,K,ACT,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,home,2.052,2.22,92.45,31,34,91.18,1.967,2.137,1.0,68.2,17,1.04,2.052,2.0,0.0,4.0,1.43,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,87.1,60.88,33.77,15.33,5.75,1.79
00-0040899,Trey Smack,GB,MIN,K,K,ACT,2026,REG,1,2026 REG W1,401872927,2026-09-13T20:25Z,away,2.062,2.18,94.5,0,0,,,,1.0,55.0,0,1.04,2.062,2.0,0.0,4.0,1.443,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,87.02,60.92,34.2,15.46,5.99,1.96
00-0032726,Ka'imi Fairbairn,HOU,BUF,K,K,ACT,2026,REG,1,2026 REG W1,401872660,2026-09-13T17:00Z,home,2.038,2.23,91.63,97,102,95.1,2.157,2.243,0.956,77.3,46,1.04,2.038,2.0,0.0,4.0,1.426,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,86.97,60.44,33.33,14.9,5.73,1.8
00-0032569,Wil Lutz,DEN,KC,K,K,ACT,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,away,1.897,1.9,98.9,119,121,98.35,2.087,2.087,0.878,71.2,51,1.04,1.897,2.0,0.0,4.0,1.373,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,85.08,56.69,29.45,12.43,4.32,1.34
00-0035192,Joey Slye,TEN,NYJ,K,K,ACT,2026,REG,1,2026 REG W1,401872924,2026-09-13T17:00Z,home,1.863,1.97,94.76,83,88,94.32,2.02,2.077,0.911,74.2,44,1.04,1.863,2.0,0.0,4.0,1.36,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,84.5,55.77,28.57,11.81,4.06,1.18
00-0041182,Drew Stevens,WAS,PHI,K,K,ACT,2026,REG,1,2026 REG W1,401872929,2026-09-13T20:25Z,away,1.794,1.89,94.5,0,0,,,,0.867,55.0,0,1.04,1.794,2.0,0.0,4.0,1.338,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,83.23,53.58,26.94,10.85,3.52,0.95
00-0038567,Chad Ryland,ARI,LAC,K,K,ACT,2026,REG,1,2026 REG W1,401872926,2026-09-13T20:25Z,away,1.646,1.7,97.18,86,88,97.73,2.04,2.04,0.8,81.7,41,1.04,1.646,1.0,0.0,3.0,1.287,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,80.66,48.72,22.99,8.63,2.69,0.69
00-0034161,Daniel Carlson,NO,DET,K,K,ACT,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,away,1.639,1.77,92.35,76,79,96.2,1.69,1.803,0.944,74.7,42,1.04,1.639,1.0,0.0,3.0,1.28,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,80.52,48.84,22.72,8.4,2.56,0.68
00-0025565,Nick Folk,ATL,PIT,K,K,ACT,2026,REG,1,2026 REG W1,401872658,2026-09-13T17:00Z,away,1.633,1.66,98.2,75,77,97.4,1.887,1.887,0.844,74.7,38,1.04,1.633,1.0,0.0,3.0,1.278,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,80.43,48.49,22.62,8.39,2.52,0.66
00-0038905,Blake Grupe,NYJ,TEN,K,K,ACT,2026,REG,1,2026 REG W1,401872924,2026-09-13T17:00Z,away,1.48,1.51,98.0,96,98,97.96,1.717,1.717,0.844,73.4,42,1.04,1.48,1.0,0.0,3.0,1.218,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,77.2,43.45,18.66,6.4,1.75,0.41
00-0038428,Andre Szmyt,CLE,JAX,K,K,ACT,2026,REG,1,2026 REG W1,401872922,2026-09-13T17:00Z,away,1.353,1.42,95.28,25,26,96.15,1.815,1.861,0.733,74.1,14,1.04,1.353,1.0,0.0,3.0,1.16,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,74.25,39.19,15.41,4.91,1.22,0.24
