Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
90,2026-08-03,823520,2026-08-03T23:05:00Z,Pre-Game,Yankee Stadium,St. Louis Cardinals @ New York Yankees,Away,671056,Iván Herrera,St. Louis Cardinals,New York Yankees,DH,R,Yes,4.0,111,493,414,100,18,1,12,66,46,51,25,85,0.242,0.357,0.377,0.734,12,50,49,11,1,0.224,0.02,25,105,101,19,2,0.188,0.019,37,37,5.4,27.0,52.4,14.3,33.3,8.1,24.3,55.6,29.7,5.4,0.0,5.4,0.0,83.7,17.1,0.455,71.0,95.5,111.3,34.8,16.2,8.7,47.8,35.5,Below Average,2.5,Pull Power,A,Excellent HR swing plane,35.5,Below Average,0.959,Good,5.4,55.6,95.5,0.455,Derived proxy,Derived proxy,Derived proxy,Derived proxy,1.91,-10.09,Strong negative regression,Below Average Pull Power profile. 5.4% barrel rate; 83.7 mph average exit velocity; 24.3% air-ball rate; 55.6% pull-air rate; 5.4% HR-launch rate.,0.0243,0.0258,4.48,29,7,34.5,0.84,84.1,Near normal interval,693645,Cam Schlittler,R,RHB vs RHP,23,23,136.2,2.04,0.91,12,0.79,10.87,1.71,31.0,6.5,22.6,16.1,14.3,29.0,85.8,94.7,115.9,0.372,0.0,29.4,61.3,0.408,8.8,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.959,0.99,35.5,19.7,29.4,52.6,64.4,74.0,34.6,0.903,0.95,0.985,1.0,0.959,0.959,1.0,11.07,9.27,95.0,29.8,F,Good
91,2026-08-03,824160,2026-08-04T00:10:00Z,Scheduled,Daikin Park,Toronto Blue Jays @ Houston Astros,Away,664702,Myles Straw,Toronto Blue Jays,Houston Astros,RF,R,No,,99,196,176,38,8,0,3,29,17,14,1,25,0.216,0.273,0.313,0.586,11,24,22,4,0,0.182,0.0,21,44,42,6,0,0.143,0.0,14,14,0.0,7.1,50.0,25.0,25.0,21.4,35.7,20.0,21.4,0.0,0.0,0.0,,79.1,16.6,0.21,68.8,90.4,100.3,7.7,7.1,0.0,38.5,18.9,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,18.9,Weak,0.913,Small Statcast sample,0.0,20.0,90.4,0.21,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.06,-2.94,Negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 79.1 mph average exit velocity; 35.7% air-ball rate; 20.0% pull-air rate; 0.0% HR-launch rate.,0.0153,0.0216,3.87,42,23,58.7,0.72,71.6,Recently homered,664299,Cristian Javier,R,RHB vs RHP,8,4,21.1,7.17,1.83,3,1.27,8.86,6.33,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,18.9,50.0,50.0,4.7,50.0,45.0,34.5,0.758,1.008,0.985,0.94,0.913,0.858,1.0,8.12,5.3,69.5,18.2,F,Lineup unconfirmed
92,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,Tampa Bay Rays,C,R,No,,102,426,383,99,16,0,33,66,65,37,4,142,0.258,0.329,0.559,0.888,9,38,34,10,3,0.294,0.0789,19,78,68,20,6,0.294,0.0769,18,18,5.6,27.8,62.5,25.0,12.5,22.2,27.8,60.0,27.8,5.6,5.6,5.6,200.0,84.4,25.1,0.542,73.1,93.9,103.2,36.1,5.6,8.3,72.2,37.7,Below Average,2.5,Pull Power,A-,Elevated power plane,37.7,Below Average,0.966,Small Statcast sample,5.6,60.0,93.9,0.542,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.98,-32.02,Strong negative regression,Below Average Pull Power profile. 5.6% barrel rate; 84.4 mph average exit velocity; 27.8% air-ball rate; 60.0% pull-air rate; 5.6% HR-launch rate.,0.0775,0.0675,4.09,0,0,11.6,0.0,0.0,Very recent HR,693855,Ian Seymour,L,RHB vs LHP,36,7,78.1,4.37,1.12,12,1.38,10.34,3.22,24.0,4.2,12.5,8.3,50.0,33.3,80.7,91.8,110.2,0.28,0.0,11.0,31.0,0.36,0.0,4-Seam Fastball,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,0.922,0.967,37.7,25.0,11.0,49.8,82.4,45.0,34.4,1.063,1.045,1.025,1.03,0.966,0.995,0.98,24.85,28.49,83.2,60.8,B-,Lineup unconfirmed
93,2026-08-03,824160,2026-08-04T00:10:00Z,Scheduled,Daikin Park,Toronto Blue Jays @ Houston Astros,Home,669397,Nick Allen,Houston Astros,Toronto Blue Jays,SS,R,No,,61,113,101,26,4,0,1,17,11,7,1,23,0.257,0.306,0.327,0.633,11,10,9,4,0,0.444,0.0,19,27,23,7,0,0.304,0.0,6,6,0.0,16.7,20.0,60.0,20.0,0.0,16.7,0.0,16.7,0.0,0.0,0.0,,86.3,8.5,0.298,69.0,95.0,98.5,0.0,0.0,0.0,57.1,37.9,Below Average,2.5,Contact-First Profile,C,Low line-drive plane,37.9,Below Average,0.966,Small Statcast sample,0.0,0.0,95.0,0.298,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.0,-1.0,Near expected,Below Average Contact-First Profile profile. 0.0% barrel rate; 86.3 mph average exit velocity; 16.7% air-ball rate; 0.0% pull-air rate; 0.0% HR-launch rate.,0.0088,0.0208,3.87,64,36,101.0,0.63,63.4,Recently homered,669456,Shane Bieber,R,RHB vs RHP,7,7,31.1,5.74,1.63,7,2.01,6.32,5.17,7.0,0.0,0.0,0.0,100.0,42.9,71.5,82.6,93.5,0.208,0.0,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,0.925,37.9,20.0,50.0,13.9,50.0,45.0,34.3,0.901,1.065,0.985,0.94,0.966,0.908,1.0,7.8,6.23,62.2,18.7,F,Lineup unconfirmed
94,2026-08-03,825095,2026-08-04T01:40:00Z,Scheduled,Chase Field,San Diego Padres @ Arizona Diamondbacks,Home,545121,Ildemaro Vargas,Arizona Diamondbacks,San Diego Padres,1B,S,No,,98,348,323,88,16,3,7,46,51,20,2,34,0.272,0.318,0.406,0.724,12,40,36,14,0,0.389,0.0,22,71,65,20,0,0.308,0.0,20,20,0.0,25.0,40.0,50.0,10.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,,82.0,0.0,0.627,66.1,97.5,106.5,6.7,10.0,3.3,50.0,27.2,Weak,2.0,Pull Power,D,Ground-ball heavy,27.2,Weak,0.936,Good,0.0,50.0,97.5,0.627,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.22,-6.78,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 82.0 mph average exit velocity; 20.0% air-ball rate; 50.0% pull-air rate; 0.0% HR-launch rate.,0.0201,0.0232,3.99,189,64,46.1,4.1,409.6,Very long drought,650633,Michael King,R,Switch vs RHP,22,22,125.1,3.38,1.17,13,0.93,7.83,3.59,35.0,5.7,8.6,17.1,33.3,34.3,76.8,87.7,107.7,0.69,2.0,44.5,68.8,0.695,0.0,Changeup,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.989,0.982,27.2,28.6,44.5,47.2,50.0,45.0,34.3,0.758,0.973,1.035,1.0,0.936,0.936,1.06,8.93,6.63,82.5,31.3,D,Lineup unconfirmed
95,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Away,696285,Jacob Young,Washington Nationals,Philadelphia Phillies,CF,R,No,,98,330,299,70,14,2,9,40,38,22,5,57,0.234,0.297,0.385,0.682,9,28,20,5,0,0.25,0.0,15,53,41,12,1,0.293,0.0189,18,18,0.0,16.7,37.5,50.0,12.5,11.1,22.2,50.0,27.8,0.0,0.0,0.0,,77.1,16.6,0.335,63.7,88.1,101.5,0.0,11.1,0.0,65.2,19.8,Weak,2.0,Pull Power,A,Excellent HR swing plane,19.8,Weak,0.915,Small Statcast sample,0.0,50.0,88.1,0.335,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.2,-8.8,Strong negative regression,Weak Pull Power profile. 0.0% barrel rate; 77.1 mph average exit velocity; 22.2% air-ball rate; 50.0% pull-air rate; 0.0% HR-launch rate.,0.0273,0.0285,4.05,20,9,33.2,0.6,60.2,Recently homered,605400,Aaron Nola,R,RHB vs RHP,22,22,114.0,5.61,1.45,26,2.05,9.16,3.08,27.0,11.1,37.0,7.4,57.1,33.3,85.3,98.3,112.2,0.535,1.0,0.0,42.2,0.104,0.0,4-Seam Fastball,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.92,1.036,19.8,67.4,0.0,28.4,64.4,45.0,34.0,0.796,1.152,0.985,1.0,0.915,0.915,1.0,11.06,9.48,79.8,26.8,F,Lineup unconfirmed
96,2026-08-03,825095,2026-08-04T01:40:00Z,Scheduled,Chase Field,San Diego Padres @ Arizona Diamondbacks,Away,669134,Luis Campusano,San Diego Padres,Arizona Diamondbacks,C,R,No,,37,119,102,31,8,0,4,14,16,16,1,28,0.304,0.403,0.5,0.903,8,31,28,9,0,0.321,0.0,18,59,48,16,1,0.333,0.0169,24,24,0.0,33.3,54.5,27.3,18.2,4.2,29.2,71.4,33.3,4.2,0.0,4.2,,82.7,17.7,0.575,71.0,97.6,107.4,31.0,20.8,17.2,79.3,40.2,Below Average,2.5,Pull Power,A,Excellent HR swing plane,40.2,Below Average,0.973,Good,0.0,71.4,97.6,0.575,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.5,-3.5,Negative regression,Below Average Pull Power profile. 0.0% barrel rate; 82.7 mph average exit velocity; 29.2% air-ball rate; 71.4% pull-air rate; 4.2% HR-launch rate.,0.0336,0.0328,4.31,39,14,25.5,1.53,152.9,Above normal drought,694297,Brandon Pfaadt,R,RHB vs RHP,19,9,72.0,4.0,1.29,8,1.0,6.13,2.63,43.0,2.3,18.6,16.3,33.3,30.2,79.3,91.9,102.5,0.397,0.0,31.8,68.4,0.568,0.0,Changeup,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,0.964,0.948,40.2,16.7,31.8,49.1,50.0,45.0,34.0,0.77,0.984,0.985,1.0,0.973,0.973,1.035,13.39,9.35,65.2,31.4,D,Lineup unconfirmed
97,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Home,681082,Bryson Stott,Philadelphia Phillies,Washington Nationals,2B,L,Yes,6.0,106,409,369,93,21,6,8,46,50,34,2,75,0.252,0.317,0.407,0.724,11,41,34,9,1,0.265,0.0244,23,90,78,22,1,0.282,0.0111,33,33,0.0,24.2,45.5,36.4,18.2,9.1,12.1,25.0,15.2,0.0,0.0,0.0,,82.3,27.8,0.324,68.2,93.0,106.6,15.8,3.0,2.6,47.4,11.3,Weak,1.5,Contact-First Profile,A-,Elevated power plane,11.3,Weak,0.892,Good,0.0,25.0,93.0,0.324,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.19,-7.81,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 82.3 mph average exit velocity; 12.1% air-ball rate; 25.0% pull-air rate; 0.0% HR-launch rate.,0.0196,0.0224,4.14,16,6,46.1,0.35,34.7,Very recent HR,674841,Andrew Alvarez,L,LHB vs LHP,15,7,57.2,4.06,1.51,2,0.31,9.05,4.37,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,11.3,50.0,50.0,14.7,64.4,62.0,33.9,0.929,0.897,0.985,1.0,0.892,0.892,0.98,8.95,6.98,95.0,25.6,F,Good
98,2026-08-03,823431,2026-08-03T22:40:00Z,Pre-Game,Citizens Bank Park,Washington Nationals @ Philadelphia Phillies,Home,664761,Alec Bohm,Philadelphia Phillies,Washington Nationals,3B,R,Yes,4.0,107,437,399,90,16,0,13,37,60,27,7,66,0.226,0.284,0.363,0.647,11,46,43,13,1,0.302,0.0217,23,98,90,20,2,0.222,0.0204,36,36,0.0,19.4,5.9,52.9,41.2,13.9,22.2,0.0,30.6,2.8,0.0,2.8,,84.9,12.2,0.364,69.8,93.7,106.9,9.5,8.3,2.4,31.0,10.8,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,10.8,Weak,0.89,Good,0.0,0.0,93.7,0.364,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.11,-12.89,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 84.9 mph average exit velocity; 22.2% air-ball rate; 0.0% pull-air rate; 2.8% HR-launch rate.,0.0297,0.0302,4.42,35,9,30.7,1.14,114.0,Near normal interval,674841,Andrew Alvarez,L,RHB vs LHP,15,7,57.2,4.06,1.51,2,0.31,9.05,4.37,,,,,,,,,,,,50.0,0.0,,,Unavailable,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,10.8,50.0,50.0,11.4,64.4,74.0,33.6,0.88,0.897,1.025,0.975,0.89,0.868,1.0,12.69,9.74,95.0,30.7,D,Good
99,2026-08-03,823520,2026-08-03T23:05:00Z,Pre-Game,Yankee Stadium,St. Louis Cardinals @ New York Yankees,Home,683011,Anthony Volpe,New York Yankees,St. Louis Cardinals,SS,R,No,,56,194,171,41,9,1,1,20,19,22,0,45,0.24,0.325,0.322,0.647,9,30,28,6,0,0.214,0.0,17,50,45,10,0,0.222,0.0,21,21,4.8,23.8,33.3,25.0,41.7,23.8,33.3,28.6,19.0,4.8,4.8,4.8,0.0,81.5,24.0,0.279,69.3,93.0,112.4,24.2,4.8,6.1,60.6,21.1,Weak,2.0,Contact-First Profile,A-,Elevated power plane,21.1,Weak,0.919,Good,4.8,28.6,93.0,0.279,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.82,-0.18,Near expected,Weak Contact-First Profile profile. 4.8% barrel rate; 81.5 mph average exit velocity; 33.3% air-ball rate; 28.6% pull-air rate; 4.8% HR-launch rate.,0.0052,0.0154,3.87,139,46,171.0,0.81,81.3,Near normal interval,700241,Michael McGreevy,R,RHB vs RHP,21,21,116.0,3.57,1.2,15,1.16,5.9,2.25,25.0,12.0,28.0,12.0,33.3,56.0,80.2,94.8,106.7,0.716,0.0,1.4,61.7,0.221,2.7,Sinker,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.92,1.045,21.1,61.7,1.4,24.2,64.4,45.0,32.9,0.758,1.01,0.985,0.94,0.919,0.864,1.0,5.83,3.97,69.9,16.4,F,Lineup unconfirmed
100,2026-08-03,824324,2026-08-04T00:40:00Z,Scheduled,Coors Field,Tampa Bay Rays @ Colorado Rockies,Away,810938,Ben Williamson,Tampa Bay Rays,Colorado Rockies,2B,R,No,,82,265,242,60,10,1,3,30,26,20,2,49,0.248,0.311,0.335,0.646,11,35,33,9,1,0.273,0.0286,19,63,61,17,1,0.279,0.0159,17,17,0.0,29.4,45.5,36.4,9.1,0.0,11.8,100.0,29.4,5.9,5.9,5.9,,84.1,-3.1,0.322,67.5,93.7,102.4,0.0,5.9,0.0,28.6,25.9,Weak,2.0,Pull Power,D,Ground-ball heavy,25.9,Weak,0.933,Small Statcast sample,0.0,100.0,93.7,0.322,Derived proxy,Derived proxy,Derived proxy,Derived proxy,0.51,-2.49,Negative regression,Weak Pull Power profile. 0.0% barrel rate; 84.1 mph average exit velocity; 11.8% air-ball rate; 100.0% pull-air rate; 5.9% HR-launch rate.,0.0113,0.0178,3.93,0,0,80.7,0.0,0.0,Very recent HR,547179,Michael Lorenzen,R,RHB vs RHP,23,22,104.2,6.54,1.81,16,1.38,6.88,3.44,36.0,5.6,22.2,11.1,44.4,22.2,84.6,95.9,107.4,0.495,0.0,10.6,68.9,0.356,0.0,Sinker,Unknown,,Unknown,,No,118.0,1.18,1.0,82.4,0.921,0.981,25.9,38.0,10.6,41.3,82.4,45.0,32.7,1.115,1.045,0.985,0.94,0.933,0.877,0.98,6.8,7.13,76.0,22.1,F,Lineup unconfirmed
