player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,1,1,95.54,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,2,2,92.18,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,3,3,86.95,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,4,4,80.0,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,5,5,71.14,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,6,6,60.48,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,7,7,49.0,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,8,8,37.71,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,9,9,27.31,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,DET,WR,2026,REG,3,10,10,18.62,ELITE,6.402,6.453,6.0,2.0,11.0,3.376,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,1,1,92.51,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,2,2,86.37,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,3,3,77.37,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,4,4,65.95,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037664,Alec Pierce,IND,HOU,WR,2026,REG,3,5,5,52.79,ELITE,4.699,4.761,5.0,1.0,8.0,2.796,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
