Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Pull Air %,Sweet Spot %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Away,699013,Esmerlyn Valdez,Pittsburgh Pirates,New York Yankees,RF,R,Yes,4.0,31,118,105,32,7,1,12,23,32,12,0,44,0.305,0.373,0.733,1.106,9,40,34,10,6,0.294,0.15,21,89,78,29,10,0.372,0.1124,23,23,13.0,39.1,41.7,25.0,33.3,34.8,33.3,21.7,89.6,25.2,0.997,72.8,50.2,Average,1.001,Good,0.1017,0.0666,4.48,0,0,8.8,0.0,0.0,Very recent HR,677960,Ryan Weathers,L,RHB vs LHP,18,18,97.2,4.15,1.24,16,1.47,10.14,2.49,1.35,1.059,1.025,1.08,1.001,1.081,0.98,26.55,38.64,79.5,79.0,A-,Good
2,2026-07-20,823522,2026-07-20T23:05:00Z,Pre-Game,Yankee Stadium,Pittsburgh Pirates @ New York Yankees,Home,700250,Ben Rice,New York Yankees,Pittsburgh Pirates,1B,L,Yes,2.0,94,402,349,98,17,3,29,64,68,48,3,93,0.281,0.371,0.596,0.967,9,38,34,14,4,0.412,0.1053,24,99,89,23,8,0.258,0.0808,32,32,9.4,34.4,53.3,13.3,33.3,15.6,44.4,43.8,86.8,8.1,0.977,74.4,47.3,Average,0.992,Good,0.0721,0.0629,4.59,18,5,12.0,1.5,149.6,Above normal drought,677952,Braxton Ashcraft,R,LHB vs RHP,19,19,113.1,3.49,1.11,14,1.11,10.16,2.14,1.199,1.002,1.025,1.055,0.992,1.047,1.035,25.79,33.13,95.0,74.5,B+,Good
3,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,Washington Nationals,C,R,Yes,4.0,92,384,346,89,15,0,30,62,56,32,4,125,0.257,0.326,0.561,0.887,7,26,23,8,3,0.348,0.1154,21,84,75,23,9,0.307,0.1071,23,23,17.4,30.4,45.5,54.5,0.0,13.0,62.5,39.1,81.3,15.0,1.356,73.6,55.4,Average,1.015,Good,0.0781,0.0671,4.42,0,0,11.5,0.0,0.0,Very recent HR,674841,Andrew Alvarez,L,RHB vs LHP,13,6,49.0,4.04,1.45,2,0.37,9.73,4.04,1.265,0.918,1.025,1.03,1.015,1.046,0.98,26.45,31.47,95.0,67.2,B,Good
4,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,695578,James Wood,Washington Nationals,Colorado Rockies,RF,L,Yes,1.0,100,469,383,104,23,1,28,91,66,80,4,139,0.272,0.401,0.556,0.957,8,39,32,10,4,0.312,0.1026,23,111,89,24,8,0.27,0.0721,26,26,3.8,34.6,66.7,25.0,8.3,11.5,50.0,38.5,84.3,7.2,0.798,74.4,37.3,Below Average,0.964,Good,0.0597,0.0541,4.75,14,3,13.7,1.02,102.3,Near normal interval,607536,Kyle Freeland,L,LHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.257,1.118,0.985,1.055,0.964,1.017,1.0,23.2,31.37,95.0,69.3,B,Good
5,2026-07-20,823436,2026-07-20T23:10:00Z,Pre-Game,Citizens Bank Park,Los Angeles Dodgers @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,Los Angeles Dodgers,DH,L,Yes,2.0,96,427,360,91,10,1,33,59,61,62,4,147,0.253,0.368,0.561,0.929,9,39,34,9,3,0.265,0.0769,23,98,81,20,5,0.247,0.051,23,23,8.7,34.8,42.9,28.6,28.6,21.7,33.3,39.1,87.8,32.6,0.521,76.2,38.4,Below Average,0.968,Good,0.0773,0.0673,4.59,3,1,10.9,0.28,27.5,Very recent HR,686218,Emmet Sheehan,R,LHB vs RHP,17,17,82.1,4.81,1.24,15,1.64,10.17,2.84,0.988,1.086,1.025,1.03,0.968,0.997,0.98,27.39,29.15,95.0,64.1,B-,Good
6,2026-07-20,824167,2026-07-21T00:10:00Z,Pre-Game,Daikin Park,Miami Marlins @ Houston Astros,Home,670541,Yordan Alvarez,Houston Astros,Miami Marlins,DH,L,Yes,2.0,99,434,360,115,20,0,31,65,73,66,5,74,0.319,0.429,0.633,1.062,8,37,30,10,2,0.333,0.0541,22,99,79,25,7,0.316,0.0707,29,29,10.3,31.0,47.1,17.6,35.3,20.7,50.0,27.6,86.8,25.7,0.974,75.6,43.5,Below Average,0.982,Good,0.0714,0.0629,4.59,14,4,11.6,1.21,120.6,Near normal interval,676083,Janson Junk,R,LHB vs RHP,12,12,65.0,4.57,1.31,9,1.25,6.65,2.35,0.991,1.022,1.025,1.08,0.982,1.06,1.0,25.78,28.07,95.0,66.3,B,Good
7,2026-07-20,824410,2026-07-20T22:40:00Z,Pre-Game,Progressive Field,Minnesota Twins @ Cleveland Guardians,Away,621439,Byron Buxton,Minnesota Twins,Cleveland Guardians,CF,R,Yes,2.0,75,335,306,83,16,1,25,57,45,23,4,83,0.271,0.328,0.575,0.903,0,0,0,0,0,0.0,0.0,9,38,35,9,1,0.257,0.0263,0,0,,,,,,,,,,,,,50.0,Average,1.0,Small Statcast sample,0.0746,0.0634,4.65,26,7,12.2,2.12,212.4,Very long drought,676440,Tanner Bibee,R,RHB vs RHP,20,20,113.0,3.9,1.15,20,1.59,6.93,2.71,0.901,1.078,0.985,1.03,1.0,1.03,1.06,26.25,27.29,91.0,66.5,B,Good
8,2026-07-20,824898,2026-07-20T23:15:00Z,Pre-Game,Truist Park,San Diego Padres @ Atlanta Braves,Away,664034,Ty France,San Diego Padres,Atlanta Braves,1B,R,Yes,4.0,73,243,218,60,11,2,14,28,39,13,8,55,0.275,0.335,0.537,0.872,6,27,21,10,4,0.476,0.1481,20,80,67,22,6,0.328,0.075,45,45,8.9,37.8,65.0,5.0,30.0,15.6,64.3,42.2,86.3,22.7,0.915,70.4,51.4,Average,1.004,Good,0.0576,0.0491,4.48,0,0,15.6,0.0,0.0,Very recent HR,693821,Bryce Elder,R,RHB vs RHP,18,18,102.2,4.12,1.25,15,1.31,7.54,2.81,1.35,1.034,0.985,1.03,1.004,1.034,0.98,20.21,27.21,87.8,59.2,C+,Good
9,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Home,592626,Joc Pederson,Texas Rangers,Chicago White Sox,DH,L,Yes,1.0,90,302,259,63,9,2,16,39,35,36,3,68,0.243,0.339,0.479,0.818,8,26,23,6,2,0.261,0.0769,19,71,64,18,7,0.281,0.0986,19,19,10.5,26.3,61.5,23.1,15.4,15.8,60.0,42.1,88.0,30.8,0.863,71.2,48.0,Average,0.994,Small Statcast sample,0.053,0.047,4.69,4,1,16.2,0.25,24.7,Very recent HR,607200,Erick Fedde,R,LHB vs RHP,19,9,89.0,4.15,1.42,15,1.52,6.07,3.54,1.293,1.067,1.025,1.0,0.994,0.994,0.98,20.22,26.96,91.3,58.4,C+,Good
10,2026-07-20,824167,2026-07-21T00:10:00Z,Pre-Game,Daikin Park,Miami Marlins @ Houston Astros,Away,665052,Griffin Conine,Miami Marlins,Houston Astros,LF,L,Yes,5.0,33,99,87,24,4,0,7,15,16,10,2,31,0.276,0.364,0.563,0.927,9,25,25,10,4,0.4,0.16,22,74,65,18,5,0.277,0.0676,23,23,13.0,17.4,55.6,22.2,22.2,17.4,50.0,47.8,80.3,19.3,1.258,72.6,49.4,Average,0.998,Good,0.0707,0.0495,4.35,4,1,12.4,0.32,32.2,Very recent HR,669854,Ronel Blanco,R,LHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.33,1.0,1.025,1.03,0.998,1.028,0.98,19.81,26.38,67.0,55.7,C+,Probable SP unavailable
11,2026-07-20,823436,2026-07-20T23:10:00Z,Pre-Game,Citizens Bank Park,Los Angeles Dodgers @ Philadelphia Phillies,Away,660271,Shohei Ohtani,Los Angeles Dodgers,Philadelphia Phillies,TWP,L,Yes,1.0,95,419,348,101,17,2,22,66,60,60,5,95,0.29,0.398,0.54,0.938,8,33,32,8,3,0.25,0.0909,22,97,87,24,6,0.276,0.0619,22,22,18.2,50.0,44.4,27.8,27.8,31.8,33.3,36.4,88.6,21.8,0.861,74.7,69.2,Above Average,1.054,Good,0.0525,0.0479,4.75,13,3,15.8,0.82,82.2,Near normal interval,650911,Cristopher Sánchez,L,LHB vs LHP,20,20,127.1,2.62,1.19,12,0.85,10.18,1.77,1.249,0.96,0.985,1.03,1.054,1.085,1.0,20.81,26.02,95.0,59.6,C+,Good
12,2026-07-20,822788,2026-07-20T23:07:00Z,Pre-Game,Rogers Centre,Tampa Bay Rays @ Toronto Blue Jays,Away,691406,Junior Caminero,Tampa Bay Rays,Toronto Blue Jays,3B,R,Yes,3.0,98,428,372,104,14,0,29,63,60,53,1,80,0.28,0.369,0.551,0.92,10,43,38,9,3,0.237,0.0698,25,108,97,26,14,0.268,0.1296,35,35,5.7,37.1,61.1,16.7,22.2,8.6,71.4,34.3,84.8,4.9,0.684,77.7,41.0,Below Average,0.975,Good,0.0678,0.0599,4.55,9,2,12.8,0.7,70.2,Recently homered,656302,Dylan Cease,R,RHB vs RHP,17,17,98.1,2.56,1.13,5,0.46,13.55,4.03,1.189,0.898,0.985,1.03,0.975,1.004,1.0,24.51,25.72,95.0,58.5,C+,Good
13,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,678554,Curtis Mead,Washington Nationals,Colorado Rockies,3B,R,Yes,2.0,83,309,270,69,16,1,17,47,48,35,4,58,0.256,0.35,0.511,0.861,8,33,28,11,2,0.393,0.0606,22,93,85,26,6,0.306,0.0645,27,27,7.4,37.0,50.0,28.6,21.4,11.1,40.0,48.1,85.7,17.6,0.714,70.0,41.6,Below Average,0.976,Good,0.055,0.0486,4.65,11,3,15.9,0.69,69.3,Recently homered,607536,Kyle Freeland,L,RHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.114,1.118,1.025,1.0,0.976,0.976,1.0,20.67,25.21,93.5,56.6,C+,Good
14,2026-07-20,824736,2026-07-20T23:10:00Z,Pre-Game,Fenway Park,Baltimore Orioles @ Boston Red Sox,Home,575929,Willson Contreras,Boston Red Sox,Baltimore Orioles,1B,R,Yes,4.0,91,376,321,91,16,2,22,49,64,37,15,93,0.283,0.38,0.551,0.931,5,19,15,4,2,0.267,0.1053,19,76,66,18,6,0.273,0.0789,14,14,14.3,21.4,33.3,16.7,50.0,28.6,33.3,28.6,85.9,28.8,1.07,76.9,43.5,Below Average,0.982,Small Statcast sample,0.0585,0.0521,4.42,0,0,14.6,0.0,0.0,Very recent HR,669358,Shane Baz,R,RHB vs RHP,19,19,111.2,4.19,1.39,9,0.73,7.98,3.39,1.317,0.941,0.985,1.03,0.982,1.011,0.98,21.06,25.0,95.0,57.5,C+,Good
15,2026-07-20,824736,2026-07-20T23:10:00Z,Pre-Game,Fenway Park,Baltimore Orioles @ Boston Red Sox,Away,691723,Coby Mayo,Baltimore Orioles,Boston Red Sox,3B,R,Yes,5.0,77,255,232,46,9,0,13,32,35,19,3,84,0.198,0.267,0.405,0.672,8,18,16,5,3,0.312,0.1667,17,50,45,10,4,0.222,0.08,10,10,30.0,40.0,50.0,33.3,16.7,20.0,40.0,70.0,90.3,20.2,1.541,74.0,57.4,Average,1.021,Small Statcast sample,0.051,0.0449,4.35,0,0,17.8,0.0,0.0,Very recent HR,801139,Payton Tolle,L,RHB vs LHP,15,15,84.0,3.11,1.07,8,0.86,9.32,2.68,1.35,0.962,1.025,1.0,1.021,1.021,0.98,18.12,23.52,86.2,50.0,C,Good
16,2026-07-20,824654,2026-07-21T00:05:00Z,Pre-Game,Wrigley Field,Detroit Tigers @ Chicago Cubs,Away,679529,Spencer Torkelson,Detroit Tigers,Chicago Cubs,1B,R,Yes,7.0,98,383,334,69,18,0,18,40,47,41,5,125,0.207,0.301,0.422,0.723,9,35,34,5,4,0.147,0.1143,23,93,83,18,6,0.217,0.0645,25,25,8.0,16.0,25.0,58.3,16.7,20.0,28.6,28.0,81.4,15.4,0.662,71.2,21.5,Weak,0.92,Good,0.047,0.0434,4.08,4,1,18.6,0.22,21.6,Very recent HR,592791,Jameson Taillon,R,RHB vs RHP,13,13,67.2,5.19,1.3,20,2.66,7.85,3.06,1.35,1.2,0.985,1.0,0.92,0.92,0.98,16.57,23.14,95.0,51.4,C,Good
17,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Home,679822,Justin Foscue,Texas Rangers,Chicago White Sox,2B,R,No,,49,124,111,31,7,0,7,15,19,10,2,30,0.279,0.347,0.532,0.879,9,19,18,6,2,0.333,0.1053,17,41,36,11,3,0.306,0.0732,11,11,0.0,9.1,42.9,28.6,28.6,18.2,25.0,27.3,84.1,25.8,0.297,70.2,27.4,Weak,0.937,Small Statcast sample,0.0565,0.0444,4.09,11,6,15.9,0.69,69.4,Recently homered,607200,Erick Fedde,R,RHB vs RHP,19,9,89.0,4.15,1.42,15,1.52,6.07,3.54,1.35,1.067,0.985,1.03,0.937,0.965,1.0,16.96,22.64,64.1,48.6,C,Lineup unconfirmed
18,2026-07-20,824410,2026-07-20T22:40:00Z,Pre-Game,Progressive Field,Minnesota Twins @ Cleveland Guardians,Away,665019,Kody Clemens,Minnesota Twins,Cleveland Guardians,1B,L,Yes,3.0,86,342,311,75,18,3,18,47,48,22,5,79,0.241,0.3,0.492,0.792,9,36,33,7,2,0.212,0.0556,21,89,81,17,7,0.21,0.0787,34,34,5.9,17.6,58.3,16.7,25.0,17.6,42.9,8.8,81.3,22.0,0.486,69.6,21.9,Weak,0.921,Good,0.0526,0.0473,4.55,2,1,17.3,0.12,11.6,Very recent HR,676440,Tanner Bibee,R,LHB vs RHP,20,20,113.0,3.9,1.15,20,1.59,6.93,2.71,1.158,1.078,1.025,1.0,0.921,0.921,0.98,19.78,22.56,95.0,51.5,C,Good
19,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,671277,Luis García Jr.,Washington Nationals,Colorado Rockies,1B,L,Yes,8.0,92,324,308,86,16,3,20,45,68,15,0,51,0.279,0.312,0.545,0.857,7,25,23,6,1,0.261,0.04,21,80,73,24,10,0.329,0.125,20,20,5.0,20.0,30.0,50.0,20.0,0.0,33.3,35.0,83.6,9.8,0.359,73.3,21.1,Weak,0.919,Good,0.0617,0.0537,3.98,16,5,15.4,1.04,103.9,Near normal interval,607536,Kyle Freeland,L,LHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.097,1.118,0.985,1.03,0.919,0.947,1.0,19.72,22.3,93.5,53.2,C,Good
20,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,665953,Andrés Chaparro,Washington Nationals,Colorado Rockies,1B,R,Yes,3.0,33,75,62,13,3,0,3,13,15,12,1,19,0.21,0.347,0.403,0.75,5,15,13,5,2,0.385,0.1333,13,34,30,7,3,0.233,0.0882,19,19,10.5,36.8,60.0,30.0,10.0,5.3,100.0,42.1,85.1,10.1,0.958,71.8,50.7,Average,1.002,Small Statcast sample,0.04,0.0351,4.55,3,1,20.7,0.15,14.5,Very recent HR,607536,Kyle Freeland,L,RHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.35,1.118,1.025,1.0,1.002,1.002,0.98,15.0,22.06,72.1,46.9,C-,Small season sample
21,2026-07-20,824898,2026-07-20T23:15:00Z,Pre-Game,Truist Park,San Diego Padres @ Atlanta Braves,Home,686948,Drake Baldwin,Atlanta Braves,San Diego Padres,C,L,Yes,1.0,75,334,293,81,6,0,18,54,54,33,7,71,0.276,0.362,0.481,0.843,9,40,34,15,3,0.441,0.075,23,100,87,22,4,0.253,0.04,42,42,9.5,33.3,40.9,27.3,31.8,11.9,35.7,35.7,85.0,20.6,0.867,73.4,37.6,Below Average,0.965,Good,0.0539,0.0481,4.69,0,0,16.3,0.0,0.0,Very recent HR,676664,JP Sears,L,LHB vs LHP,4,4,19.2,5.03,1.42,4,1.83,7.78,3.66,1.093,1.032,0.985,1.0,0.965,0.965,0.98,20.64,21.59,95.0,50.7,C,Good
22,2026-07-20,824898,2026-07-20T23:15:00Z,Pre-Game,Truist Park,San Diego Padres @ Atlanta Braves,Home,621566,Matt Olson,Atlanta Braves,San Diego Padres,1B,L,Yes,3.0,98,431,383,103,25,0,26,67,59,43,2,105,0.269,0.343,0.538,0.881,9,41,35,8,2,0.229,0.0488,23,102,90,23,6,0.256,0.0588,28,28,7.1,28.6,50.0,40.0,10.0,3.6,25.0,39.3,84.4,10.6,0.943,71.9,26.8,Weak,0.935,Good,0.0603,0.0542,4.49,9,2,14.7,0.61,61.1,Recently homered,676664,JP Sears,L,LHB vs LHP,4,4,19.2,5.03,1.42,4,1.83,7.78,3.66,0.994,1.032,0.985,1.03,0.935,0.963,1.0,22.12,21.57,95.0,51.3,C,Good
23,2026-07-20,822788,2026-07-20T23:07:00Z,Pre-Game,Rogers Centre,Tampa Bay Rays @ Toronto Blue Jays,Away,683748,Victor Mesa Jr.,Tampa Bay Rays,Toronto Blue Jays,RF,L,Yes,6.0,36,112,97,21,2,0,7,15,14,13,0,25,0.216,0.306,0.454,0.76,8,22,21,8,4,0.381,0.1818,19,57,51,13,5,0.255,0.0877,26,26,11.5,19.2,58.3,16.7,25.0,15.4,60.0,42.3,82.2,19.1,0.76,73.4,45.8,Average,0.988,Good,0.0625,0.0467,4.2,0,0,13.9,0.0,0.0,Very recent HR,656302,Dylan Cease,R,LHB vs RHP,17,17,98.1,2.56,1.13,5,0.46,13.55,4.03,1.35,0.898,1.025,1.0,0.988,0.988,0.98,18.21,21.57,76.6,46.9,C-,Good
24,2026-07-20,825058,2026-07-21T01:40:00Z,Scheduled,Chase Field,Athletics @ Arizona Diamondbacks,Away,691016,Tyler Soderstrom,Athletics,Arizona Diamondbacks,LF,L,No,,87,360,311,76,21,2,16,47,47,45,3,65,0.244,0.344,0.479,0.823,7,25,22,6,3,0.273,0.12,13,47,41,11,3,0.268,0.0638,18,18,16.7,50.0,58.3,33.3,8.3,22.2,60.0,27.8,92.0,18.5,0.871,73.9,66.7,Above Average,1.047,Small Statcast sample,0.0444,0.0413,4.15,5,1,19.4,0.26,25.7,Very recent HR,683352,Mitch Bratt,L,LHB vs LHP,2,2,6.0,6.0,1.67,1,1.5,4.5,7.5,1.35,1.005,0.985,1.0,1.047,1.047,0.98,16.07,21.51,80.8,48.3,C,Lineup unconfirmed
25,2026-07-20,823762,2026-07-20T23:40:00Z,Pre-Game,American Family Field,New York Mets @ Milwaukee Brewers,Away,665742,Juan Soto,New York Mets,Milwaukee Brewers,LF,L,Yes,2.0,81,348,286,83,8,2,21,45,52,59,0,45,0.29,0.409,0.552,0.961,9,40,30,6,2,0.2,0.05,22,95,70,18,4,0.257,0.0421,27,27,3.7,33.3,56.2,12.5,31.2,18.5,50.0,33.3,86.0,17.9,0.451,70.3,32.7,Below Average,0.952,Good,0.0603,0.0531,4.65,20,6,13.6,1.47,146.9,Above normal drought,694819,Jacob Misiorowski,R,LHB vs RHP,18,18,111.0,1.62,0.76,9,0.73,13.54,2.19,0.95,0.941,1.025,1.055,0.952,1.004,1.035,22.4,21.42,95.0,55.5,C+,Good
26,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Home,694671,Wyatt Langford,Texas Rangers,Chicago White Sox,LF,R,Yes,2.0,47,204,191,54,9,2,10,29,25,12,1,44,0.283,0.328,0.508,0.836,7,31,29,9,2,0.31,0.0645,13,59,55,18,5,0.327,0.0847,33,33,3.0,24.2,33.3,38.9,27.8,15.2,38.5,30.3,84.3,19.4,0.629,70.3,20.9,Weak,0.919,Good,0.049,0.0427,4.59,0,0,19.1,0.0,0.0,Very recent HR,607200,Erick Fedde,R,RHB vs RHP,19,9,89.0,4.15,1.42,15,1.52,6.07,3.54,1.265,1.067,0.985,1.0,0.919,0.919,0.98,18.16,21.41,83.3,48.7,C,Good
27,2026-07-20,824167,2026-07-21T00:10:00Z,Pre-Game,Daikin Park,Miami Marlins @ Houston Astros,Away,681715,Heriberto Hernández,Miami Marlins,Houston Astros,LF,R,Yes,2.0,70,241,215,51,9,1,13,25,36,24,1,58,0.237,0.315,0.47,0.785,9,34,31,8,2,0.258,0.0588,21,79,69,17,6,0.246,0.0759,23,23,8.7,26.1,41.7,16.7,41.7,13.0,37.5,30.4,85.0,17.3,0.57,72.5,27.4,Weak,0.937,Good,0.0539,0.0466,4.65,20,5,16.5,1.21,120.9,Near normal interval,669854,Ronel Blanco,R,RHB vs RHP,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.17,1.0,0.985,1.0,0.937,0.937,1.0,19.92,21.37,77.5,49.2,C,Probable SP unavailable
28,2026-07-20,824328,2026-07-21T00:40:00Z,Pre-Game,Coors Field,Washington Nationals @ Colorado Rockies,Away,682928,CJ Abrams,Washington Nationals,Colorado Rockies,SS,L,Yes,4.0,96,409,358,99,19,2,21,58,70,35,10,88,0.277,0.352,0.517,0.869,8,36,30,9,2,0.3,0.0556,21,89,79,20,5,0.253,0.0562,34,34,5.9,35.3,47.1,17.6,35.3,23.5,33.3,32.4,82.0,17.9,0.873,67.3,31.5,Weak,0.948,Good,0.0513,0.047,4.48,0,0,17.0,0.0,0.0,Very recent HR,607536,Kyle Freeland,L,LHB vs LHP,17,17,88.0,7.36,1.57,18,1.84,8.08,1.84,1.076,1.118,0.985,1.0,0.948,0.948,0.98,19.38,21.17,95.0,50.5,C,Good
29,2026-07-20,822874,2026-07-21T00:05:00Z,Pre-Game,Globe Life Field,Chicago White Sox @ Texas Rangers,Away,808959,Munetaka Murakami,Chicago White Sox,Texas Rangers,1B,L,Yes,2.0,63,272,221,51,6,0,20,46,42,49,1,91,0.231,0.371,0.529,0.9,6,26,21,3,0,0.143,0.0,6,26,21,3,0,0.143,0.0,18,18,0.0,38.9,60.0,10.0,30.0,16.7,25.0,22.2,82.5,7.9,0.344,74.6,17.9,Weak,0.91,Small Statcast sample,0.0735,0.0608,4.65,25,8,11.0,2.26,226.2,Very long drought,594798,Jacob deGrom,R,LHB vs RHP,18,18,100.2,3.49,1.01,16,1.43,10.91,1.97,0.758,1.053,1.025,1.03,0.91,0.937,1.06,25.31,21.0,85.5,56.2,C+,Good
30,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,682829,Elly De La Cruz,Cincinnati Reds,Seattle Mariners,SS,S,Yes,1.0,79,354,316,89,15,4,16,54,45,34,2,97,0.282,0.353,0.506,0.859,9,42,37,13,3,0.351,0.0714,21,97,84,24,4,0.286,0.0412,32,32,9.4,40.6,52.2,30.4,17.4,15.6,42.9,37.5,88.8,14.1,0.74,77.5,48.3,Average,0.995,Good,0.0452,0.0419,4.75,8,2,19.8,0.41,40.5,Recently homered,669923,George Kirby,R,Switch vs RHP,18,18,110.0,3.76,1.32,11,0.9,8.02,1.96,1.153,0.968,1.035,1.0,0.995,0.995,1.0,18.38,20.88,95.0,49.8,C,Good
31,2026-07-20,825058,2026-07-21T01:40:00Z,Scheduled,Chase Field,Athletics @ Arizona Diamondbacks,Home,571448,Nolan Arenado,Arizona Diamondbacks,Athletics,3B,R,No,,93,359,320,78,18,0,13,46,44,30,6,77,0.244,0.318,0.422,0.74,9,37,32,9,3,0.281,0.0811,22,88,80,21,5,0.262,0.0568,24,24,12.5,33.3,73.3,13.3,13.3,16.7,85.7,37.5,84.5,12.7,0.64,69.3,47.1,Average,0.992,Good,0.0362,0.0352,3.99,0,0,24.6,0.0,0.0,Very recent HR,605488,Jeffrey Springs,L,RHB vs LHP,19,19,97.2,6.08,1.42,26,2.4,7.74,3.41,1.35,1.2,1.025,1.0,0.992,0.992,0.98,13.31,20.79,84.0,46.4,C-,Lineup unconfirmed
32,2026-07-20,824087,2026-07-20T23:40:00Z,Pre-Game,Kauffman Stadium,San Francisco Giants @ Kansas City Royals,Away,805811,Bryce Eldridge,San Francisco Giants,Kansas City Royals,DH,L,Yes,2.0,57,231,200,55,13,0,10,30,23,30,0,57,0.275,0.368,0.49,0.858,9,38,32,9,3,0.281,0.0789,22,91,79,18,4,0.228,0.044,22,22,9.1,31.8,57.1,28.6,14.3,27.3,50.0,45.5,87.3,17.5,0.633,74.4,47.9,Average,0.994,Good,0.0433,0.0394,4.65,0,0,20.0,0.0,0.0,Very recent HR,608379,Michael Wacha,R,LHB vs RHP,19,19,119.1,3.77,1.19,14,1.06,7.24,2.56,1.241,0.994,1.025,1.0,0.994,0.994,0.98,17.06,20.66,87.8,48.5,C,Good
33,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,668709,JJ Bleday,Cincinnati Reds,Seattle Mariners,LF,L,Yes,3.0,70,297,251,61,11,1,16,37,43,41,2,59,0.243,0.351,0.486,0.837,9,38,32,10,3,0.312,0.0789,23,92,77,16,3,0.208,0.0326,31,31,6.5,25.8,60.0,20.0,20.0,25.8,58.3,32.3,83.5,22.8,0.648,73.4,35.5,Below Average,0.959,Good,0.0539,0.0476,4.55,14,4,15.7,0.89,89.2,Near normal interval,669923,George Kirby,R,LHB vs RHP,18,18,110.0,3.76,1.32,11,0.9,8.02,1.96,1.088,0.968,1.025,1.0,0.959,0.959,1.0,19.89,20.55,92.6,49.3,C,Good
34,2026-07-20,823112,2026-07-21T01:40:00Z,Pre-Game,T-Mobile Park,Cincinnati Reds @ Seattle Mariners,Away,663993,Nathaniel Lowe,Cincinnati Reds,Seattle Mariners,DH,L,No,,72,231,205,51,13,0,11,22,30,26,0,62,0.249,0.333,0.473,0.806,4,15,15,4,2,0.267,0.1333,14,44,41,8,2,0.195,0.0455,13,13,15.4,53.8,66.7,33.3,0.0,23.1,80.0,23.1,92.7,16.8,1.022,74.5,61.2,Average,1.031,Small Statcast sample,0.0476,0.0423,4.15,0,0,18.6,0.0,0.0,Very recent HR,669923,George Kirby,R,LHB vs RHP,18,18,110.0,3.76,1.32,11,0.9,8.02,1.96,1.271,0.968,1.025,1.0,1.031,1.031,0.98,16.41,20.53,72.0,45.3,C-,Lineup unconfirmed
