player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,receiving_depth_role,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,projected_targets,target_share,projected_receptions,catch_rate,yards_per_target,yards_per_reception,team_target_budget,team_receiving_yard_budget,receiving_allocation_source
00-0039064,Zay Flowers,BAL,IND,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872659,2026-09-13T17:00Z,away,69.741,70.286,69.649,20.844,118.929,37.031,50,88.8,72.5,66.2,71.235,6.8,1.0,1.113,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.53,94.11,92.47,90.38,87.95,85.2,82.04,78.39,74.27,69.86,65.17,60.1,54.89,49.61,44.35,39.27,34.37,29.75,25.35,21.45,17.81,14.62,11.88,9.49,7.49,5.8,4.42,3.28,2.43,1.76,7.486,31.19,5.5,73.47,10.133,12.681,22.08,170.56,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037240,Jameson Williams,DET,NO,WR,WR,,WR2,ACT,4.0,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,home,68.453,69.361,68.302,13.932,123.01,40.588,44,82.2,82.8,65.733,65.706,7.8,1.0,0.991,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.25,91.57,89.55,87.28,84.64,81.61,78.29,74.72,70.81,66.64,62.26,57.73,53.1,48.42,43.86,39.35,34.8,30.52,26.51,22.8,19.38,16.34,13.63,11.29,9.24,7.44,5.91,4.68,3.65,2.82,6.92,19.71,4.39,63.44,10.602,15.593,32.31,262.17,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0040126,Colston Loveland,CHI,CAR,TE,TE,,TE1,ACT,1.0,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,away,66.027,66.308,66.113,26.342,105.843,30.515,16,61.4,59.7,46.733,44.562,7.6,1.0,0.925,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.61,96.52,94.97,93.08,90.72,87.78,84.3,80.13,75.32,69.93,64.09,57.78,51.41,45.01,38.81,32.75,27.12,21.99,17.55,13.62,10.49,7.82,5.77,4.07,2.84,1.95,1.31,0.86,0.52,0.34,8.721,25.6,5.785,66.34,8.545,11.413,31.34,228.29,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036410,Tee Higgins,CIN,TB,WR,WR,,WR2,ACT,6.0,2026,REG,1,2026 REG W1,401872925,2026-09-13T17:00Z,home,64.481,64.666,64.424,23.935,104.953,31.033,39,60.4,68.8,56.4,56.4,6.8,1.0,1.15,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.95,95.73,94.15,92.06,89.39,86.24,82.43,78.04,73.03,67.42,61.63,55.5,49.32,43.08,36.91,31.09,25.72,20.91,16.7,13.03,9.98,7.5,5.47,3.91,2.79,1.89,1.28,0.85,0.57,0.34,7.461,20.88,4.492,60.2,8.633,14.355,32.87,243.13,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037238,Drake London,ATL,PIT,WR,WR,,WR1,ACT,4.0,2026,REG,1,2026 REG W1,401872658,2026-09-13T17:00Z,away,63.499,64.428,63.421,13.17,113.924,37.519,45,66.4,81.5,84.733,76.583,7.0,1.0,1.15,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.14,91.34,89.15,86.62,83.69,80.4,76.71,72.62,68.28,63.56,58.55,53.49,48.35,43.38,38.46,33.75,29.23,25.1,21.25,17.72,14.56,11.9,9.51,7.51,5.86,4.54,3.42,2.6,1.96,1.42,8.078,26.71,4.815,59.6,8.417,13.189,27.82,192.75,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038124,Christian Watson,GB,MIN,WR,WR,,WR1,ACT,4.0,2026,REG,1,2026 REG W1,401872927,2026-09-13T20:25Z,away,63.37,64.146,63.187,13.807,113.123,37.063,33,65.6,61.1,56.533,61.1,6.2,1.0,0.991,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.43,91.62,89.45,86.88,83.92,80.55,76.72,72.6,68.05,63.21,58.36,53.3,48.11,43.09,38.11,33.31,28.79,24.56,20.61,17.19,14.21,11.56,9.19,7.27,5.66,4.36,3.29,2.45,1.76,1.26,6.975,25.52,4.077,58.44,10.61,15.545,25.15,202.4,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0035640,DK Metcalf,PIT,ATL,WR,WR,,WR1,ACT,7.0,2026,REG,1,2026 REG W1,401872658,2026-09-13T17:00Z,home,62.375,62.915,62.599,19.714,105.241,32.427,46,59.8,49.4,56.667,56.667,7.4,1.0,0.964,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.78,94.25,92.33,89.85,86.89,83.56,79.57,75.11,70.1,64.67,59.02,53.13,47.05,41.02,35.35,30.05,25.0,20.4,16.37,13.0,10.13,7.73,5.83,4.3,3.04,2.13,1.47,0.99,0.66,0.44,8.929,27.35,5.247,58.76,8.34,11.888,30.04,192.24,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037744,Trey McBride,ARI,LAC,TE,TE,,TE1,ACT,4.0,2026,REG,1,2026 REG W1,401872926,2026-09-13T20:25Z,away,61.47,61.804,61.47,21.468,101.58,30.54,50,72.0,81.8,73.333,72.882,10.2,1.0,0.923,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,96.44,94.95,93.14,90.84,87.92,84.43,80.32,75.65,70.37,64.53,58.35,51.91,45.48,39.14,33.2,27.64,22.53,18.04,14.15,10.9,8.21,6.02,4.29,3.0,2.13,1.44,0.91,0.61,0.38,0.24,9.187,25.67,6.845,74.51,7.19,8.98,32.93,226.51,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0040735,Luther Burden III,CHI,CAR,WR,WR,,WR2,ACT,1.0,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,away,61.018,62.0,61.272,13.42,108.967,35.652,15,71.4,50.2,43.467,43.467,6.4,1.0,0.925,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.46,91.54,89.19,86.49,83.29,79.91,75.9,71.58,66.77,61.77,56.63,51.34,46.02,40.77,35.57,30.76,26.16,21.97,18.25,14.9,12.05,9.5,7.4,5.73,4.3,3.24,2.37,1.74,1.24,0.88,6.829,20.05,4.905,71.83,10.085,12.439,31.34,228.29,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036912,DeVonta Smith,PHI,WAS,WR,WR,,WR1,ACT,5.0,2026,REG,1,2026 REG W1,401872929,2026-09-13T20:25Z,home,59.894,60.633,59.708,12.441,107.442,35.41,46,41.2,50.4,62.6,59.294,5.4,1.0,1.143,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.08,91.11,88.74,85.87,82.57,78.85,74.76,70.23,65.54,60.37,55.1,49.7,44.31,39.15,34.04,29.17,24.81,20.74,17.12,13.91,11.21,8.83,6.85,5.27,3.99,2.95,2.17,1.56,1.12,0.78,7.406,26.48,4.891,66.04,8.953,12.247,25.73,177.71,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037261,Khalil Shakir,BUF,HOU,WR,WR,,WR1,ACT,4.0,2026,REG,1,2026 REG W1,401872660,2026-09-13T17:00Z,away,59.236,59.403,59.269,22.32,96.063,28.199,47,31.0,45.1,43.667,44.938,4.8,1.0,0.992,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.07,95.7,93.84,91.36,88.26,84.48,79.97,74.82,68.95,62.66,55.78,48.99,41.95,35.31,29.27,23.57,18.51,14.22,10.63,7.77,5.51,3.85,2.58,1.69,1.05,0.64,0.38,0.23,0.12,0.06,8.082,27.08,6.401,79.21,7.475,9.254,27.46,214.36,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038544,Quentin Johnston,LAC,ARI,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872926,2026-09-13T20:25Z,home,59.045,60.008,59.208,12.269,106.11,34.952,45,46.6,49.6,64.6,56.538,4.4,1.0,1.012,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.08,91.06,88.66,85.84,82.54,78.74,74.46,70.04,65.11,59.88,54.5,49.14,43.67,38.31,33.24,28.35,24.0,19.96,16.48,13.23,10.52,8.25,6.4,4.87,3.67,2.77,2.01,1.4,0.96,0.67,7.322,24.06,4.162,56.84,7.947,14.187,27.99,190.28,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0031408,Mike Evans,SF,LAR,WR,WR,,WR1,ACT,12.0,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,away,58.739,59.745,59.038,12.163,105.66,34.738,39,45.6,55.4,69.133,46.0,6.8,1.0,1.129,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.01,90.95,88.6,85.67,82.38,78.73,74.42,69.88,65.02,59.81,54.37,48.91,43.46,38.08,33.01,28.14,23.72,19.75,16.18,13.02,10.3,8.04,6.16,4.62,3.45,2.48,1.77,1.24,0.87,0.59,7.511,24.98,4.695,62.5,8.289,12.512,27.67,215.26,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0040663,Harold Fannin Jr.,CLE,JAX,TE,TE,,TE1,ACT,1.0,2026,REG,1,2026 REG W1,401872922,2026-09-13T17:00Z,away,58.707,58.696,58.707,27.25,89.754,24.268,16,53.8,47.7,44.533,45.688,7.6,1.0,1.022,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,98.57,97.67,96.23,94.29,91.52,87.9,83.3,77.68,71.11,63.75,55.95,47.88,39.84,32.21,25.25,19.18,13.98,9.83,6.76,4.46,2.85,1.77,1.03,0.62,0.33,0.18,0.09,0.04,0.02,0.01,7.867,26.88,5.218,66.33,6.816,11.251,26.93,175.02,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0034348,Courtland Sutton,DEN,KC,WR,WR,,WR1,ACT,8.0,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,away,58.326,58.877,58.308,17.144,100.064,31.321,49,61.2,54.8,63.333,59.824,8.8,1.0,0.948,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.1,93.39,91.11,88.34,85.01,81.06,76.53,71.56,66.08,60.25,54.12,47.9,41.86,35.94,30.34,25.21,20.51,16.45,13.01,10.02,7.55,5.57,4.0,2.81,1.97,1.33,0.87,0.59,0.39,0.25,8.849,25.84,5.022,56.76,7.396,11.614,31.5,202.45,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0039337,Malik Nabers,NYG,DAL,WR,WR,,WR1,ACT,2.0,2026,REG,1,2026 REG W1,401872930,2026-09-14T00:20Z,home,57.186,58.067,57.354,11.924,102.363,33.745,19,67.0,80.4,72.6,67.75,8.6,1.0,1.135,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.06,90.91,88.36,85.32,81.89,78.02,73.57,68.79,63.57,58.24,52.71,47.03,41.45,35.99,30.79,26.04,21.62,17.77,14.24,11.24,8.79,6.79,5.13,3.81,2.78,1.96,1.35,0.95,0.62,0.43,8.492,30.16,5.106,60.13,7.118,11.199,25.9,174.48,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038117,Wan'Dale Robinson,TEN,NYJ,WR,WR,,WR1,ACT,4.0,2026,REG,1,2026 REG W1,401872924,2026-09-13T17:00Z,home,56.862,57.83,57.132,12.019,102.079,33.585,48,75.2,66.3,63.933,63.375,10.4,1.0,0.927,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,93.0,90.96,88.44,85.44,81.9,77.98,73.49,68.68,63.47,57.99,52.45,46.62,41.06,35.59,30.43,25.62,21.24,17.33,13.89,11.03,8.61,6.59,5.03,3.71,2.71,1.99,1.39,0.96,0.64,0.41,9.19,30.34,5.987,65.15,7.265,9.497,27.87,169.69,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036613,Jaylen Waddle,DEN,KC,WR,WR,,WR2,ACT,5.0,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,away,56.498,56.82,56.528,17.244,95.297,29.613,45,37.6,52.0,58.667,56.875,5.4,1.0,0.948,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,95.41,93.6,91.26,88.37,84.8,80.64,75.89,70.5,64.65,58.45,52.03,45.55,39.13,33.04,27.11,21.98,17.29,13.41,10.18,7.59,5.51,3.94,2.71,1.8,1.19,0.78,0.51,0.3,0.2,0.12,6.844,19.99,4.323,63.16,9.263,13.071,31.5,202.45,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0039067,Rashee Rice,KC,DEN,WR,WR,,WR1,ACT,3.0,2026,REG,1,2026 REG W1,401872931,2026-09-15T00:15Z,home,56.406,56.95,56.387,14.436,98.404,31.612,27,71.2,75.6,80.4,71.375,10.4,1.0,0.974,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,94.07,92.08,89.65,86.59,82.96,78.92,74.21,69.11,63.53,57.65,51.64,45.53,39.67,33.83,28.56,23.64,19.33,15.39,11.88,9.15,6.87,5.06,3.63,2.64,1.85,1.26,0.85,0.56,0.37,0.22,9.13,30.72,6.717,73.57,8.007,8.397,27.34,174.65,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0037664,Alec Pierce,IND,BAL,WR,WR,,WR3,ACT,4.0,2026,REG,1,2026 REG W1,401872659,2026-09-13T17:00Z,home,55.979,56.676,55.86,11.397,100.279,33.032,48,62.8,68.6,66.867,66.867,5.0,1.0,1.084,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.9,90.67,88.12,85.1,81.42,77.33,72.61,67.74,62.39,56.84,51.03,45.25,39.65,34.17,29.12,24.32,20.01,16.23,12.92,10.14,7.71,5.85,4.38,3.21,2.32,1.66,1.16,0.78,0.5,0.32,5.112,16.19,2.86,55.95,11.94,19.572,29.05,198.25,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038996,Tucker Kraft,GB,MIN,TE,TE,,TE1,ACT,3.0,2026,REG,1,2026 REG W1,401872927,2026-09-13T20:25Z,away,55.062,55.805,55.122,11.293,98.679,32.516,35,64.0,57.8,54.667,61.125,5.8,1.0,0.991,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.88,90.65,88.0,84.73,81.07,76.89,72.22,67.16,61.64,55.97,50.14,44.32,38.5,32.96,27.83,23.22,18.98,15.29,12.03,9.34,7.05,5.34,3.91,2.8,1.99,1.37,0.95,0.64,0.42,0.29,6.039,22.09,4.47,74.03,10.649,12.318,25.15,202.4,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0035676,A.J. Brown,NE,SEA,WR,WR,,WR1,ACT,7.0,2026,REG,1,2026 REG W1,401872656,2026-09-10T00:20Z,away,54.225,54.906,54.34,10.891,97.24,32.003,46,66.0,75.5,68.067,26.0,7.6,1.0,1.015,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.79,90.46,87.7,84.48,80.67,76.32,71.69,66.47,60.82,55.01,49.19,43.3,37.49,31.86,26.71,22.03,17.94,14.29,11.21,8.58,6.44,4.69,3.44,2.47,1.7,1.16,0.78,0.53,0.34,0.2,7.579,26.17,4.806,63.41,8.285,11.283,26.64,197.29,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036322,Justin Jefferson,MIN,GB,WR,WR,,WR1,ACT,6.0,2026,REG,1,2026 REG W1,401872927,2026-09-13T20:25Z,home,54.122,54.901,54.053,11.209,97.19,32.053,44,49.8,44.6,61.533,61.647,7.2,1.0,0.986,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.89,90.62,87.84,84.57,80.67,76.37,71.59,66.36,60.7,54.84,48.88,42.93,37.19,31.77,26.73,22.07,17.9,14.22,11.17,8.68,6.54,4.81,3.5,2.51,1.81,1.28,0.86,0.57,0.37,0.22,7.295,27.96,4.389,60.16,7.211,12.333,24.0,168.06,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0036040,Juwan Johnson,NO,DET,TE,TE,,TE1,ACT,6.0,2026,REG,1,2026 REG W1,401872923,2026-09-13T17:00Z,away,53.688,53.909,53.862,21.216,86.283,24.938,45,62.6,57.4,50.933,52.294,5.2,1.0,1.107,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.25,95.75,93.67,90.85,87.12,82.59,77.15,70.76,63.58,56.05,48.2,40.25,32.78,26.05,19.97,14.94,10.89,7.65,5.14,3.31,2.11,1.28,0.76,0.48,0.26,0.14,0.07,0.04,0.02,0.01,5.79,17.8,4.519,78.05,9.317,11.881,29.93,229.79,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0031381,Davante Adams,LAR,SF,WR,WR,,WR2,ACT,12.0,2026,REG,1,2026 REG W1,401872657,2026-09-11T00:35Z,home,53.59,54.251,53.496,11.011,95.966,31.639,45,44.2,52.0,58.467,56.357,7.2,1.0,1.016,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,92.86,90.51,87.74,84.34,80.48,76.02,71.1,65.77,59.99,54.11,48.23,42.32,36.57,31.08,25.96,21.3,17.14,13.47,10.48,8.03,6.07,4.42,3.21,2.25,1.56,1.03,0.67,0.44,0.29,0.19,8.414,23.29,4.35,51.69,6.924,12.32,33.24,259.28,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0038933,Dalton Kincaid,BUF,HOU,TE,TE,,TE1,ACT,3.0,2026,REG,1,2026 REG W1,401872660,2026-09-13T17:00Z,away,53.088,53.08,52.977,21.519,84.421,24.199,41,32.0,48.6,44.2,47.583,3.2,1.0,0.992,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,97.45,96.01,93.84,91.02,87.3,82.47,76.76,70.03,62.69,54.81,46.71,38.77,31.18,24.46,18.48,13.53,9.62,6.52,4.23,2.68,1.64,0.97,0.56,0.33,0.19,0.09,0.04,0.02,0.01,0.01,4.986,16.71,3.895,78.12,10.859,13.63,27.46,214.36,PRIMARY_ROTATION_TEAM_CONSTRAINED
00-0039919,Rome Odunze,CHI,CAR,WR,WR,,WR1,ACT,2.0,2026,REG,1,2026 REG W1,401872661,2026-09-13T17:00Z,away,52.817,53.248,52.833,13.774,91.692,29.377,29,37.6,49.6,51.4,55.083,6.8,1.0,0.925,PLAYER_HISTORY,100000,NFL_RECEIVING_YARDS_V1,94.12,92.0,89.22,85.86,81.67,77.06,72.03,66.34,60.16,53.77,47.15,40.55,34.34,28.46,23.09,18.39,14.29,10.99,8.27,6.08,4.38,3.1,2.13,1.42,0.91,0.57,0.36,0.21,0.11,0.06,8.083,23.73,3.886,48.08,7.375,13.592,31.34,228.29,PRIMARY_ROTATION_TEAM_CONSTRAINED
