Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Los Angeles Dodgers,Shohei Ohtani,Michael Wacha,0.333,2,6,3.7,0.88,1.19,0.51,0.68,2.4,53.3,3.0,5|0|2|0|8,08/10|08/09|08/08|08/07|08/05,2.7,5|0|2|0|8|1|3|1|1|6,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.8,5|0|2|0|8|1|3|1|1|6|4|7|1|0|3,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24,87.0,63.7,41.0,23.9,12.4,6.4,3.0,3.38,156.1
2026-08-11,Kansas City Royals @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Los Angeles Dodgers,Freddie Freeman,Michael Wacha,0.533,8,15,4.4,0.88,1.85,0.16,0.48,2.47,46.7,1.8,5|2|0|1|1,08/10|08/09|08/08|08/07|08/05,2.0,5|2|0|1|1|1|1|1|4|4,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31,2.07,5|2|0|1|1|1|1|1|4|4|1|3|1|3|3,08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,85.6,62.7,41.7,25.3,14.4,7.9,4.1,2.31,116.0
2026-08-11,Pittsburgh Pirates @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Miami Marlins,Griffin Conine,Paul Skenes,0.0,0,3,4.6,0.93,0.89,0.51,0.73,2.11,46.7,2.4,7|3|0|2|0,08/09|08/08|08/07|08/06|08/05,1.8,7|3|0|2|0|0|0|4|2|0,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,1.93,7|3|0|2|0|0|0|4|2|0|4|1|5|1|0,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,83.8,58.3,34.6,18.6,8.8,3.8,1.6,2.41,118.2
2026-08-11,Pittsburgh Pirates @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Miami Marlins,Kyle Stowers,Paul Skenes,0.0,0,7,3.7,0.93,1.01,0.47,0.53,2.01,60.0,2.6,5|0|6|2|0,08/09|08/08|08/07|08/06|08/05,2.3,5|0|6|2|0|1|0|2|4|3,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,2.27,5|0|6|2|0|1|0|2|4|3|1|3|1|4|2,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,82.3,56.1,32.3,16.7,7.8,3.3,1.5,2.73,133.4
2026-08-11,Pittsburgh Pirates @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Miami Marlins,Otto Lopez,Paul Skenes,0.286,2,7,3.7,0.93,0.89,0.59,0.41,1.89,53.3,2.0,4|5|0|1|0,08/09|08/08|08/07|08/06|08/05,1.9,4|5|0|1|0|3|2|4|0|0,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,2.13,4|5|0|1|0|3|2|4|0|0|5|0|6|0|2,08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,81.1,53.3,29.2,14.3,6.4,2.7,1.0,2.57,124.6
2026-08-11,Milwaukee Brewers @ San Diego Padres,Petco Park,0.965,1.004,79.8,67.0,8.8,WSW,251.0,2.0,Clear,1.9,2.8,54.3,C,75.0,Milwaukee Brewers,Brice Turang,Walker Buehler,1.0,1,1,4.7,1.18,1.62,0.47,1.13,3.24,60.0,3.0,0|2|6|5|2,08/10|08/09|08/08|08/07|08/06,1.9,0|2|6|5|2|0|1|0|1|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,2.27,0|2|6|5|2|0|1|0|1|2|4|4|5|0|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26,92.9,77.1,58.1,39.3,24.7,14.6,8.3,2.77,141.1
2026-08-11,Milwaukee Brewers @ San Diego Padres,Petco Park,0.965,1.004,79.8,67.0,8.8,WSW,251.0,2.0,Clear,1.9,2.8,54.3,C,75.0,Milwaukee Brewers,Jake Bauers,Walker Buehler,0.5,1,2,3.7,1.18,1.35,0.89,0.59,2.85,46.7,2.2,1|5|1|1|3,08/10|08/09|08/08|08/07|08/03,2.6,1|5|1|1|3|1|3|7|3|1,08/10|08/09|08/08|08/07|08/03|08/02|08/01|07/31|07/29|07/27,2.53,1|5|1|1|3|1|3|7|3|1|5|5|1|0|1,08/10|08/09|08/08|08/07|08/03|08/02|08/01|07/31|07/29|07/27|07/26|07/25|07/24|07/22|07/21,90.6,72.2,51.7,32.3,18.6,9.9,5.2,3.04,144.4
2026-08-11,Milwaukee Brewers @ San Diego Padres,Petco Park,0.965,1.004,79.8,67.0,8.8,WSW,251.0,2.0,Clear,1.9,2.8,54.3,C,75.0,Milwaukee Brewers,Jackson Chourio,Walker Buehler,1.0,1,1,3.8,1.18,1.39,0.69,0.61,2.69,66.7,2.4,3|3|0|3|3,08/10|08/09|08/08|08/07|08/06,2.3,3|3|0|3|3|0|6|1|2|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01,2.33,3|3|0|3|3|0|6|1|2|2|2|0|4|1|5,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26,89.5,69.4,47.2,29.1,16.7,8.5,4.3,2.78,141.5
2026-08-11,Baltimore Orioles @ Minnesota Twins,Target Field,0.988,1.009,89.5,39.0,2.0,E,96.0,3.0,Clear,4.0,5.7,58.7,B,92.0,Minnesota Twins,Royce Lewis,Brandon Young,0.0,0,0,3.7,0.94,1.27,0.55,0.73,2.58,73.3,3.2,4|0|4|5|3,08/10|08/09|08/08|08/07|08/06,3.1,4|0|4|5|3|1|4|6|1|3,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31,2.8,4|0|4|5|3|1|4|6|1|3|2|1|3|3|2,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,89.0,68.2,45.4,26.8,14.8,7.6,3.6,3.38,164.4
2026-08-11,Baltimore Orioles @ Minnesota Twins,Target Field,0.988,1.009,89.5,39.0,2.0,E,96.0,3.0,Clear,4.0,5.7,58.7,B,92.0,Minnesota Twins,Josh Bell,Brandon Young,0.0,0,0,4.4,0.94,1.08,0.65,0.65,2.37,46.7,3.8,6|1|1|9|2,08/10|08/09|08/08|08/07|08/06,2.9,6|1|1|9|2|1|4|3|2|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|07/31|07/30,2.2,6|1|1|9|2|1|4|3|2|0|0|3|1|0|0,08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|07/31|07/30|07/29|07/28|07/25|07/24|07/23,87.1,63.7,40.7,23.1,12.1,5.8,2.7,2.68,129.3
