rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
1,2026,REG,2,401872946,2026-09-20T17:00Z,00-0036333,Alex Highsmith,PIT,NE,AWAY,LB,1.652,1.5,3.0,1.6444,2.0,9.5,1.0,1.0,2.0,0.679,3.0,4.0,1.8,,2.8,,,,,1.352,1.012,1.0,69.0,90.0,MORE,25000,78.2,52.9,45.7,25.9,20.3,9.9,7.1,3.2,78.2,52.9,45.7,25.9,20.3,9.9,7.1,78.2,45.7,20.3,7.1,ELITE
2,2026,REG,2,401872941,2026-09-20T20:05Z,00-0034973,Maxx Crosby,LV,LAC,AWAY,DL,1.428,1.0,3.0,1.4277,1.5,10.0,1.1,0.75,1.5,0.667,3.0,5.0,1.6,,2.7,,,,,1.352,1.008,1.0,69.0,90.0,MORE,25000,73.2,45.1,38.5,19.8,15.4,6.7,4.6,1.8,73.2,45.1,38.5,19.8,15.4,6.7,4.6,73.2,38.5,15.4,4.6,ELITE
3,2026,REG,2,401872932,2026-09-18T00:15Z,00-0037236,Aidan Hutchinson,DET,BUF,AWAY,DL,1.381,1.0,3.0,1.3826,2.0,14.5,1.6,0.95,2.0,0.853,2.0,5.0,2.8,,4.4,,,,,0.901,1.076,1.0,45.0,90.0,MORE,25000,72.5,43.5,36.7,18.0,13.9,6.1,4.4,1.8,72.5,43.5,36.7,18.0,13.9,6.1,4.4,72.5,36.7,13.9,4.4,ELITE
4,2026,REG,2,401872940,2026-09-20T20:05Z,00-0035642,Josh Hines-Allen,JAX,DEN,AWAY,DL,1.23,1.0,3.0,1.227,1.5,9.0,0.7,0.85,1.5,0.5,3.0,5.0,1.8,,2.5,,,,,1.352,1.0,1.0,69.0,90.0,MORE,25000,67.8,38.1,31.9,14.4,10.9,4.3,3.0,1.1,67.8,38.1,31.9,14.4,10.9,4.3,3.0,67.8,31.9,10.9,3.0,ELITE
5,2026,REG,2,401872947,2026-09-22T00:15Z,00-0033868,Myles Garrett,LAR,NYG,HOME,LB,1.116,1.0,2.5,1.1258,0.0,23.0,0.8,1.8,,1.353,2.0,0.0,1.8,,2.6,,,,,0.901,1.004,1.0,45.0,90.0,MORE,25000,64.5,33.9,28.1,11.6,8.6,3.1,2.1,0.7,64.5,33.9,28.1,11.6,8.6,3.1,2.1,64.5,28.1,8.6,2.1,STRONG
6,2026,REG,2,401872936,2026-09-20T17:00Z,00-0036932,Micah Parsons,GB,NYJ,AWAY,LB,1.116,1.0,2.5,1.1191,0.0,12.5,1.2,1.0,,0.893,0.0,3.0,2.4,,3.6,,,,,1.0,1.044,1.0,20.0,90.0,MORE,25000,64.5,33.8,27.8,11.7,8.7,3.2,2.2,0.7,64.5,33.8,27.8,11.7,8.7,3.2,2.2,64.5,27.8,8.7,2.2,STRONG
7,2026,REG,2,401872946,2026-09-20T17:00Z,00-0033886,T.J. Watt,PIT,NE,AWAY,LB,1.075,1.0,2.5,1.0793,2.0,7.0,0.4,0.5,2.0,0.467,3.0,4.0,1.0,,1.4,,,,,1.352,0.956,1.0,69.0,90.0,MORE,25000,63.2,32.3,26.3,10.8,7.9,2.7,1.8,0.6,63.2,32.3,26.3,10.8,7.9,2.7,1.8,63.2,26.3,7.9,1.8,STRONG
8,2026,REG,2,401872938,2026-09-20T17:00Z,00-0038505,Tavius Robinson,BAL,NO,HOME,LB,1.039,1.0,2.0,1.0341,1.0,4.5,0.7,0.55,1.0,0.5,5.0,2.0,2.0,,2.7,,,,,1.45,1.008,1.0,90.0,90.0,MORE,25000,62.0,30.4,24.8,9.8,7.4,2.7,1.9,0.6,62.0,30.4,24.8,9.8,7.4,2.7,1.9,62.0,24.8,7.4,1.9,STRONG
9,2026,REG,2,401872935,2026-09-20T17:00Z,00-0033964,Al-Quadin Muhammad,TB,CLE,HOME,LB,0.985,1.0,2.0,0.9827,0.0,11.0,1.0,0.75,0.0,0.846,5.0,1.0,2.0,,3.0,,,,,1.45,1.02,1.0,90.0,90.0,MORE,25000,59.6,28.6,23.3,9.0,6.6,2.2,1.4,0.4,59.6,28.6,23.3,9.0,6.6,2.2,1.4,59.6,23.3,6.6,1.4,STRONG
10,2026,REG,2,401872941,2026-09-20T20:05Z,00-0036479,Kwity Paye,LV,LAC,AWAY,DL,0.975,1.0,2.0,0.9727,2.0,4.0,0.4,0.3,2.0,0.25,3.0,5.0,1.0,,1.4,,,,,1.352,0.956,1.0,69.0,90.0,MORE,25000,59.0,28.3,23.0,8.8,6.4,2.0,1.3,0.4,59.0,28.3,23.0,8.8,6.4,2.0,1.3,59.0,23.0,6.4,1.3,STRONG
11,2026,REG,2,401872936,2026-09-20T17:00Z,00-0039142,Will McDonald IV,NYJ,GB,HOME,LB,0.95,1.0,2.0,0.9527,1.0,8.0,0.4,0.7,1.0,0.667,4.0,3.0,1.8,,2.2,,,,,1.45,0.988,1.0,90.0,90.0,MORE,25000,58.6,27.2,22.2,8.1,5.8,1.8,1.2,0.4,58.6,27.2,22.2,8.1,5.8,1.8,1.2,58.6,22.2,5.8,1.2,STRONG
12,2026,REG,2,401872933,2026-09-20T17:00Z,00-0040578,James Pearce Jr.,ATL,CAR,HOME,LB,0.882,1.0,2.0,0.8823,0.0,10.5,1.1,1.0,,0.7,2.0,2.0,1.2,,2.3,,,,,0.901,0.992,1.0,45.0,90.0,MORE,25000,55.6,24.3,19.7,7.1,5.1,1.6,1.0,0.3,55.6,24.3,19.7,7.1,5.1,1.6,1.0,55.6,19.7,5.1,1.0,STRONG
13,2026,REG,2,401872940,2026-09-20T20:05Z,00-0037235,Travon Walker,JAX,DEN,AWAY,DL,0.88,1.0,2.0,0.8781,1.5,3.5,0.5,0.3,1.5,0.233,3.0,5.0,1.6,,2.1,,,,,1.352,0.984,1.0,69.0,90.0,MORE,25000,55.6,24.2,19.7,6.9,5.1,1.5,1.0,0.3,55.6,24.2,19.7,6.9,5.1,1.5,1.0,55.6,19.7,5.1,1.0,STRONG
14,2026,REG,2,401872937,2026-09-20T17:00Z,00-0035647,Montez Sweat,CHI,MIN,HOME,DL,0.88,1.0,2.0,0.8899,1.0,11.0,0.5,0.65,1.0,0.579,3.0,2.0,1.4,,1.9,,,,,1.352,0.976,1.0,69.0,90.0,MORE,25000,55.4,24.7,19.9,6.9,4.9,1.4,1.0,0.3,55.4,24.7,19.9,6.9,4.9,1.4,1.0,55.4,19.9,4.9,1.0,STRONG
15,2026,REG,2,401872937,2026-09-20T17:00Z,00-0035272,Andrew Van Ginkel,MIN,CHI,AWAY,LB,0.86,1.0,2.0,0.8609,1.5,7.0,0.9,0.65,1.5,0.583,2.0,4.0,2.0,,2.9,,,,,0.901,1.016,1.0,45.0,90.0,LEAN MORE,25000,54.9,23.5,18.8,6.5,4.6,1.4,0.9,0.2,54.9,23.5,18.8,6.5,4.6,1.4,0.9,54.9,18.8,4.6,0.9,WATCH
16,2026,REG,2,401872932,2026-09-18T00:15Z,00-0036914,Greg Rousseau,BUF,DET,HOME,LB,0.826,1.0,2.0,0.8306,2.0,8.0,1.2,0.7,2.0,0.444,1.0,3.0,3.8,,5.0,,,,,0.65,1.1,1.0,20.0,90.0,LEAN MORE,25000,53.7,22.3,17.8,5.8,4.0,1.2,0.7,0.2,53.7,22.3,17.8,5.8,4.0,1.2,0.7,53.7,17.8,4.0,0.7,WATCH
17,2026,REG,2,401872944,2026-09-20T20:25Z,00-0036940,Odafe Oweh,WAS,DAL,AWAY,LB,0.824,1.0,2.0,0.8266,1.0,10.5,0.9,0.75,1.0,0.583,0.0,3.0,1.2,,2.1,,,,,1.0,0.984,1.0,20.0,90.0,LEAN MORE,25000,53.7,22.1,17.5,5.8,4.1,1.1,0.8,0.2,53.7,22.1,17.5,5.8,4.1,1.1,0.8,53.7,17.5,4.1,0.8,WATCH
18,2026,REG,2,401872939,2026-09-20T17:00Z,00-0039436,Jaylen Harrell,TEN,PHI,HOME,LB,0.771,1.0,2.0,0.773,0.0,4.5,0.8,0.45,,0.3,3.0,0.0,1.2,,2.0,,,,,1.352,0.98,1.0,69.0,90.0,LEAN MORE,25000,51.0,20.1,16.0,5.0,3.6,1.0,0.7,0.2,51.0,20.1,16.0,5.0,3.6,1.0,0.7,51.0,16.0,3.6,0.7,WATCH
19,2026,REG,2,401872935,2026-09-20T17:00Z,00-0033876,Derek Barnett,CLE,TB,AWAY,DL,0.767,1.0,2.0,0.7673,0.0,5.5,0.7,0.45,,0.306,4.0,1.0,1.4,,2.1,,,,,1.45,0.984,1.0,90.0,90.0,LEAN MORE,25000,50.7,20.0,15.9,4.9,3.5,0.9,0.6,0.1,50.7,20.0,15.9,4.9,3.5,0.9,0.6,50.7,15.9,3.5,0.6,WATCH
20,2026,REG,2,401872937,2026-09-20T17:00Z,00-0034320,Kentavius Street,CHI,MIN,HOME,DL,0.764,1.0,2.0,0.7647,1.0,2.0,0.6,0.375,1.0,0.286,3.0,2.0,0.6,,1.2,,,,,1.352,0.948,1.0,69.0,80.0,LEAN MORE,25000,50.5,19.8,15.8,4.9,3.5,1.0,0.6,0.1,50.5,19.8,15.8,4.9,3.5,1.0,0.6,50.5,15.8,3.5,0.6,WATCH
21,2026,REG,2,401872934,2026-09-20T17:00Z,00-0031364,Jadeveon Clowney,HOU,CIN,HOME,DL,0.757,1.0,2.0,0.7563,1.0,8.5,1.5,0.95,1.0,0.708,1.0,2.0,2.0,,3.5,,,,,0.65,1.04,1.0,20.0,90.0,LEAN MORE,25000,50.5,19.4,15.4,4.8,3.4,0.9,0.6,0.1,50.5,19.4,15.4,4.8,3.4,0.9,0.6,50.5,15.4,3.4,0.6,WATCH
22,2026,REG,2,401872941,2026-09-20T20:05Z,00-0037615,Nakobe Dean,LV,LAC,AWAY,LB,0.728,0.5,2.0,0.7308,1.0,4.0,0.4,0.5,1.0,0.4,3.0,5.0,0.6,,1.0,,,,,1.352,0.94,1.0,69.0,90.0,LESS,25000,48.9,18.2,14.6,4.4,3.1,0.8,0.5,0.1,48.9,18.2,14.6,4.4,3.1,0.8,0.5,48.9,14.6,3.1,0.5,WATCH
23,2026,REG,2,401872933,2026-09-20T17:00Z,00-0036934,Jaelan Phillips,CAR,ATL,AWAY,LB,0.725,0.5,2.0,0.728,1.0,5.0,0.4,0.4,1.0,0.294,4.0,2.0,0.6,,1.0,,,,,1.45,0.94,1.0,90.0,90.0,LESS,25000,48.6,18.4,14.7,4.3,3.1,0.8,0.5,0.1,48.6,18.4,14.7,4.3,3.1,0.8,0.5,48.6,14.7,3.1,0.5,WATCH
24,2026,REG,2,401872944,2026-09-20T20:25Z,00-0034373,Dorance Armstrong,WAS,DAL,AWAY,LB,0.711,0.5,2.0,0.7151,0.0,5.5,0.9,0.917,,0.917,0.0,3.0,1.2,,2.1,,,,,1.0,0.984,0.75,20.0,69.0,LESS,25000,47.9,17.8,14.2,4.2,2.9,0.7,0.4,0.1,47.9,17.8,14.2,4.2,2.9,0.7,0.4,47.9,14.2,2.9,0.4,WATCH
25,2026,REG,2,401872934,2026-09-20T17:00Z,00-0038546,Myles Murphy,CIN,HOU,AWAY,DL,0.705,0.5,2.0,0.7093,0.5,5.5,0.7,0.45,0.5,0.367,3.0,4.0,1.2,,1.9,,,,,1.352,0.976,1.0,69.0,89.0,LESS,25000,47.9,17.9,14.0,3.8,2.7,0.6,0.4,0.1,47.9,17.9,14.0,3.8,2.7,0.6,0.4,47.9,14.0,2.7,0.4,WATCH
26,2026,REG,2,401872937,2026-09-20T17:00Z,00-0039924,Dallas Turner,MIN,CHI,AWAY,LB,0.695,0.5,2.0,0.6843,1.0,8.0,0.7,0.75,1.0,0.471,2.0,4.0,2.0,,2.7,,,,,0.901,1.008,1.0,45.0,89.0,LESS,25000,47.4,16.9,13.5,4.0,2.9,0.6,0.4,0.1,47.4,16.9,13.5,4.0,2.9,0.6,0.4,47.4,13.5,2.9,0.4,WATCH
27,2026,REG,2,401872938,2026-09-20T17:00Z,00-0036130,Nnamdi Madubuike,BAL,NO,HOME,DL,0.685,0.5,2.0,0.6941,0.0,2.0,1.0,1.0,,1.0,5.0,2.0,1.5,,2.5,,,,,1.45,1.0,0.35,90.0,49.0,LESS,25000,46.8,16.6,13.1,3.9,2.8,0.6,0.3,0.1,46.8,16.6,13.1,3.9,2.8,0.6,0.3,46.8,13.1,2.8,0.3,WATCH
28,2026,REG,2,401872938,2026-09-20T17:00Z,00-0027962,Cameron Jordan,NO,BAL,AWAY,LB,0.673,0.5,2.0,0.6745,0.0,10.5,0.8,0.8,,0.618,2.0,1.0,1.2,,2.0,,,,,0.901,0.98,1.0,45.0,88.0,LESS,25000,46.6,16.1,12.7,3.4,2.4,0.5,0.4,0.1,46.6,16.1,12.7,3.4,2.4,0.5,0.4,46.6,12.7,2.4,0.4,WATCH
29,2026,REG,2,401872936,2026-09-20T17:00Z,00-0041026,David Bailey,NYJ,GB,HOME,LB,0.662,0.5,2.0,0.664,1.0,0.0,1.0,1.0,1.0,,4.0,3.0,1.0,,2.0,,,,,1.45,0.98,0.35,90.0,43.0,LESS,25000,45.9,15.8,12.4,3.6,2.5,0.6,0.3,0.1,45.9,15.8,12.4,3.6,2.5,0.6,0.3,45.9,12.4,2.5,0.3,WATCH
30,2026,REG,2,401872935,2026-09-20T17:00Z,00-0037251,Alex Wright,CLE,TB,AWAY,DL,0.661,0.5,2.0,0.6568,0.0,5.5,0.5,0.45,,0.423,4.0,1.0,1.2,,1.7,,,,,1.45,0.968,1.0,90.0,88.0,LESS,25000,45.5,15.9,12.6,3.5,2.4,0.6,0.4,0.1,45.5,15.9,12.6,3.5,2.4,0.6,0.4,45.5,12.6,2.4,0.4,WATCH
31,2026,REG,2,401872935,2026-09-20T17:00Z,00-0041502,Josiah Trotter,TB,CLE,HOME,LB,0.657,0.5,2.0,0.664,1.0,0.0,1.0,1.0,1.0,,5.0,1.0,1.0,,2.0,,,,,1.45,0.98,0.35,90.0,43.0,LESS,25000,45.5,15.8,12.5,3.3,2.3,0.5,0.3,0.1,45.5,15.8,12.5,3.3,2.3,0.5,0.3,45.5,12.5,2.3,0.3,WATCH
32,2026,REG,2,401872940,2026-09-20T20:05Z,00-0035248,Zach Allen,DEN,JAX,HOME,DL,0.634,0.0,2.0,0.6362,2.0,8.5,0.8,0.45,2.0,0.447,1.0,2.0,2.2,,3.0,,,,,0.65,1.02,1.0,20.0,87.0,LESS,25000,44.4,15.2,11.7,3.0,2.1,0.4,0.3,0.0,44.4,15.2,11.7,3.0,2.1,0.4,0.3,44.4,11.7,2.1,0.3,LOW
33,2026,REG,2,401872939,2026-09-20T17:00Z,00-0035643,Jeffery Simmons,TEN,PHI,HOME,DL,0.623,0.0,2.0,0.6185,0.0,11.0,0.6,0.65,0.0,0.733,3.0,0.0,0.6,,1.2,,,,,1.352,0.948,1.0,69.0,87.0,LESS,25000,43.7,14.6,11.3,3.0,2.1,0.4,0.3,0.1,43.7,14.6,11.3,3.0,2.1,0.4,0.3,43.7,11.3,2.1,0.3,LOW
34,2026,REG,2,401872938,2026-09-20T17:00Z,00-0036321,Chase Young,NO,BAL,AWAY,LB,0.62,0.0,2.0,0.6109,0.0,10.0,1.0,0.8,0.0,0.833,2.0,1.0,1.6,,2.6,,,,,0.901,1.004,1.0,45.0,87.0,LESS,25000,43.6,14.5,11.3,2.8,2.0,0.4,0.2,0.1,43.6,14.5,11.3,2.8,2.0,0.4,0.2,43.6,11.3,2.0,0.2,LOW
35,2026,REG,2,401872941,2026-09-20T20:05Z,00-0039111,Tuli Tuipulotu,LAC,LV,HOME,LB,0.615,0.0,2.0,0.6137,0.0,14.0,0.8,0.8,0.0,0.875,0.0,1.0,1.8,,2.6,,,,,1.0,1.004,1.0,20.0,87.0,LESS,25000,43.3,14.1,11.2,2.8,1.9,0.5,0.3,0.1,43.3,14.1,11.2,2.8,1.9,0.5,0.3,43.3,11.2,1.9,0.3,LOW
36,2026,REG,2,401872934,2026-09-20T17:00Z,00-0033523,Jonathan Allen,CIN,HOU,AWAY,DL,0.616,0.0,2.0,0.6249,1.0,3.5,0.4,0.3,1.0,0.206,3.0,4.0,0.4,,0.8,,,,,1.352,0.932,1.0,69.0,87.0,LESS,25000,43.1,14.4,11.2,3.0,2.0,0.4,0.3,0.0,43.1,14.4,11.2,3.0,2.0,0.4,0.3,43.1,11.2,2.0,0.3,LOW
37,2026,REG,2,401872936,2026-09-20T17:00Z,00-0039112,Lukas Van Ness,GB,NYJ,AWAY,LB,0.61,0.0,2.0,0.6055,1.0,2.5,0.6,0.438,1.0,0.357,0.0,3.0,1.2,,1.8,,,,,1.0,0.972,1.0,20.0,77.0,LESS,25000,43.0,13.9,10.8,2.8,2.1,0.5,0.3,0.1,43.0,13.9,10.8,2.8,2.1,0.5,0.3,43.0,10.8,2.1,0.3,LOW
38,2026,REG,2,401872935,2026-09-20T17:00Z,00-0033131,Maliek Collins,CLE,TB,AWAY,DL,0.597,0.0,2.0,0.5971,0.0,6.5,0.6,0.5,0.0,0.591,4.0,1.0,1.2,,1.8,,,,,1.45,0.972,1.0,90.0,86.0,LESS,25000,42.2,13.6,10.6,2.7,1.9,0.4,0.2,0.0,42.2,13.6,10.6,2.7,1.9,0.4,0.2,42.2,10.6,1.9,0.2,LOW
39,2026,REG,2,401872933,2026-09-20T17:00Z,00-0031576,Za'Darius Smith,ATL,CAR,HOME,LB,0.591,0.0,2.0,0.5914,2.0,1.5,0.7,0.7,2.0,0.375,2.0,2.0,1.0,,1.7,,,,,0.901,0.968,0.625,45.0,61.0,LESS,25000,42.0,13.4,10.4,2.5,1.7,0.4,0.3,0.0,42.0,13.4,10.4,2.5,1.7,0.4,0.3,42.0,10.4,1.7,0.3,LOW
40,2026,REG,2,401872938,2026-09-20T17:00Z,00-0037756,Travis Jones,BAL,NO,HOME,DL,0.563,0.0,1.5,0.5629,0.0,5.0,0.7,0.45,0.0,0.312,5.0,2.0,0.8,,1.5,,,,,1.45,0.96,1.0,90.0,85.0,LESS,25000,40.3,12.5,9.6,2.3,1.6,0.3,0.2,0.0,40.3,12.5,9.6,2.3,1.6,0.3,0.2,40.3,9.6,1.6,0.2,LOW
41,2026,REG,2,401872947,2026-09-22T00:15Z,00-0035713,Brian Burns,NYG,LAR,AWAY,LB,0.548,0.0,1.5,0.5531,0.0,16.5,0.7,0.65,0.0,0.971,0.0,0.0,1.8,,2.5,,,,,1.0,1.0,1.0,20.0,85.0,LESS,25000,39.6,11.9,9.3,2.2,1.5,0.3,0.2,0.0,39.6,11.9,9.3,2.2,1.5,0.3,0.2,39.6,9.3,1.5,0.2,LOW
42,2026,REG,2,401872941,2026-09-20T20:05Z,00-0040169,Tonka Hemingway,LV,LAC,AWAY,DL,0.547,0.0,1.5,0.5484,0.0,4.0,0.6,0.5,0.0,0.571,3.0,5.0,1.0,,1.6,,,,,1.352,0.964,1.0,69.0,75.0,LESS,25000,39.6,11.6,9.1,2.2,1.5,0.3,0.2,0.0,39.6,11.6,9.1,2.2,1.5,0.3,0.2,39.6,9.1,1.5,0.2,LOW
43,2026,REG,2,401872945,2026-09-21T00:20Z,00-0039340,Laiatu Latu,IND,KC,AWAY,DL,0.542,0.0,1.5,0.5386,0.5,8.5,0.7,0.65,0.5,0.531,2.0,2.0,1.2,,1.9,,,,,0.901,0.976,1.0,45.0,85.0,LESS,25000,39.4,11.6,9.0,2.0,1.4,0.3,0.2,0.1,39.4,11.6,9.0,2.0,1.4,0.3,0.2,39.4,9.0,1.4,0.2,LOW
44,2026,REG,2,401872936,2026-09-20T17:00Z,00-0036902,Joseph Ossai,NYJ,GB,HOME,LB,0.542,0.0,1.5,0.5471,0.0,5.0,0.4,0.4,,0.357,4.0,3.0,1.2,,1.6,,,,,1.45,0.964,1.0,90.0,85.0,LESS,25000,39.1,11.6,9.0,2.3,1.5,0.3,0.2,0.0,39.1,11.6,9.0,2.3,1.5,0.3,0.2,39.1,9.0,1.5,0.2,LOW
45,2026,REG,2,401872936,2026-09-20T17:00Z,00-0037083,Kingsley Enagbare,NYJ,GB,HOME,LB,0.536,0.0,1.5,0.5408,1.0,2.0,0.2,0.25,1.0,0.118,4.0,3.0,0.6,,0.8,,,,,1.45,0.932,1.0,90.0,85.0,LESS,25000,39.1,11.3,8.7,1.9,1.4,0.3,0.2,0.0,39.1,11.3,8.7,1.9,1.4,0.3,0.2,39.1,8.7,1.4,0.2,LOW
46,2026,REG,2,401872946,2026-09-20T17:00Z,00-0035678,Dre'Mont Jones,NE,PIT,HOME,LB,0.525,0.0,1.5,0.5303,1.0,7.0,0.4,0.5,1.0,0.412,2.0,2.0,2.6,,3.0,,,,,0.901,1.02,1.0,45.0,85.0,LESS,25000,38.2,10.9,8.6,2.0,1.4,0.2,0.1,0.0,38.2,10.9,8.6,2.0,1.4,0.2,0.1,38.2,8.6,1.4,0.1,LOW
47,2026,REG,2,401872944,2026-09-20T20:25Z,00-0039906,Jer'Zhan Newton,WAS,DAL,AWAY,DL,0.5,0.0,1.5,0.5047,0.0,5.0,0.6,0.5,,0.385,0.0,3.0,1.0,,1.6,,,,,1.0,0.964,1.0,20.0,84.0,LESS,25000,37.0,10.2,7.7,1.6,1.1,0.2,0.1,0.0,37.0,10.2,7.7,1.6,1.1,0.2,0.1,37.0,7.7,1.1,0.1,LOW
48,2026,REG,2,401872934,2026-09-20T17:00Z,00-0039108,Will Anderson Jr.,HOU,CIN,HOME,DL,0.492,0.0,1.0,0.4876,0.5,15.5,0.9,0.8,0.5,0.816,1.0,2.0,1.2,,2.1,,,,,0.65,0.984,1.0,20.0,83.0,LESS,25000,36.7,9.8,7.6,1.4,1.0,0.1,0.1,0.0,36.7,9.8,7.6,1.4,1.0,0.1,0.1,36.7,7.6,1.0,0.1,LOW
49,2026,REG,2,401872933,2026-09-20T17:00Z,00-0040136,Princely Umanmielen,CAR,ATL,AWAY,LB,0.494,0.0,1.0,0.4962,1.0,1.5,0.2,0.15,1.0,0.107,4.0,2.0,0.2,,0.4,,,,,1.45,0.916,1.0,90.0,84.0,LESS,25000,36.6,9.9,7.6,1.6,1.2,0.2,0.1,0.0,36.6,9.9,7.6,1.6,1.2,0.2,0.1,36.6,7.6,1.2,0.1,LOW
50,2026,REG,2,401872933,2026-09-20T17:00Z,00-0038980,Zach Harrison,ATL,CAR,HOME,DL,0.488,0.0,1.0,0.4869,0.0,4.5,0.6,0.643,,0.643,2.0,2.0,0.6,,1.2,,,,,0.901,0.948,0.875,45.0,68.0,LESS,25000,36.2,10.0,7.6,1.6,1.1,0.2,0.1,0.0,36.2,10.0,7.6,1.6,1.1,0.2,0.1,36.2,7.6,1.1,0.1,LOW
51,2026,REG,2,401872934,2026-09-20T17:00Z,00-0038133,Boye Mafe,CIN,HOU,AWAY,DL,0.476,0.0,1.0,0.482,1.0,2.0,0.2,0.2,1.0,0.105,3.0,4.0,0.4,,0.6,,,,,1.352,0.924,1.0,69.0,83.0,LESS,25000,35.7,9.1,7.0,1.5,1.0,0.2,0.1,0.0,35.7,9.1,7.0,1.5,1.0,0.2,0.1,35.7,7.0,1.0,0.1,LOW
52,2026,REG,2,401872945,2026-09-21T00:20Z,00-0032378,DeForest Buckner,IND,KC,AWAY,DL,0.477,0.0,1.0,0.4812,0.5,4.0,0.7,0.45,0.5,0.4,2.0,2.0,1.4,,2.1,,,,,0.901,0.984,1.0,45.0,83.0,LESS,25000,35.5,9.5,7.2,1.4,1.0,0.1,0.1,0.0,35.5,9.5,7.2,1.4,1.0,0.1,0.1,35.5,7.2,1.0,0.1,LOW
53,2026,REG,2,401872938,2026-09-20T17:00Z,00-0033935,Trey Hendrickson,BAL,NO,HOME,LB,0.475,0.0,1.0,0.474,0.0,4.0,0.4,0.5,0.0,0.571,5.0,2.0,0.4,,0.8,,,,,1.45,0.932,1.0,90.0,73.0,LESS,25000,35.3,9.2,7.1,1.5,1.1,0.2,0.1,0.0,35.3,9.2,7.1,1.5,1.1,0.2,0.1,35.3,7.1,1.1,0.1,LOW
54,2026,REG,2,401872939,2026-09-20T17:00Z,00-0038386,Jalen Carter,PHI,TEN,AWAY,DL,0.47,0.0,1.0,0.4604,0.0,4.0,0.6,0.4,0.0,0.308,3.0,1.0,0.8,,1.4,,,,,1.352,0.956,1.0,69.0,83.0,LESS,25000,35.2,9.0,7.0,1.5,1.0,0.2,0.1,0.0,35.2,9.0,7.0,1.5,1.0,0.2,0.1,35.2,7.0,1.0,0.1,LOW
55,2026,REG,2,401872933,2026-09-20T17:00Z,00-0040746,Nic Scourton,CAR,ATL,AWAY,LB,0.466,0.0,1.0,0.4719,0.0,5.0,0.4,0.3,,0.312,4.0,2.0,0.4,,0.8,,,,,1.45,0.932,1.0,90.0,83.0,LESS,25000,35.0,8.9,6.9,1.3,0.9,0.1,0.1,0.0,35.0,8.9,6.9,1.3,0.9,0.1,0.1,35.0,6.9,0.9,0.1,LOW
56,2026,REG,2,401872938,2026-09-20T17:00Z,00-0035402,Carl Granderson,NO,BAL,AWAY,LB,0.466,0.0,1.0,0.4666,1.0,6.0,0.5,0.25,1.0,0.375,2.0,1.0,0.8,,1.3,,,,,0.901,0.952,1.0,45.0,83.0,LESS,25000,34.9,9.0,7.0,1.4,0.9,0.2,0.1,0.0,34.9,9.0,7.0,1.4,0.9,0.2,0.1,34.9,7.0,0.9,0.1,FADE
57,2026,REG,2,401872934,2026-09-20T17:00Z,00-0039908,Kris Jenkins,CIN,HOU,AWAY,DL,0.459,0.0,1.0,0.4545,1.0,1.5,0.2,0.1,1.0,0.125,3.0,4.0,0.4,,0.6,,,,,1.352,0.924,1.0,69.0,83.0,LESS,25000,34.6,8.7,6.6,1.2,0.9,0.1,0.1,0.0,34.6,8.7,6.6,1.2,0.9,0.1,0.1,34.6,6.6,0.9,0.1,FADE
58,2026,REG,2,401872935,2026-09-20T17:00Z,00-0040685,Mason Graham,CLE,TB,AWAY,DL,0.465,0.0,1.0,0.4641,1.0,0.5,0.2,0.1,1.0,0.029,4.0,1.0,0.2,,0.4,,,,,1.45,0.916,1.0,90.0,83.0,LESS,25000,34.5,9.2,7.0,1.4,1.0,0.2,0.1,0.0,34.5,9.2,7.0,1.4,1.0,0.2,0.1,34.5,7.0,1.0,0.1,FADE
59,2026,REG,2,401872944,2026-09-20T20:25Z,00-0040314,Ricky Barber,WAS,DAL,AWAY,DL,0.463,0.0,1.0,0.4691,0.0,1.0,1.0,1.0,,1.0,0.0,3.0,1.0,,2.0,,,,,1.0,0.98,0.35,20.0,38.0,LESS,25000,34.5,9.1,6.9,1.4,1.0,0.1,0.1,0.0,34.5,9.1,6.9,1.4,1.0,0.1,0.1,34.5,6.9,1.0,0.1,FADE
