player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_receiving_yards,model_version
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,30.0,1.26,ELITE,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,40.0,0.03,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,50.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,60.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,70.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,80.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,90.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031595,Michael Burton,CLE,JAX,RB,2026,REG,1,100.0,0.0,VERY LOW,10.238,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,10.0,82.03,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,20.0,70.96,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,30.0,58.12,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,40.0,43.4,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,50.0,29.95,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,60.0,19.34,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,70.0,10.76,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,80.0,5.63,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,90.0,2.53,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0031610,Darren Waller,CAR,CHI,TE,2026,REG,1,100.0,0.95,ELITE,36.825,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,10.0,55.74,ELITE,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,20.0,32.71,ELITE,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,30.0,14.47,ELITE,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,40.0,4.64,ELITE,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,50.0,1.09,ELITE,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,60.0,0.19,VERY LOW,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,70.0,0.04,VERY LOW,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,80.0,0.01,VERY LOW,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,90.0,0.0,VERY LOW,14.58,NFL_RECEIVING_YARDS_V1
00-0032104,Ameer Abdullah,JAX,CLE,RB,2026,REG,1,100.0,0.0,VERY LOW,14.58,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,10.0,78.2,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,20.0,57.15,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,30.0,33.42,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,40.0,15.05,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,50.0,5.15,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,60.0,1.4,ELITE,23.598,NFL_RECEIVING_YARDS_V1
00-0032392,Austin Hooper,ATL,PIT,TE,2026,REG,1,70.0,0.28,LOW,23.598,NFL_RECEIVING_YARDS_V1
