rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
296,2026,REG,3,401872955,2026-09-27T17:00Z,00-0039412,Javontae Jean-Baptiste,WAS,SEA,HOME,LB,0.108,0.0,0.5,0.1058,0.0,1.0,0.2,0.2,0.0,0.333,1.5,2.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.936,0.625,31.0,48.0,LESS,20000,9.4,0.6,0.5,0.0,0.0,0.0,0.0,0.0,9.4,0.6,0.5,0.0,0.0,0.0,0.0,9.4,0.5,0.0,0.0,FADE
297,2026,REG,3,401872952,2026-09-27T17:00Z,00-0041522,Jacob Rodriguez,MIA,KC,HOME,LB,0.107,0.0,0.5,0.1027,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.5,1.004,1.724,,23.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.969,0.35,43.0,33.0,LESS,20000,9.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,9.4,0.6,0.4,0.0,0.0,0.0,0.0,9.4,0.4,0.0,0.0,FADE
298,2026,REG,3,401872953,2026-09-27T17:00Z,00-0039743,Jordan Jefferson,LAC,BUF,AWAY,DL,0.106,0.0,0.5,0.1043,0.0,0.0,0.0,0.0,,0.0,2.0,1.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,28.0,LESS,20000,9.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,9.3,0.5,0.3,0.0,0.0,0.0,0.0,9.3,0.3,0.0,0.0,FADE
299,2026,REG,3,401872960,2026-09-27T20:25Z,00-0026190,Calais Campbell,BAL,DAL,AWAY,DL,0.104,0.0,0.5,0.1016,0.0,6.5,0.2,0.15,0.0,0.382,1.0,2.5,0.4,0.671,1.212,,11.5,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.948,1.0,20.0,73.0,LESS,20000,9.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,9.1,0.5,0.4,0.0,0.0,0.0,0.0,9.1,0.4,0.0,0.0,FADE
300,2026,REG,3,401872954,2026-09-27T17:00Z,00-0039396,Mekhi Wingo,DET,NYJ,HOME,DL,0.104,0.0,0.5,0.1043,0.0,0.0,0.0,0.0,,0.0,2.0,3.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,33.0,LESS,20000,9.1,0.5,0.4,0.0,0.0,0.0,0.0,0.0,9.1,0.5,0.4,0.0,0.0,0.0,0.0,9.1,0.4,0.0,0.0,FADE
301,2026,REG,3,401872954,2026-09-27T17:00Z,00-0041459,Eric O'Neill,DET,NYJ,HOME,DL,0.103,0.0,0.5,0.1043,0.0,0.0,0.0,0.0,0.0,,2.0,3.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.35,43.0,33.0,LESS,20000,9.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,9.0,0.6,0.4,0.0,0.0,0.0,0.0,9.0,0.4,0.0,0.0,FADE
302,2026,REG,3,401872949,2026-09-27T17:00Z,00-0036705,Sam Kamara,CLE,CAR,HOME,DL,0.103,0.0,0.5,0.1007,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,0.375,43.0,38.0,LESS,20000,8.9,0.6,0.4,0.0,0.0,0.0,0.0,0.0,8.9,0.6,0.4,0.0,0.0,0.0,0.0,8.9,0.4,0.0,0.0,FADE
303,2026,REG,3,401872952,2026-09-27T17:00Z,00-0035692,Clelin Ferrell,MIA,KC,HOME,DL,0.102,0.0,0.5,0.1051,0.0,4.0,0.0,0.3,0.0,0.4,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.9,1.0,43.0,73.0,LESS,20000,8.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,8.9,0.5,0.4,0.0,0.0,0.0,0.0,8.9,0.4,0.0,0.0,FADE
304,2026,REG,3,401872952,2026-09-27T17:00Z,00-0033073,Emmanuel Ogbah,KC,MIA,AWAY,DL,0.101,0.0,0.5,0.1049,0.0,0.5,0.1,0.056,,0.056,4.5,1.5,0.4,0.696,1.212,,11.5,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.948,1.0,90.0,68.0,LESS,20000,8.8,0.6,0.5,0.0,0.0,0.0,0.0,0.0,8.8,0.6,0.5,0.0,0.0,0.0,0.0,8.8,0.5,0.0,0.0,FADE
305,2026,REG,3,401872952,2026-09-27T17:00Z,00-0038513,Cam Jones,KC,MIA,AWAY,LB,0.101,0.0,0.5,0.1005,0.0,0.0,0.0,0.0,,0.0,4.5,1.5,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.625,90.0,48.0,LESS,20000,8.8,0.6,0.5,0.0,0.0,0.0,0.0,0.0,8.8,0.6,0.5,0.0,0.0,0.0,0.0,8.8,0.5,0.0,0.0,FADE
