rank,season,season_type,week,game_id,game_time,player_id,player_name,team,opponent,home_away,position,projected_sacks,median_sacks,p90_sacks,model_lambda,sacks_current,sacks_prior,sacks_l5_pg,sacks_l10_pg,sacks_season_pg,sacks_prior_pg,opp_sacks_allowed_pg,team_def_sacks_pg,qb_hits_l5_pg,qb_hurries_l5_pg,pressures_l5_pg,snaps_l5_pg,pass_rush_snaps_l5_pg,pressure_rate_l5,qb_hit_rate_l5,qb_hits_source,hurries_source,pressures_source,rush_snaps_source,matchup_multiplier,pressure_multiplier,sample_reliability,matchup_score,confidence,ai_play_0_5,n_sims,prob_over_0_5,prob_over_1_0,prob_over_1_5,prob_over_2_0,prob_over_2_5,prob_over_3_0,prob_over_3_5,prob_over_4_0,prob_1_0_plus,prob_1_5_plus,prob_2_0_plus,prob_2_5_plus,prob_3_0_plus,prob_3_5_plus,prob_4_0_plus,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,tier
138,2026,REG,3,401872950,2026-09-27T17:00Z,00-0034800,B.J. Hill,CIN,PIT,AWAY,DL,0.233,0.0,1.0,0.2299,0.0,4.0,0.2,0.3,0.0,0.235,3.0,4.0,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.983,1.0,66.0,77.0,LESS,20000,19.1,2.6,1.9,0.2,0.1,0.0,0.0,0.0,19.1,2.6,1.9,0.2,0.1,0.0,0.0,19.1,1.9,0.1,0.0,FADE
139,2026,REG,3,401872958,2026-09-27T20:05Z,00-0039148,Keion White,SF,ARI,HOME,DL,0.232,0.0,1.0,0.2308,1.0,2.5,0.4,0.3,0.5,0.167,1.5,2.0,0.4,1.032,1.818,,17.3,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.973,1.0,31.0,77.0,LESS,20000,19.1,2.6,1.9,0.2,0.2,0.0,0.0,0.0,19.1,2.6,1.9,0.2,0.2,0.0,0.0,19.1,1.9,0.2,0.0,FADE
140,2026,REG,3,401872957,2026-09-27T17:00Z,00-0039155,BJ Ojulari,JAX,NE,HOME,LB,0.229,0.0,1.0,0.2317,0.0,1.0,0.2,0.167,,0.167,3.0,2.5,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.983,0.75,66.0,57.0,LESS,20000,18.8,2.7,2.0,0.1,0.1,0.0,0.0,0.0,18.8,2.7,2.0,0.1,0.1,0.0,0.0,18.8,2.0,0.1,0.0,FADE
141,2026,REG,3,401872948,2026-09-25T00:15Z,00-0038463,Brenton Cox Jr.,GB,ATL,HOME,LB,0.226,0.0,1.0,0.2249,0.0,1.0,0.2,0.2,0.0,0.333,3.0,3.5,0.8,1.392,2.424,,23.1,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.997,0.625,66.0,51.0,LESS,20000,18.7,2.6,1.8,0.2,0.2,0.0,0.0,0.0,18.7,2.6,1.8,0.2,0.2,0.0,0.0,18.7,1.8,0.2,0.0,FADE
142,2026,REG,3,401872948,2026-09-25T00:15Z,00-0037094,Jonathan Ford,GB,ATL,HOME,DL,0.223,0.0,1.0,0.2228,0.5,0.0,0.1,0.083,0.5,0.0,3.0,3.5,0.2,0.377,0.69,,9.2,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.928,0.75,66.0,56.0,LESS,20000,18.6,2.5,1.8,0.2,0.1,0.0,0.0,0.0,18.6,2.5,1.8,0.2,0.1,0.0,0.0,18.6,1.8,0.1,0.0,FADE
143,2026,REG,3,401872961,2026-09-27T20:25Z,00-0035944,Jonah Williams,NO,LV,HOME,DL,0.219,0.0,1.0,0.2192,0.0,3.0,0.4,0.3,,0.3,1.0,2.0,0.4,1.032,1.818,,17.3,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.973,1.0,20.0,76.0,LESS,20000,18.2,2.4,1.8,0.1,0.1,0.0,0.0,0.0,18.2,2.4,1.8,0.1,0.1,0.0,0.0,18.2,1.8,0.1,0.0,FADE
144,2026,REG,3,401872958,2026-09-27T20:05Z,00-0038623,Dante Stills,ARI,SF,AWAY,DL,0.215,0.0,1.0,0.2162,1.0,0.0,0.2,0.1,0.5,0.0,0.0,2.0,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.0,0.983,1.0,20.0,76.0,LESS,20000,17.8,2.2,1.6,0.2,0.1,0.0,0.0,0.0,17.8,2.2,1.6,0.2,0.1,0.0,0.0,17.8,1.6,0.1,0.0,FADE
145,2026,REG,3,401872950,2026-09-27T17:00Z,00-0039110,Keeanu Benton,PIT,CIN,HOME,DL,0.212,0.0,1.0,0.2116,0.0,6.5,0.2,0.2,0.0,0.361,3.0,3.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.936,1.0,66.0,76.0,LESS,20000,17.8,2.2,1.6,0.1,0.1,0.0,0.0,0.0,17.8,2.2,1.6,0.1,0.1,0.0,0.0,17.8,1.6,0.1,0.0,FADE
146,2026,REG,3,401872950,2026-09-27T17:00Z,00-0040738,Demetrius Knight Jr.,CIN,PIT,AWAY,LB,0.212,0.0,1.0,0.2125,0.0,3.0,0.2,0.3,0.0,0.176,3.0,4.0,0.4,0.753,1.379,,18.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.955,1.0,66.0,76.0,LESS,20000,17.7,2.2,1.6,0.1,0.1,0.0,0.0,0.0,17.7,2.2,1.6,0.1,0.1,0.0,0.0,17.7,1.6,0.1,0.0,FADE
147,2026,REG,3,401872953,2026-09-27T17:00Z,00-0039835,Justin Eboigbe,LAC,BUF,AWAY,DL,0.209,0.0,1.0,0.2103,0.0,6.0,0.4,0.2,0.0,0.4,2.0,1.5,0.4,0.991,1.818,,24.2,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.973,1.0,43.0,76.0,LESS,20000,17.6,2.1,1.6,0.2,0.1,0.0,0.0,0.0,17.6,2.1,1.6,0.2,0.1,0.0,0.0,17.6,1.6,0.1,0.0,FADE
148,2026,REG,3,401872963,2026-09-29T00:15Z,00-0038412,Moro Ojomo,PHI,CHI,AWAY,DL,0.212,0.0,1.0,0.2107,0.0,6.0,0.2,0.2,0.0,0.333,3.0,1.5,0.4,0.753,1.379,,18.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.955,1.0,66.0,76.0,LESS,20000,17.4,2.4,1.8,0.2,0.1,0.0,0.0,0.0,17.4,2.4,1.8,0.2,0.1,0.0,0.0,17.4,1.8,0.1,0.0,FADE
149,2026,REG,3,401872955,2026-09-27T17:00Z,00-0032052,Dante Fowler Jr.,SEA,WAS,AWAY,LB,0.208,0.0,1.0,0.2104,0.0,3.0,0.4,0.3,,0.231,0.5,2.5,0.4,1.032,1.818,,17.3,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.973,1.0,20.0,76.0,LESS,20000,17.3,2.3,1.7,0.1,0.1,0.0,0.0,0.0,17.3,2.3,1.7,0.1,0.1,0.0,0.0,17.3,1.7,0.1,0.0,FADE
150,2026,REG,3,401872961,2026-09-27T20:25Z,00-0036922,Patrick Johnson,LV,NO,AWAY,LB,0.207,0.0,1.0,0.2082,0.0,1.0,0.2,0.167,0.0,0.2,4.0,4.0,0.4,0.671,1.212,,11.5,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.948,0.75,90.0,56.0,LESS,20000,17.3,2.2,1.6,0.1,0.1,0.0,0.0,0.0,17.3,2.2,1.6,0.1,0.1,0.0,0.0,17.3,1.6,0.1,0.0,FADE
151,2026,REG,3,401872957,2026-09-27T17:00Z,00-0040171,Joshua Farmer,NE,JAX,AWAY,DL,0.206,0.0,1.0,0.21,1.0,0.0,0.2,0.1,1.0,0.0,1.5,3.0,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.936,1.0,31.0,76.0,LESS,20000,17.3,2.2,1.6,0.1,0.1,0.0,0.0,0.0,17.3,2.2,1.6,0.1,0.1,0.0,0.0,17.3,1.6,0.1,0.0,FADE
152,2026,REG,3,401872952,2026-09-27T17:00Z,00-0034285,Zach Sieler,MIA,KC,HOME,DL,0.206,0.0,1.0,0.2073,0.0,5.5,0.2,0.55,0.0,0.324,2.0,0.0,0.2,0.516,0.909,,8.7,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.936,1.0,43.0,76.0,LESS,20000,17.0,2.3,1.6,0.1,0.1,0.0,0.0,0.0,17.0,2.3,1.6,0.1,0.1,0.0,0.0,17.0,1.6,0.1,0.0,FADE
153,2026,REG,3,401872959,2026-09-27T20:05Z,00-0040496,Chaz Chambliss,MIN,TB,AWAY,LB,0.204,0.0,1.0,0.2055,0.0,1.0,0.2,0.167,0.0,0.2,3.5,4.0,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.936,0.75,78.0,56.0,LESS,20000,17.0,2.1,1.6,0.2,0.1,0.0,0.0,0.0,17.0,2.1,1.6,0.2,0.1,0.0,0.0,17.0,1.6,0.1,0.0,FADE
154,2026,REG,3,401872950,2026-09-27T17:00Z,00-0037274,Esezi Otomewo,PIT,CIN,HOME,DL,0.201,0.0,1.0,0.2103,0.0,1.0,0.2,0.143,,0.143,3.0,3.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.936,0.875,66.0,61.0,LESS,20000,16.8,2.2,1.6,0.1,0.1,0.0,0.0,0.0,16.8,2.2,1.6,0.1,0.1,0.0,0.0,16.8,1.6,0.1,0.0,FADE
155,2026,REG,3,401872951,2026-09-27T17:00Z,00-0038107,Micheal Clemons,IND,HOU,HOME,DL,0.2,0.0,1.0,0.2004,0.0,1.0,0.2,0.1,,0.077,3.5,2.0,0.6,1.032,1.818,,17.3,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.973,1.0,78.0,76.0,LESS,20000,16.8,1.9,1.4,0.1,0.1,0.0,0.0,0.0,16.8,1.9,1.4,0.1,0.1,0.0,0.0,16.8,1.4,0.1,0.0,FADE
156,2026,REG,3,401872957,2026-09-27T17:00Z,00-0036813,Christian Elliss,NE,JAX,AWAY,LB,0.201,0.0,1.0,0.2063,1.0,1.0,0.4,0.2,0.5,0.053,1.5,3.0,0.6,1.105,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.983,1.0,31.0,76.0,LESS,20000,16.7,2.1,1.5,0.1,0.1,0.0,0.0,0.0,16.7,2.1,1.5,0.1,0.1,0.0,0.0,16.7,1.5,0.1,0.0,FADE
157,2026,REG,3,401872960,2026-09-27T20:25Z,00-0037756,Travis Jones,BAL,DAL,AWAY,DL,0.2,0.0,1.0,0.1993,0.0,5.0,0.5,0.35,0.0,0.312,1.0,2.5,0.6,1.214,2.273,,30.3,7.5,2.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.991,1.0,20.0,76.0,LESS,20000,16.7,1.9,1.4,0.1,0.1,0.0,0.0,0.0,16.7,1.9,1.4,0.1,0.1,0.0,0.0,16.7,1.4,0.1,0.0,FADE
158,2026,REG,3,401872955,2026-09-27T17:00Z,00-0031411,DeMarcus Lawrence,SEA,WAS,AWAY,LB,0.199,0.0,1.0,0.1976,0.0,8.0,0.4,0.3,0.0,0.421,0.5,2.5,1.4,2.712,4.828,,64.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.093,1.0,20.0,76.0,LESS,20000,16.6,2.0,1.5,0.1,0.1,0.0,0.0,0.0,16.6,2.0,1.5,0.1,0.1,0.0,0.0,16.6,1.5,0.1,0.0,FADE
159,2026,REG,3,401872957,2026-09-27T17:00Z,00-0041569,Gabe Jacas,NE,JAX,AWAY,LB,0.196,0.0,1.0,0.1972,1.0,0.0,0.5,0.5,0.5,,1.5,3.0,1.0,1.884,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.038,0.35,31.0,36.0,LESS,20000,16.6,1.8,1.2,0.1,0.1,0.0,0.0,0.0,16.6,1.8,1.2,0.1,0.1,0.0,0.0,16.6,1.2,0.1,0.0,FADE
160,2026,REG,3,401872957,2026-09-27T17:00Z,00-0039733,Ruke Orhorhoro,JAX,NE,HOME,DL,0.196,0.0,1.0,0.1948,0.0,3.5,0.2,0.2,0.0,0.219,3.0,2.5,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.983,1.0,66.0,76.0,LESS,20000,16.4,1.9,1.5,0.1,0.1,0.0,0.0,0.0,16.4,1.9,1.5,0.1,0.1,0.0,0.0,16.4,1.5,0.1,0.0,FADE
161,2026,REG,3,401872957,2026-09-27T17:00Z,00-0040574,Elijah Ponder,NE,JAX,AWAY,LB,0.195,0.0,1.0,0.1938,1.0,4.0,0.2,0.3,0.5,0.222,1.5,3.0,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.983,1.0,31.0,76.0,LESS,20000,16.3,1.9,1.4,0.1,0.1,0.0,0.0,0.0,16.3,1.9,1.4,0.1,0.1,0.0,0.0,16.3,1.4,0.1,0.0,FADE
162,2026,REG,3,401872960,2026-09-27T20:25Z,00-0037310,James Houston,DAL,BAL,HOME,LB,0.195,0.0,1.0,0.1976,0.0,5.5,0.2,0.2,0.0,0.344,2.5,1.0,1.2,2.36,4.138,,55.2,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,1.066,1.0,54.0,76.0,LESS,20000,16.2,1.9,1.4,0.1,0.1,0.0,0.0,0.0,16.2,1.9,1.4,0.1,0.1,0.0,0.0,16.2,1.4,0.1,0.0,FADE
163,2026,REG,3,401872960,2026-09-27T20:25Z,00-0037051,Elijah Garcia,DAL,BAL,HOME,DL,0.193,0.0,1.0,0.1885,0.0,1.0,0.2,0.167,,0.167,2.5,1.0,0.2,0.516,0.909,,8.7,10.5,2.3,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.081,0.936,0.75,54.0,55.0,LESS,20000,16.1,1.9,1.4,0.1,0.1,0.0,0.0,0.0,16.1,1.9,1.4,0.1,0.1,0.0,0.0,16.1,1.4,0.1,0.0,FADE
164,2026,REG,3,401872948,2026-09-25T00:15Z,00-0033945,Samson Ebukam,ATL,GB,AWAY,DL,0.192,0.0,1.0,0.19,0.5,2.0,0.1,0.05,0.25,0.143,3.5,2.0,0.8,1.417,2.424,,23.1,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.997,1.0,78.0,75.0,LESS,20000,16.1,1.8,1.4,0.1,0.1,0.0,0.0,0.0,16.1,1.8,1.4,0.1,0.1,0.0,0.0,16.1,1.4,0.1,0.0,FADE
165,2026,REG,3,401872949,2026-09-27T17:00Z,00-0041148,Aaron Hall,CAR,CLE,AWAY,DL,0.191,0.0,1.0,0.1882,0.0,0.0,0.0,0.0,0.0,,3.5,2.0,0.5,1.004,1.724,,23.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.969,0.35,78.0,35.0,LESS,20000,16.1,1.9,1.3,0.1,0.1,0.0,0.0,0.0,16.1,1.9,1.3,0.1,0.1,0.0,0.0,16.1,1.3,0.1,0.0,FADE
166,2026,REG,3,401872963,2026-09-29T00:15Z,00-0038978,Byron Young,PHI,CHI,AWAY,DL,0.191,0.0,1.0,0.1913,0.0,2.5,0.2,0.25,0.0,0.167,3.0,1.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.936,1.0,66.0,76.0,LESS,20000,16.0,1.8,1.4,0.1,0.1,0.0,0.0,0.0,16.0,1.8,1.4,0.1,0.1,0.0,0.0,16.0,1.4,0.1,0.0,FADE
167,2026,REG,3,401872948,2026-09-25T00:15Z,00-0040012,Collin Oliver,GB,ATL,HOME,LB,0.189,0.0,1.0,0.1869,0.0,0.0,0.0,0.0,,0.0,3.0,3.5,2.0,4.017,6.897,,92.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.176,0.35,66.0,30.0,LESS,20000,16.0,1.7,1.3,0.1,0.1,0.0,0.0,0.0,16.0,1.7,1.3,0.1,0.1,0.0,0.0,16.0,1.3,0.1,0.0,FADE
168,2026,REG,3,401872955,2026-09-27T17:00Z,00-0041028,Sonny Styles,WAS,SEA,HOME,LB,0.189,0.0,1.0,0.1882,1.0,0.0,0.5,0.5,0.5,,1.5,2.5,0.5,1.239,2.273,,30.3,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.991,0.35,31.0,35.0,LESS,20000,15.9,1.8,1.3,0.1,0.1,0.0,0.0,0.0,15.9,1.8,1.3,0.1,0.1,0.0,0.0,15.9,1.3,0.1,0.0,FADE
169,2026,REG,3,401872952,2026-09-27T17:00Z,00-0039911,Chop Robinson,MIA,KC,HOME,LB,0.19,0.0,1.0,0.19,0.0,4.0,0.3,0.3,0.0,0.333,2.0,0.0,0.4,0.728,1.379,,18.4,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.955,1.0,43.0,75.0,LESS,20000,15.8,2.1,1.5,0.1,0.1,0.0,0.0,0.0,15.8,2.1,1.5,0.1,0.1,0.0,0.0,15.8,1.5,0.1,0.0,FADE
170,2026,REG,3,401872958,2026-09-27T20:05Z,00-0035717,Nick Bosa,SF,ARI,HOME,DL,0.186,0.0,1.0,0.1858,0.0,2.0,0.4,0.4,0.0,0.667,1.5,2.0,0.8,1.342,2.424,,23.1,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.997,0.625,31.0,50.0,LESS,20000,15.7,1.7,1.2,0.1,0.1,0.0,0.0,0.0,15.7,1.7,1.2,0.1,0.1,0.0,0.0,15.7,1.2,0.1,0.0,FADE
171,2026,REG,3,401872951,2026-09-27T17:00Z,00-0033952,Grover Stewart,IND,HOU,HOME,DL,0.185,0.0,1.0,0.1859,0.5,0.5,0.1,0.1,0.25,0.029,3.5,2.0,0.8,1.582,2.759,,36.8,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,1.01,1.0,78.0,75.0,LESS,20000,15.6,1.7,1.3,0.1,0.1,0.0,0.0,0.0,15.6,1.7,1.3,0.1,0.1,0.0,0.0,15.6,1.3,0.1,0.0,FADE
172,2026,REG,3,401872949,2026-09-27T17:00Z,00-0039852,Jared Verse,CLE,CAR,HOME,DL,0.185,0.0,1.0,0.1857,0.0,8.5,0.2,0.25,0.0,0.425,2.0,2.0,1.6,2.835,4.848,,46.2,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.094,1.0,43.0,75.0,LESS,20000,15.6,1.7,1.3,0.1,0.1,0.0,0.0,0.0,15.6,1.7,1.3,0.1,0.1,0.0,0.0,15.6,1.3,0.1,0.0,FADE
173,2026,REG,3,401872953,2026-09-27T17:00Z,00-0041544,Akheem Mesidor,LAC,BUF,AWAY,LB,0.184,0.0,1.0,0.1838,0.5,0.0,0.25,0.25,0.25,,2.0,1.5,1.0,1.946,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,1.038,0.35,43.0,35.0,LESS,20000,15.6,1.7,1.1,0.1,0.1,0.0,0.0,0.0,15.6,1.7,1.1,0.1,0.1,0.0,0.0,15.6,1.1,0.1,0.0,FADE
174,2026,REG,3,401872956,2026-09-27T17:00Z,00-0033902,Tanoh Kpassagnon,TEN,NYG,AWAY,DL,0.184,0.0,1.0,0.1861,0.0,1.0,0.25,0.25,,0.25,2.0,1.5,0.5,0.839,1.515,,14.4,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.961,0.5,43.0,45.0,LESS,20000,15.5,1.9,1.3,0.1,0.1,0.0,0.0,0.0,15.5,1.9,1.3,0.1,0.1,0.0,0.0,15.5,1.3,0.1,0.0,FADE
175,2026,REG,3,401872951,2026-09-27T17:00Z,00-0032265,Mario Edwards,HOU,IND,AWAY,DL,0.182,0.0,1.0,0.1805,1.0,1.5,0.2,0.25,0.5,0.167,1.0,3.5,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.983,1.0,20.0,75.0,LESS,20000,15.4,1.5,1.2,0.1,0.1,0.0,0.0,0.0,15.4,1.5,1.2,0.1,0.1,0.0,0.0,15.4,1.2,0.1,0.0,FADE
176,2026,REG,3,401872962,2026-09-28T00:20Z,00-0039734,Braden Fiske,LAR,DEN,AWAY,DL,0.182,0.0,1.0,0.1781,0.0,5.0,0.4,0.4,0.0,0.278,1.5,1.0,0.6,0.982,1.818,,17.3,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,0.973,1.0,31.0,75.0,LESS,20000,15.4,1.6,1.2,0.1,0.1,0.0,0.0,0.0,15.4,1.6,1.2,0.1,0.1,0.0,0.0,15.4,1.2,0.1,0.0,FADE
177,2026,REG,3,401872953,2026-09-27T17:00Z,00-0040724,T.J. Sanders,BUF,LAC,HOME,DL,0.182,0.0,1.0,0.1782,0.0,1.0,0.2,0.1,,0.1,3.0,3.5,0.2,0.495,0.909,,12.1,7.5,1.6,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,0.936,1.0,66.0,75.0,LESS,20000,15.4,1.7,1.3,0.1,0.0,0.0,0.0,0.0,15.4,1.7,1.3,0.1,0.0,0.0,0.0,15.4,1.3,0.0,0.0,FADE
178,2026,REG,3,401872958,2026-09-27T20:05Z,00-0040706,Walter Nolen,ARI,SF,AWAY,DL,0.183,0.0,1.0,0.1794,0.0,2.0,0.2,0.25,0.0,0.333,0.0,2.0,0.6,1.155,2.069,,27.6,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.0,0.983,1.0,20.0,65.0,LESS,20000,15.3,1.7,1.3,0.1,0.1,0.0,0.0,0.0,15.3,1.7,1.3,0.1,0.1,0.0,0.0,15.3,1.3,0.1,0.0,FADE
179,2026,REG,3,401872948,2026-09-25T00:15Z,00-0040056,Jared Ivey,ATL,GB,AWAY,DL,0.179,0.0,1.0,0.1748,0.0,0.0,0.0,0.0,0.0,,3.5,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.35,78.0,30.0,LESS,20000,15.1,1.6,1.2,0.1,0.1,0.0,0.0,0.0,15.1,1.6,1.2,0.1,0.1,0.0,0.0,15.1,1.2,0.1,0.0,FADE
180,2026,REG,3,401872959,2026-09-27T20:05Z,00-0041033,Caleb Banks,MIN,TB,AWAY,DL,0.179,0.0,1.0,0.1748,0.0,0.0,0.0,0.0,0.0,,3.5,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.35,78.0,30.0,LESS,20000,15.1,1.6,1.3,0.1,0.0,0.0,0.0,0.0,15.1,1.6,1.3,0.1,0.0,0.0,0.0,15.1,1.3,0.0,0.0,FADE
181,2026,REG,3,401872961,2026-09-27T20:25Z,00-0034760,Nathan Shepherd,NO,LV,HOME,DL,0.178,0.0,1.0,0.1713,0.5,3.0,0.3,0.25,0.25,0.188,1.0,2.0,1.0,1.728,3.03,,28.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.021,1.0,20.0,75.0,LESS,20000,15.1,1.6,1.2,0.1,0.0,0.0,0.0,0.0,15.1,1.6,1.2,0.1,0.0,0.0,0.0,15.1,1.2,0.0,0.0,FADE
182,2026,REG,3,401872949,2026-09-27T17:00Z,00-0039400,Zion Logue,CLE,CAR,HOME,DL,0.18,0.0,1.0,0.1812,0.0,0.5,0.25,0.25,,0.25,2.0,2.0,0.5,0.942,1.724,,23.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.969,0.35,43.0,35.0,LESS,20000,15.0,1.8,1.3,0.1,0.1,0.0,0.0,0.0,15.0,1.8,1.3,0.1,0.1,0.0,0.0,15.0,1.3,0.1,0.0,FADE
183,2026,REG,3,401872962,2026-09-28T00:20Z,00-0036952,Jonathon Cooper,DEN,LAR,HOME,LB,0.176,0.0,1.0,0.1719,0.0,9.0,0.2,0.2,,0.474,0.5,2.0,1.0,1.959,3.448,,46.0,7.5,2.2,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.65,1.038,1.0,20.0,75.0,LESS,20000,15.0,1.6,1.2,0.1,0.1,0.0,0.0,0.0,15.0,1.6,1.2,0.1,0.1,0.0,0.0,15.0,1.2,0.1,0.0,FADE
184,2026,REG,3,401872951,2026-09-27T17:00Z,00-0041111,Caden Curry,IND,HOU,HOME,DL,0.176,0.0,1.0,0.1748,0.0,0.0,0.0,0.0,0.0,,3.5,2.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.35,78.0,35.0,LESS,20000,15.0,1.6,1.2,0.1,0.0,0.0,0.0,0.0,15.0,1.6,1.2,0.1,0.0,0.0,0.0,15.0,1.2,0.0,0.0,FADE
185,2026,REG,3,401872956,2026-09-27T17:00Z,00-0038514,Truman Jones,TEN,NYG,AWAY,DL,0.175,0.0,1.0,0.1724,0.0,1.5,0.3,0.25,0.0,0.3,2.0,1.5,0.4,0.749,1.364,,13.0,10.5,3.1,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,0.865,0.955,0.75,43.0,55.0,LESS,20000,15.0,1.4,1.0,0.1,0.1,0.0,0.0,0.0,15.0,1.4,1.0,0.1,0.1,0.0,0.0,15.0,1.0,0.1,0.0,FADE
186,2026,REG,3,401872950,2026-09-27T17:00Z,00-0041546,Cashius Howell,CIN,PIT,AWAY,DL,0.178,0.0,1.0,0.1775,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,1.0,1.803,3.03,,28.9,10.5,3.5,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.297,1.021,0.35,66.0,30.0,LESS,20000,14.9,1.7,1.3,0.1,0.1,0.0,0.0,0.0,14.9,1.7,1.3,0.1,0.1,0.0,0.0,14.9,1.3,0.1,0.0,FADE
187,2026,REG,3,401872959,2026-09-27T20:05Z,00-0039720,Taki Taimani,MIN,TB,AWAY,DL,0.177,0.0,1.0,0.1748,0.0,0.0,0.0,0.0,,0.0,3.5,4.0,0.0,0.0,0.0,,1.0,0.0,0.0,SOURCE,ESTIMATED,ESTIMATED,ESTIMATED,1.45,0.9,0.35,78.0,30.0,LESS,20000,14.9,1.6,1.2,0.1,0.1,0.0,0.0,0.0,14.9,1.6,1.2,0.1,0.1,0.0,0.0,14.9,1.2,0.1,0.0,FADE
