player_key,player_id,player_name,team,opponent,position,season,season_type,week,ladder_yards,ladder_line,probability_pct,probability,grade,projected_rushing_yards,projected_carries,projected_ypc,matchup_score,data_quality_score
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,80,80,3.6,3.6,VERY LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,90,90,2.0,2.0,VERY LOW,25.8,6.3,4.12,103.4,65.0
aj dillon__CAR,00-0036265,AJ Dillon,CAR,CHI,RB,2026,REG,1,100,100,1.3,1.3,VERY LOW,25.8,6.3,4.12,103.4,65.0
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,10,10,37.7,37.7,LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,20,20,8.9,8.9,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,30,30,1.6,1.6,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,40,40,0.2,0.2,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,50,50,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,60,60,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,70,70,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,80,80,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,90,90,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec ingold__LAC,00-0035125,Alec Ingold,LAC,ARI,RB,2026,REG,1,100,100,0.0,0.0,VERY LOW,9.1,2.6,3.96,107.1,57.5
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,10,10,22.9,22.9,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,20,20,3.9,3.9,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,30,30,0.4,0.4,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,40,40,0.1,0.1,VERY LOW,6.0,1.1,5.31,93.5,20.0
alec pierce__IND,00-0037664,Alec Pierce,IND,BAL,WR,2026,REG,1,50,50,0.0,0.0,VERY LOW,6.0,1.1,5.31,93.5,20.0
