Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
11,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Away,592626,Joc Pederson,Texas Rangers,Atlanta Braves,DH,L,Yes,1.0,89,298,255,61,8,2,16,38,35,36,3,67,0.239,0.337,0.475,0.812,8,26,22,5,2,0.227,0.0769,20,77,69,16,7,0.232,0.0909,0.0537,0.0475,4.75,0,0,15.9,0.0,0.0,Very recent HR,702566,Owen Murphy,R,LHB vs RHP,3,1,6.2,4.05,1.2,1,1.35,8.1,2.7,1.29,1.004,1.025,1.0,0.98,20.62,26.1,91.4,57.0,C+,Good
12,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Away,679822,Justin Foscue,Texas Rangers,Atlanta Braves,2B,R,Yes,1.0,48,123,110,31,7,0,7,15,19,10,2,29,0.282,0.35,0.536,0.886,8,18,17,6,2,0.353,0.1111,18,42,37,11,3,0.297,0.0714,0.0569,0.0446,4.75,10,5,15.7,0.64,63.6,Recently homered,702566,Owen Murphy,R,RHB vs RHP,3,1,6.2,4.05,1.2,1,1.35,8.1,2.7,1.35,1.004,0.985,1.03,1.0,19.49,25.96,76.1,55.7,C+,Good
13,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Home,670541,Yordan Alvarez,Houston Astros,Baltimore Orioles,DH,L,Yes,2.0,98,430,356,114,19,0,31,65,72,66,5,73,0.32,0.43,0.635,1.065,9,42,35,10,2,0.286,0.0476,23,103,82,25,7,0.305,0.068,0.0721,0.0633,4.59,10,3,11.5,0.87,87.1,Near normal interval,669432,Trevor Rogers,L,LHB vs LHP,18,18,96.2,4.28,1.3,10,0.93,7.17,2.98,0.958,0.973,0.985,1.08,1.0,25.95,25.76,95.0,61.1,B-,Good
14,2026-07-18,823763,2026-07-18T20:10:00Z,Final,American Family Field,Miami Marlins @ Milwaukee Brewers,Away,681715,Heriberto Hernández,Miami Marlins,Milwaukee Brewers,LF,R,Yes,2.0,69,237,211,49,9,1,13,25,36,24,1,57,0.232,0.312,0.469,0.781,9,36,31,9,4,0.29,0.1111,22,83,72,17,7,0.236,0.0843,0.0549,0.0472,4.65,16,4,16.2,0.99,98.6,Near normal interval,675660,Shane Drohan,L,RHB vs LHP,20,10,76.0,3.2,1.18,6,0.71,9.0,2.49,1.35,0.938,1.025,1.0,1.0,20.12,25.45,87.6,56.0,C+,Good
15,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Home,691016,Tyler Soderstrom,Athletics,Washington Nationals,LF,L,Yes,2.0,85,350,302,73,21,2,15,44,44,45,2,63,0.242,0.343,0.474,0.817,5,15,13,3,2,0.231,0.1333,13,46,38,11,2,0.289,0.0435,0.0429,0.0401,4.59,0,0,20.1,0.0,0.0,Very recent HR,641793,Zack Littell,R,LHB vs RHP,19,12,90.0,4.9,1.31,23,2.3,5.7,2.6,1.272,1.192,1.025,1.0,0.98,17.12,25.12,92.7,55.7,C+,Good
16,2026-07-18,824899,2026-07-18T20:10:00Z,Final,Truist Park,Texas Rangers @ Atlanta Braves,Home,621566,Matt Olson,Atlanta Braves,Texas Rangers,1B,L,Yes,3.0,97,426,379,101,24,0,26,66,59,42,2,103,0.266,0.34,0.536,0.876,10,47,41,9,4,0.22,0.0851,24,105,93,22,6,0.237,0.0571,0.061,0.0547,4.49,5,1,14.6,0.34,34.3,Very recent HR,669022,MacKenzie Gore,L,LHB vs LHP,21,21,110.2,4.8,1.28,14,1.14,9.92,3.42,1.131,1.006,0.985,1.03,0.98,22.3,24.92,95.0,56.6,C+,Good
17,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Home,669127,Shea Langeliers,Athletics,Washington Nationals,C,R,Yes,3.0,88,390,354,91,16,0,22,53,47,30,5,88,0.257,0.323,0.489,0.812,8,27,24,4,2,0.167,0.0741,20,78,71,13,3,0.183,0.0385,0.0564,0.0507,4.49,0,1,16.1,0.0,0.0,Very recent HR,641793,Zack Littell,R,RHB vs RHP,19,12,90.0,4.9,1.31,23,2.3,5.7,2.6,1.058,1.192,0.985,1.0,0.98,20.82,24.87,95.0,55.5,C+,Good
18,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,668709,JJ Bleday,Cincinnati Reds,Colorado Rockies,LF,L,Yes,3.0,69,292,247,60,11,1,16,36,43,40,2,59,0.243,0.351,0.49,0.841,9,37,32,9,3,0.281,0.0811,24,96,81,16,3,0.198,0.0312,0.0548,0.0482,4.55,10,3,15.4,0.65,64.8,Recently homered,608372,Tomoyuki Sugano,R,LHB vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.087,1.11,1.025,1.0,1.0,20.11,24.39,92.5,54.8,C+,Good
19,2026-07-18,823116,2026-07-19T00:08:00Z,In Progress,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,646240,Rafael Devers,San Francisco Giants,Seattle Mariners,1B,L,Yes,4.0,98,415,373,92,25,1,20,50,53,38,1,115,0.247,0.316,0.48,0.796,10,43,35,9,4,0.257,0.093,24,99,85,23,10,0.271,0.101,0.0482,0.0446,4.48,0,0,18.6,0.0,0.0,Very recent HR,693433,Bryan Woo,R,LHB vs RHP,19,19,110.1,4.16,1.09,12,0.98,8.89,1.79,1.35,0.981,1.025,1.0,0.98,18.47,23.94,95.0,53.8,C,Good
20,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,682829,Elly De La Cruz,Cincinnati Reds,Colorado Rockies,SS,S,Yes,1.0,78,349,312,88,15,4,16,52,45,33,2,97,0.282,0.352,0.51,0.862,9,41,37,12,3,0.324,0.0732,20,92,80,23,4,0.288,0.0435,0.0458,0.0423,4.75,4,1,19.5,0.21,20.5,Very recent HR,608372,Tomoyuki Sugano,R,Switch vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.166,1.11,1.035,1.0,0.98,18.56,23.77,95.0,54.5,C+,Good
21,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,668715,Spencer Steer,Cincinnati Reds,Colorado Rockies,1B,R,Yes,4.0,93,366,324,81,14,0,16,54,40,34,5,81,0.25,0.329,0.441,0.77,9,37,33,12,3,0.364,0.0811,22,87,79,21,5,0.266,0.0575,0.0437,0.0408,4.48,4,1,20.2,0.2,19.8,Very recent HR,608372,Tomoyuki Sugano,R,RHB vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.29,1.11,0.985,1.0,0.98,17.03,22.92,95.0,51.8,C,Good
22,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Away,665742,Juan Soto,New York Mets,Philadelphia Phillies,LF,L,Yes,2.0,80,342,281,81,8,2,21,44,51,58,0,45,0.288,0.408,0.555,0.963,10,44,31,7,3,0.226,0.0682,22,92,68,17,4,0.25,0.0435,0.0614,0.0538,4.65,15,5,13.4,1.12,112.1,Near normal interval,666200,Jesús Luzardo,L,LHB vs LHP,20,20,115.1,3.43,1.21,10,0.78,11.16,2.89,1.025,0.949,0.985,1.055,1.0,22.66,22.87,95.0,56.3,C+,Good
23,2026-07-18,823763,2026-07-18T20:10:00Z,Final,American Family Field,Miami Marlins @ Milwaukee Brewers,Away,665052,Griffin Conine,Miami Marlins,Milwaukee Brewers,LF,L,Yes,8.0,32,95,83,23,4,0,7,15,16,10,2,28,0.277,0.368,0.578,0.946,9,24,23,9,4,0.391,0.1667,21,70,61,17,5,0.279,0.0714,0.0737,0.0504,3.98,0,0,11.9,0.0,0.0,Very recent HR,675660,Shane Drohan,L,LHB vs LHP,20,10,76.0,3.2,1.18,6,0.71,9.0,2.49,1.339,0.938,0.985,1.03,0.98,18.61,22.8,76.4,51.6,C,Good
24,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,553993,Eugenio Suárez,Cincinnati Reds,Colorado Rockies,DH,R,Yes,5.0,69,275,248,52,11,0,12,24,36,24,2,99,0.21,0.284,0.399,0.683,9,36,32,7,4,0.219,0.1111,22,89,78,16,5,0.205,0.0562,0.0436,0.0401,4.35,4,1,20.7,0.19,19.4,Very recent HR,608372,Tomoyuki Sugano,R,RHB vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.336,1.11,0.985,1.0,0.98,16.31,22.69,90.8,49.5,C,Good
25,2026-07-18,824414,2026-07-18T17:10:00Z,Final,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,656811,Ryan O'Hearn,Pittsburgh Pirates,Cleveland Guardians,RF,L,Yes,5.0,84,346,311,88,13,0,16,50,64,27,5,76,0.283,0.347,0.479,0.826,9,37,28,8,3,0.286,0.0811,24,101,90,24,5,0.267,0.0495,0.0462,0.0426,4.35,21,7,19.4,1.08,108.0,Near normal interval,668909,Gavin Williams,R,LHB vs RHP,20,20,119.1,4.0,1.15,20,1.51,10.94,2.79,1.228,1.066,1.025,1.0,1.0,17.24,22.57,95.0,53.6,C,Good
26,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,678554,Curtis Mead,Washington Nationals,Athletics,3B,R,No,,81,302,265,68,16,1,17,46,47,33,4,56,0.257,0.348,0.517,0.865,8,36,32,15,3,0.469,0.0833,22,91,85,26,6,0.306,0.0659,0.0563,0.0494,4.15,6,1,15.6,0.38,38.5,Recently homered,669372,J.T. Ginn,R,RHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.212,1.005,0.985,1.0,1.0,18.96,22.38,80.9,50.4,C,Lineup unconfirmed
27,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Away,694212,Samuel Basallo,Baltimore Orioles,Houston Astros,C,L,Yes,5.0,85,310,281,68,9,1,16,34,46,26,1,82,0.242,0.306,0.452,0.758,9,34,32,4,2,0.125,0.0588,22,83,76,15,6,0.197,0.0723,0.0516,0.0461,4.35,7,2,17.6,0.4,39.9,Recently homered,681293,Spencer Arrighetti,R,LHB vs RHP,16,16,87.0,4.34,1.31,12,1.24,9.0,4.97,1.162,1.022,1.025,1.0,1.0,18.57,22.25,92.8,50.2,C,Good
28,2026-07-18,825059,2026-07-18T20:10:00Z,Final,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,691023,Jordan Walker,St. Louis Cardinals,Arizona Diamondbacks,RF,R,Yes,4.0,95,404,365,107,19,0,22,62,75,33,3,99,0.293,0.354,0.526,0.88,11,44,38,12,3,0.316,0.0682,23,94,80,24,4,0.3,0.0426,0.0545,0.0493,4.48,18,5,16.6,1.08,108.5,Near normal interval,694297,Brandon Pfaadt,R,RHB vs RHP,17,7,59.0,4.58,1.31,8,1.22,6.71,2.75,1.06,1.016,0.985,1.03,1.0,20.27,21.97,95.0,53.4,C,Good
29,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Home,696100,Hunter Goodman,Colorado Rockies,Cincinnati Reds,C,R,No,,91,380,342,86,15,0,27,59,51,32,4,124,0.251,0.321,0.532,0.853,8,32,27,7,0,0.259,0.0,22,88,79,20,6,0.253,0.0682,0.0711,0.0617,4.09,33,10,12.7,2.61,260.5,Very long drought,695076,Rhett Lowder,R,RHB vs RHP,17,14,72.0,5.75,1.64,9,1.13,7.63,4.38,0.876,1.005,0.985,1.03,1.06,22.92,21.81,84.0,57.7,C+,Lineup unconfirmed
30,2026-07-18,824979,2026-07-19T02:05:00Z,In Progress,Sutter Health Park,Washington Nationals @ Athletics,Away,682928,CJ Abrams,Washington Nationals,Athletics,SS,L,Yes,4.0,94,400,350,97,18,2,20,57,68,34,10,85,0.277,0.353,0.511,0.864,8,37,31,11,2,0.355,0.0541,21,88,79,20,6,0.253,0.0682,0.05,0.0458,4.48,17,4,17.5,0.97,97.1,Near normal interval,669372,J.T. Ginn,R,LHB vs RHP,22,19,103.1,3.66,1.25,13,1.13,8.19,4.01,1.127,1.005,1.025,1.0,1.0,18.96,21.73,95.0,52.3,C,Good
31,2026-07-18,824657,2026-07-18T18:20:00Z,Final,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,691718,Pete Crow-Armstrong,Chicago Cubs,Minnesota Twins,CF,L,Yes,1.0,98,427,366,104,15,4,21,64,53,48,10,112,0.284,0.38,0.519,0.899,9,42,34,8,2,0.235,0.0476,23,108,83,26,6,0.313,0.0556,0.0492,0.0454,4.69,21,6,17.4,1.2,120.5,Near normal interval,671737,Taj Bradley,R,LHB vs RHP,19,19,107.2,3.85,1.25,16,1.34,10.37,3.59,1.051,1.038,1.025,1.0,1.0,19.58,21.69,95.0,53.8,C,Good
32,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Home,672960,Kazuma Okamoto,Toronto Blue Jays,Chicago White Sox,3B,R,Yes,5.0,95,391,346,81,12,0,22,50,62,37,6,120,0.234,0.317,0.46,0.777,9,40,35,7,3,0.2,0.075,22,92,81,20,7,0.247,0.0761,0.0563,0.0506,4.29,14,4,15.7,0.89,89.0,Near normal interval,663436,Davis Martin,R,RHB vs RHP,19,19,106.0,3.31,1.27,6,0.51,8.24,2.8,1.197,0.906,0.985,1.0,1.0,19.96,21.19,95.0,49.8,C,Good
33,2026-07-18,824657,2026-07-18T18:20:00Z,Final,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,624424,Michael Conforto,Chicago Cubs,Minnesota Twins,DH,L,No,,63,164,144,35,10,0,8,20,22,19,0,48,0.243,0.329,0.479,0.808,5,16,16,3,1,0.188,0.0625,16,49,46,13,4,0.283,0.0816,0.0488,0.0417,4.09,8,3,18.0,0.44,44.4,Recently homered,671737,Taj Bradley,R,LHB vs RHP,19,19,107.2,3.85,1.25,16,1.34,10.37,3.59,1.263,1.038,1.025,1.0,1.0,15.98,21.01,67.6,45.5,C-,Lineup unconfirmed
34,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Away,682626,Francisco Alvarez,New York Mets,Philadelphia Phillies,C,R,Yes,4.0,66,240,215,55,7,0,11,21,24,19,3,62,0.256,0.324,0.442,0.766,7,28,24,8,2,0.333,0.0714,21,81,74,19,6,0.257,0.0741,0.0458,0.0412,4.48,3,1,19.5,0.15,15.3,Very recent HR,666200,Jesús Luzardo,L,RHB vs LHP,20,20,115.1,3.43,1.21,10,0.78,11.16,2.89,1.305,0.949,1.025,1.0,0.98,17.19,21.0,87.6,47.6,C-,Good
35,2026-07-18,824738,2026-07-18T20:10:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,683748,Victor Mesa Jr.,Tampa Bay Rays,Boston Red Sox,RF,L,Yes,7.0,35,108,93,20,2,0,6,14,13,13,0,24,0.215,0.308,0.43,0.738,8,21,19,7,3,0.368,0.1429,19,57,51,12,4,0.235,0.0702,0.0556,0.0432,4.08,0,0,15.5,0.0,0.0,Very recent HR,663776,Patrick Sandoval,L,LHB vs LHP,2,2,9.1,4.82,1.71,1,0.96,9.64,1.93,1.35,0.997,0.985,1.0,0.98,16.47,20.98,76.3,45.6,C-,Good
36,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,701398,Sal Stewart,Cincinnati Reds,Colorado Rockies,1B,R,Yes,2.0,97,423,370,94,23,0,19,51,67,46,2,89,0.254,0.336,0.47,0.806,9,40,35,9,2,0.257,0.05,24,105,96,25,5,0.26,0.0476,0.0449,0.0421,4.65,23,6,19.5,1.18,118.1,Near normal interval,608372,Tomoyuki Sugano,R,RHB vs RHP,17,17,90.2,4.76,1.29,18,1.79,5.06,2.28,1.065,1.11,0.985,1.0,1.0,18.11,20.84,95.0,51.0,C,Good
37,2026-07-18,824169,2026-07-18T20:10:00Z,Final,Daikin Park,Baltimore Orioles @ Houston Astros,Away,691723,Coby Mayo,Baltimore Orioles,Houston Astros,3B,R,Yes,7.0,76,251,228,44,9,0,12,31,34,19,3,83,0.193,0.263,0.39,0.653,8,17,15,4,2,0.267,0.1176,18,54,48,9,3,0.188,0.0556,0.0478,0.0427,4.08,5,3,19.0,0.26,26.3,Very recent HR,681293,Spencer Arrighetti,R,RHB vs RHP,16,16,87.0,4.34,1.31,12,1.24,9.0,4.97,1.318,1.022,0.985,1.0,0.98,16.31,20.8,86.2,45.4,C-,Good
38,2026-07-18,823763,2026-07-18T20:10:00Z,Final,American Family Field,Miami Marlins @ Milwaukee Brewers,Home,641343,Jake Bauers,Milwaukee Brewers,Miami Marlins,1B,L,Yes,3.0,89,356,303,79,15,1,18,56,59,49,3,94,0.261,0.368,0.495,0.863,11,46,36,8,3,0.222,0.0652,26,101,84,20,5,0.238,0.0495,0.0506,0.0459,4.49,13,4,16.8,0.77,77.2,Recently homered,676974,Max Meyer,R,LHB vs RHP,20,20,111.0,2.68,1.14,11,0.89,9.81,3.32,1.107,0.966,1.025,1.0,1.0,19.01,20.69,95.0,49.7,C,Good
39,2026-07-18,823441,2026-07-18T19:05:00Z,Final,Citizens Bank Park,New York Mets @ Philadelphia Phillies,Away,621438,Tyrone Taylor,New York Mets,Philadelphia Phillies,CF,R,Yes,7.0,57,133,124,28,6,0,7,15,18,5,0,24,0.226,0.256,0.444,0.7,9,18,17,6,3,0.353,0.1667,14,29,27,10,4,0.37,0.1379,0.0526,0.0428,4.08,0,0,17.7,0.0,0.0,Very recent HR,666200,Jesús Luzardo,L,RHB vs LHP,20,20,115.1,3.43,1.21,10,0.78,11.16,2.89,1.35,0.949,1.025,1.0,0.98,16.36,20.65,75.8,44.4,C-,Good
40,2026-07-18,822790,2026-07-18T19:07:00Z,Final,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,695657,Colson Montgomery,Chicago White Sox,Toronto Blue Jays,SS,L,Yes,4.0,93,390,348,77,17,0,23,47,56,33,9,125,0.221,0.305,0.468,0.773,9,39,36,8,1,0.222,0.0256,23,98,92,18,3,0.196,0.0306,0.059,0.0526,4.48,31,8,15.1,2.05,204.9,Very long drought,669456,Shane Bieber,R,LHB vs RHP,5,5,23.2,5.7,1.73,7,2.66,7.23,4.56,0.812,1.083,1.025,1.0,1.06,21.51,20.63,95.0,54.1,C+,Good
41,2026-07-18,824331,2026-07-18T19:10:00Z,Final,Coors Field,Cincinnati Reds @ Colorado Rockies,Home,666160,Mickey Moniak,Colorado Rockies,Cincinnati Reds,LF,L,Yes,2.0,64,235,217,60,11,3,15,31,40,13,3,59,0.276,0.323,0.562,0.885,9,31,29,7,0,0.241,0.0,21,71,67,18,3,0.269,0.0423,0.0638,0.0531,4.59,35,11,14.5,2.42,241.9,Very long drought,695076,Rhett Lowder,R,LHB vs RHP,17,14,72.0,5.75,1.64,9,1.13,7.63,4.38,0.82,1.005,1.025,1.03,1.06,22.14,20.58,86.5,56.2,C+,Good
