player_id,player_name,team,opponent,position,depth_chart_position,rushing_depth_role,rushing_qb_qualified,rushing_qb_starter_source,rushing_qb_weighted_carries,rushing_qb_weighted_yards,rushing_qb_last5_carries,rushing_qb_last5_yards,rushing_rb_current_games,rushing_rb_current_games_with_carry,rushing_rb_current_carries,rushing_rb_current_yards,rushing_rb_current_carries_pg,rushing_rb_last_game_carries,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0039738,Blake Corum,LAR,NYG,RB,RB,RB2,True,nan,,,,,1.0,1.0,10.0,54.0,10.0,10.0,ACT,2.0,2026,REG,2,2026 REG W2,401872947,2026-09-22T00:15Z,home,53.718,53.718,53.097,12.814,93.748,30.337,32,50.0,54.9,46.733,54.0,10.8,1.0,1.048,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,9.281,5.705,32.86,21.58,30.51,100.0,93.62,91.42,88.7,85.29,81.3,76.72,71.6,65.92,59.95,53.93,47.57,41.39,35.37,29.71,24.42,19.71,15.68,12.2,9.36,6.95,5.05,3.63,2.55,1.71,1.1,0.73,0.46,0.3,0.17,0.1,0.06,0.04,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0
00-0037228,Jaylen Warren,PIT,NE,RB,RB,RB1,True,nan,,,,,1.0,1.0,10.0,46.0,10.0,10.0,ACT,4.0,2026,REG,2,2026 REG W2,401872946,2026-09-20T17:00Z,away,52.374,52.374,51.656,11.42,92.035,30.129,49,70.4,60.0,61.267,46.0,12.4,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,11.829,4.379,50.63,35.89,32.89,100.0,93.06,90.77,87.82,84.3,80.19,75.51,70.24,64.58,58.54,52.16,45.82,39.54,33.6,28.02,22.92,18.37,14.49,11.15,8.41,6.24,4.53,3.23,2.27,1.54,1.02,0.65,0.41,0.26,0.16,0.09,0.05,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0
00-0040242,Jacory Croskey-Merritt,WAS,DAL,RB,RB,RB1,True,nan,,,,,1.0,1.0,16.0,63.0,16.0,16.0,ACT,1.0,2026,REG,2,2026 REG W2,401872944,2026-09-20T20:25Z,away,51.937,51.937,51.215,12.348,90.611,29.301,18,63.6,46.6,49.533,63.0,13.2,1.0,0.914,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,11.817,4.347,41.3,34.04,35.14,100.0,93.58,91.24,88.37,84.76,80.61,75.89,70.47,64.51,58.15,51.68,45.07,38.83,32.75,27.0,21.86,17.42,13.56,10.37,7.66,5.57,4.03,2.76,1.86,1.26,0.78,0.48,0.3,0.17,0.1,0.06,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0040583,Woody Marks,HOU,CIN,RB,RB,RB2,True,nan,,,,,1.0,1.0,9.0,42.0,9.0,9.0,ACT,1.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,50.276,50.276,50.106,20.554,79.701,22.81,17,51.8,53.1,48.533,42.0,14.2,1.0,1.034,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,14.2,3.54,49.28,47.67,36.0,100.0,97.45,95.84,93.54,90.42,86.13,80.89,74.4,66.92,58.82,50.2,41.74,33.52,26.05,19.59,14.1,9.76,6.53,4.21,2.63,1.58,0.88,0.48,0.27,0.13,0.07,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039361,Bucky Irving,TB,CLE,RB,RB,RB1,True,nan,,,,,1.0,1.0,8.0,45.0,8.0,8.0,ACT,2.0,2026,REG,2,2026 REG W2,401872935,2026-09-20T17:00Z,home,49.062,49.062,47.611,2.994,92.366,32.303,28,56.0,59.6,68.0,45.0,15.6,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,15.738,3.032,56.26,35.47,17.28,100.0,88.98,86.11,82.68,78.69,74.2,69.42,64.16,58.74,53.01,47.26,41.73,36.2,30.91,26.02,21.71,17.7,14.31,11.3,8.75,6.7,5.03,3.64,2.62,1.9,1.32,0.89,0.63,0.42,0.28,0.17,0.11,0.07,0.04,0.02,0.01,0.0,0.0,0.0,0.0,0.0
00-0040666,Omarion Hampton,LAC,LV,RB,RB,RB1,True,nan,,,,,1.0,1.0,12.0,43.0,12.0,12.0,ACT,1.0,2026,REG,2,2026 REG W2,401872941,2026-09-20T20:05Z,home,47.708,47.708,46.966,7.924,85.974,28.806,10,54.8,58.8,58.8,43.0,14.0,1.0,0.912,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,12.049,3.895,48.08,32.91,34.78,100.0,91.6,88.69,85.26,81.12,76.3,70.9,65.18,58.95,52.62,46.09,39.57,33.39,27.66,22.49,17.87,13.93,10.54,7.85,5.67,4.01,2.69,1.84,1.21,0.77,0.49,0.3,0.18,0.09,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033293,Aaron Jones,MIN,CHI,RB,RB,RB1,True,nan,,,,,1.0,1.0,12.0,40.0,12.0,12.0,ACT,9.0,2026,REG,2,2026 REG W2,401872937,2026-09-20T17:00Z,away,47.519,47.519,47.107,11.701,81.976,26.427,41,57.6,52.7,45.333,40.0,15.4,1.0,0.94,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.675,3.443,49.61,40.18,37.84,100.0,93.61,90.99,87.71,83.71,78.85,73.32,67.04,60.18,53.02,45.8,38.85,31.97,25.68,20.09,15.26,11.33,8.21,5.82,4.05,2.71,1.72,1.07,0.66,0.38,0.21,0.12,0.07,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036973,Travis Etienne,NO,BAL,RB,RB,RB1,True,nan,,,,,1.0,1.0,9.0,46.0,9.0,9.0,ACT,5.0,2026,REG,2,2026 REG W2,401872938,2026-09-20T17:00Z,away,45.591,45.591,44.408,4.948,84.26,28.96,50,47.2,55.5,58.867,46.0,13.6,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,13.749,3.244,51.0,42.58,35.04,100.0,89.97,86.9,83.18,78.81,73.67,68.15,62.04,55.68,49.27,42.94,36.69,30.73,25.31,20.47,16.31,12.58,9.59,7.1,5.16,3.69,2.57,1.78,1.18,0.79,0.49,0.31,0.2,0.12,0.07,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0035685,David Montgomery,HOU,CIN,RB,RB,RB1,True,nan,,,,,1.0,1.0,20.0,60.0,20.0,20.0,ACT,7.0,2026,REG,2,2026 REG W2,401872934,2026-09-20T17:00Z,home,44.458,44.458,43.162,1.791,84.341,29.694,46,34.6,38.1,36.2,60.0,9.8,1.0,1.034,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.097,4.268,38.23,41.67,57.07,100.0,88.15,84.87,80.88,76.35,71.29,65.85,60.0,53.92,47.7,41.5,35.56,29.96,24.84,20.18,16.11,12.56,9.63,7.24,5.33,3.83,2.73,1.88,1.28,0.86,0.55,0.35,0.2,0.13,0.07,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036139,Rico Dowdle,PIT,NE,RB,RB,RB2,True,nan,,,,,1.0,1.0,8.0,15.0,8.0,8.0,ACT,6.0,2026,REG,2,2026 REG W2,401872946,2026-09-20T17:00Z,away,43.228,43.228,34.588,0.0,104.3,42.564,50,32.4,48.6,69.333,15.0,10.4,1.0,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,10.652,3.231,44.8,40.78,41.69,100.0,70.47,67.33,64.02,60.55,56.95,53.3,49.7,45.98,42.36,38.83,35.33,32.08,28.89,25.82,22.96,20.28,17.77,15.53,13.44,11.47,9.77,8.27,6.97,5.85,4.8,3.95,3.22,2.61,2.07,1.68,1.33,1.07,0.82,0.66,0.5,0.38,0.26,0.19,0.16,0.12
