player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rush_rec_td,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus
00-0035251,Will Grier,CAR,ARI,QB,QB,ACT,7.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.11,0.11,0.0,0.0,0.0,0.358,0,,,,,,0.48,0.953,TEAM_LEAGUE_PRIOR,100000,NFL_RUSH_REC_TD_V1,9.7,9.7,1.13,1.13,0.15,0.15,0.01
00-0039344,Jonathon Brooks,CAR,ARI,RB,RB,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.107,0.107,0.0,0.0,0.0,0.352,3,0.0,0.0,0.0,0.0,4.0,0.68,0.953,PLAYER_PRIOR_BLEND,100000,NFL_RUSH_REC_TD_V1,9.5,9.5,1.09,1.09,0.12,0.12,0.02
00-0039150,Bryce Young,CAR,ARI,QB,QB,ACT,3.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.089,0.089,0.0,0.0,0.0,0.316,43,0.2,0.1,0.133,0.125,5.4,0.48,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,8.04,8.04,0.77,0.77,0.07,0.07,0.01
00-0039356,Ja'Tavion Sanders,CAR,ARI,TE,TE,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.082,0.082,0.0,0.0,0.0,0.303,26,0.2,0.1,0.067,0.091,2.8,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,7.44,7.44,0.68,0.68,0.07,0.07,0.01
00-0035976,Dan Chisena,CAR,ARI,WR,WR,ACT,6.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.079,0.079,0.0,0.0,0.0,0.296,3,0.0,0.0,0.0,0.0,1.333,0.5,0.953,PLAYER_PRIOR_BLEND,100000,NFL_RUSH_REC_TD_V1,7.22,7.22,0.62,0.62,0.06,0.06,0.01
00-0039342,Xavier Legette,CAR,ARI,WR,WR,ACT,2.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.077,0.077,0.0,0.0,0.0,0.292,30,0.0,0.1,0.2,0.2,2.6,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,7.05,7.05,0.61,0.61,0.04,0.04,0.0
00-0037005,Tommy Tremble,CAR,ARI,TE,TE,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.076,0.076,0.0,0.0,0.0,0.288,38,0.2,0.1,0.133,0.133,2.4,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,6.99,6.99,0.54,0.54,0.05,0.05,0.0
00-0037282,James Mitchell,CAR,ARI,TE,TE,ACT,4.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.071,0.071,0.0,0.0,0.0,0.281,4,0.0,0.0,0.0,0.0,1.25,0.5,0.953,PLAYER_PRIOR_BLEND,100000,NFL_RUSH_REC_TD_V1,6.57,6.57,0.53,0.53,0.04,0.04,0.01
00-0038102,Kenny Pickett,CAR,ARI,QB,QB,ACT,4.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.065,0.065,0.0,0.0,0.0,0.264,20,0.2,0.1,0.133,0.0,1.6,0.48,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,6.03,6.03,0.4,0.4,0.03,0.03,0.0
00-0036825,Feleipe Franks,CAR,ARI,TE,TE,ACT,5.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.063,0.063,0.0,0.0,0.0,0.26,5,0.0,0.0,0.0,0.0,1.0,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,5.85,5.85,0.4,0.4,0.02,0.02,0.0
00-0040187,Mitchell Evans,CAR,ARI,TE,TE,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.051,0.051,0.0,0.0,0.0,0.234,13,0.0,0.1,0.154,0.154,2.4,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,4.81,4.81,0.28,0.28,0.01,0.01,0.0
00-0037614,John Metchie III,CAR,ARI,WR,WR,ACT,4.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.049,0.049,0.0,0.0,0.0,0.227,36,0.0,0.2,0.133,0.167,5.2,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,4.59,4.59,0.25,0.25,0.01,0.01,0.0
00-0040644,Trevor Etienne,CAR,ARI,RB,RB,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.049,0.049,0.0,0.0,0.0,0.228,8,0.0,0.0,0.0,0.0,2.8,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,4.58,4.58,0.26,0.26,0.01,0.01,0.0
00-0038840,Brycen Tremayne,CAR,ARI,WR,WR,ACT,3.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.026,0.026,0.0,0.0,0.0,0.162,9,0.0,0.0,0.0,0.0,1.4,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,2.51,2.51,0.06,0.06,0.0,0.0,0.0
00-0040218,Jimmy Horn Jr.,CAR,ARI,WR,WR,ACT,1.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.025,0.025,0.0,0.0,0.0,0.16,10,0.0,0.0,0.0,0.0,1.2,0.68,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,2.39,2.39,0.07,0.07,0.0,0.0,0.0
00-0036265,AJ Dillon,CAR,ARI,RB,RB,ACT,6.0,2026,PRE,0,2026 PRE W0,2026_HOF_CAR_ARI,2026-08-06T17:00:00-07:00,away,0.015,0.015,0.0,0.0,0.0,0.124,21,0.0,0.1,0.067,0.0,2.4,0.5,0.953,PLAYER_HISTORY,100000,NFL_RUSH_REC_TD_V1,1.49,1.49,0.03,0.03,0.0,0.0,0.0
