player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_rushing_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_rush_attempts,projected_ypc,carry_share,red_zone_rush_share,goal_line_share,prob_0_plus,prob_5_plus,prob_10_plus,prob_15_plus,prob_20_plus,prob_25_plus,prob_30_plus,prob_35_plus,prob_40_plus,prob_45_plus,prob_50_plus,prob_55_plus,prob_60_plus,prob_65_plus,prob_70_plus,prob_75_plus,prob_80_plus,prob_85_plus,prob_90_plus,prob_95_plus,prob_100_plus,prob_105_plus,prob_110_plus,prob_115_plus,prob_120_plus,prob_125_plus,prob_130_plus,prob_135_plus,prob_140_plus,prob_145_plus,prob_150_plus,prob_155_plus,prob_160_plus,prob_165_plus,prob_170_plus,prob_175_plus,prob_180_plus,prob_185_plus,prob_190_plus,prob_195_plus,prob_200_plus
00-0037228,Jaylen Warren,PIT,NYJ,RB,RB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYJ_PIT,,home,31.909,31.909,26.06,0.0,75.721,30.742,48,63.8,58.5,61.4,59.875,12.0,0.5,0.909,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,6.084,4.276,51.0,35.89,32.89,100.0,70.68,66.09,61.2,56.08,51.03,46.0,40.88,36.07,31.4,26.89,22.86,19.11,15.86,12.84,10.33,8.21,6.51,5.0,3.81,2.85,2.14,1.57,1.13,0.78,0.54,0.37,0.25,0.18,0.11,0.08,0.06,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
00-0036973,Travis Etienne,NO,LAR,RB,RB,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,31.862,31.862,26.382,0.0,74.899,30.277,49,52.8,59.3,59.533,65.118,15.8,0.5,0.96,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.142,3.689,52.56,42.58,35.04,100.0,71.36,66.75,61.77,56.64,51.44,46.2,41.1,36.02,31.29,26.72,22.59,18.74,15.36,12.5,9.95,7.88,6.16,4.73,3.56,2.65,1.93,1.39,0.97,0.68,0.47,0.32,0.21,0.14,0.1,0.06,0.04,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0
00-0039363,Isaac Guerendo,SF,LAC,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,away,30.797,30.797,23.176,0.0,76.973,31.849,13,38.6,40.1,32.308,32.308,9.2,0.68,0.924,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,5.349,4.315,32.05,14.14,17.24,100.0,66.76,62.3,57.64,53.02,48.27,43.47,38.82,34.34,30.12,26.11,22.4,18.97,15.85,13.15,10.81,8.83,7.02,5.57,4.38,3.33,2.58,1.96,1.47,1.06,0.77,0.55,0.38,0.26,0.17,0.12,0.09,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0.0,0.0
00-0035700,Josh Jacobs,GB,DEN,RB,RB,ACT,7.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,30.33,30.33,27.525,0.0,65.517,25.182,45,56.2,57.0,61.933,61.933,13.0,0.5,0.896,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.338,3.747,56.81,58.57,71.21,100.0,77.67,72.27,66.5,60.13,53.53,46.66,40.01,33.72,27.78,22.35,17.56,13.66,10.29,7.55,5.36,3.73,2.54,1.68,1.08,0.7,0.41,0.25,0.15,0.09,0.05,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0033906,Alvin Kamara,NO,LAR,RB,RB,ACT,9.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,away,30.228,30.228,20.839,0.0,78.323,32.881,38,31.4,42.6,47.067,42.818,9.6,0.5,0.96,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,5.798,3.555,46.91,36.76,36.46,100.0,63.86,59.57,55.2,50.76,46.35,42.02,37.74,33.49,29.52,25.77,22.28,19.18,16.29,13.7,11.38,9.35,7.62,6.14,4.88,3.87,3.01,2.33,1.79,1.33,0.99,0.74,0.56,0.39,0.28,0.18,0.12,0.09,0.05,0.03,0.03,0.01,0.01,0.01,0.01,0.0
00-0040730,RJ Harvey,DEN,GB,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,home,29.825,29.825,26.565,0.0,65.724,25.612,17,52.2,38.6,30.8,31.765,14.4,0.68,0.941,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,7.134,3.737,40.27,37.35,47.62,100.0,76.06,70.75,64.85,58.49,52.07,45.49,39.17,33.04,27.29,22.25,17.63,13.67,10.41,7.77,5.64,4.0,2.8,1.9,1.26,0.8,0.48,0.3,0.18,0.1,0.06,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0036875,Rhamondre Stevenson,NE,PHI,RB,RB,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,home,29.297,29.297,22.882,0.0,71.56,29.354,41,63.8,47.8,40.267,43.071,8.2,0.5,0.878,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,5.967,3.865,39.97,42.06,48.27,100.0,68.12,63.33,58.33,53.0,47.81,42.74,37.61,32.8,28.11,23.75,19.86,16.33,13.31,10.79,8.49,6.62,5.11,3.89,2.93,2.12,1.52,1.06,0.75,0.52,0.38,0.26,0.17,0.11,0.07,0.05,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
00-0039874,Jaylen Wright,MIA,NYG,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NYG_MIA,,home,28.734,28.734,24.12,0.0,67.096,26.918,22,44.6,28.4,21.933,32.0,10.4,0.68,1.083,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,5.627,4.286,26.83,13.78,16.67,100.0,71.51,66.25,60.71,54.96,48.95,43.04,37.24,31.77,26.66,22.06,17.87,14.18,11.16,8.58,6.46,4.78,3.45,2.41,1.69,1.16,0.78,0.51,0.32,0.19,0.13,0.08,0.05,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039875,Ray Davis,BUF,CLE,RB,RB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,away,28.724,28.724,19.914,0.0,74.494,31.188,25,45.8,27.5,29.2,27.5,7.2,0.68,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,4.394,4.521,17.06,8.5,5.95,100.0,63.59,59.14,54.5,49.91,45.35,40.74,36.24,31.82,27.65,23.89,20.44,17.34,14.52,11.99,9.79,7.95,6.33,4.98,3.87,2.91,2.19,1.65,1.21,0.89,0.62,0.42,0.29,0.2,0.14,0.1,0.07,0.05,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0
00-0038134,Kenneth Walker III,KC,TB,RB,RB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,away,28.641,28.641,24.696,0.0,65.176,25.792,43,58.8,59.7,60.133,60.412,12.2,0.5,0.85,PLAYER_HISTORY,100000,NFL_RUSHING_YARDS_V1,8.235,3.015,55.27,44.22,40.67,100.0,73.63,68.05,62.2,55.97,49.64,43.33,37.25,31.44,26.08,21.21,16.88,13.09,10.1,7.62,5.56,3.98,2.76,1.89,1.27,0.83,0.52,0.32,0.18,0.1,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
