Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-05,St. Louis Cardinals @ New York Yankees,Yankee Stadium,1.035,1.004,78.9,73.0,6.0,SE,146.0,5.0,Overcast,1.8,2.6,53.9,C,92.0,New York Yankees,Heliot Ramos,Andre Pallante,0.333,2,6,4.2,0.95,0.85,0.29,0.43,1.6,33.3,0.8,0|1|1|0|2,08/04|08/02|08/01|07/31|07/30,1.6,0|1|1|0|2|8|1|0|1|2,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25,1.47,0|1|1|0|2|8|1|0|1|2|0|0|1|3|2,08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,76.4,45.4,22.4,9.7,3.6,1.4,0.5,1.75,86.5
2026-08-05,Washington Nationals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.005,81.9,81.0,5.4,SSE,161.0,27.0,Partly cloudy,2.4,3.5,55.3,C,92.0,Philadelphia Phillies,Alec Bohm,Jake Irvin,0.278,5,18,5.0,1.17,1.93,0.69,1.5,4.18,60.0,1.6,2|1|3|2|0,08/04|08/03|08/02|08/01|07/31,2.2,2|1|3|2|0|2|1|4|7|0,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,2.4,2|1|3|2|0|2|1|4|7|0|0|6|4|0|4,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,96.0,86.0,71.5,55.1,40.0,27.2,17.4,2.95,150.1
2026-08-05,Washington Nationals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.005,81.9,81.0,5.4,SSE,161.0,27.0,Partly cloudy,2.4,3.5,55.3,C,92.0,Philadelphia Phillies,Trea Turner,Jake Irvin,0.294,5,17,3.7,1.17,1.69,0.94,0.77,3.41,46.7,3.0,6|0|1|2|6,08/04|08/03|08/02|08/01|07/31,2.7,6|0|1|2|6|4|0|1|5|2,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,2.67,6|0|1|2|6|4|0|1|5|2|0|1|1|10|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,93.3,79.3,60.5,42.3,27.4,16.9,9.9,3.19,151.8
2026-08-05,Washington Nationals @ Philadelphia Phillies,Citizens Bank Park,1.028,1.005,81.9,81.0,5.4,SSE,161.0,27.0,Partly cloudy,2.4,3.5,55.3,C,92.0,Philadelphia Phillies,Bryson Stott,Jake Irvin,0.333,1,3,4.4,1.17,1.37,0.83,0.74,2.95,53.3,1.6,2|2|2|2|0,08/04|08/03|08/02|08/01|07/31,2.5,2|2|2|2|0|4|0|4|9|0,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25,2.13,2|2|2|2|0|4|0|4|9|0|0|1|1|4|1,08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22|07/21|07/20|07/19,91.5,73.6,52.7,34.3,20.4,11.3,5.9,2.58,131.0
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Pittsburgh Pirates,Brandon Lowe,Kyle Harrison,0.333,1,3,5.0,0.85,1.34,0.67,0.52,2.52,60.0,2.2,2|2|0|2|5,08/04|08/03|08/02|08/01|07/31,3.1,2|2|0|2|5|3|1|5|6|5,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26,2.27,2|2|0|2|5|3|1|5|6|5|0|0|1|0|2,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/24|07/22|07/22|07/20|07/18,88.4,66.9,44.2,25.4,14.0,7.3,3.3,2.68,134.9
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Pittsburgh Pirates,Endy Rodríguez,Kyle Harrison,0.0,0,0,4.7,0.85,1.12,0.56,0.7,2.37,53.3,2.0,3|4|0|2|1,08/04|08/03|08/02|07/31|07/30,1.8,3|4|0|2|1|3|1|1|0|3,08/04|08/03|08/02|07/31|07/30|07/28|07/27|07/05|07/03|07/02,2.27,3|4|0|2|1|3|1|1|0|3|1|7|2|0|6,08/04|08/03|08/02|07/31|07/30|07/28|07/27|07/05|07/03|07/02|06/30|06/29|06/27|06/26|06/24,86.7,63.8,40.3,22.7,12.2,6.0,2.8,2.76,134.4
2026-08-05,Pittsburgh Pirates @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Pittsburgh Pirates,Jake Mangum,Kyle Harrison,0.667,2,3,4.0,0.85,1.13,0.3,0.3,1.72,53.3,2.4,1|2|1|3|5,08/04|08/03|08/02|08/01|07/31,2.0,1|2|1|3|5|1|3|2|1|1,08/04|08/03|08/02|08/01|07/31|07/30|07/28|07/27|07/26|07/25,1.93,1|2|1|3|5|1|3|2|1|1|2|3|0|3|1,08/04|08/03|08/02|08/01|07/31|07/30|07/28|07/27|07/26|07/25|07/24|07/22|07/20|07/19|07/18,77.5,47.8,25.2,12.1,5.4,2.3,0.9,2.2,110.0
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,San Diego Padres,Fernando Tatis Jr.,Mitch Bratt,0.0,0,0,5.0,1.2,1.68,1.26,1.26,4.19,46.7,1.4,3|0|0|3|1,08/04|08/03|08/01|07/31|07/30,1.7,3|0|0|3|1|1|8|0|1|0,08/04|08/03|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24,2.67,3|0|0|3|1|1|8|0|1|0|2|4|8|0|9,08/04|08/03|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24|07/23|07/22|07/21|07/20|07/19,96.2,86.8,71.8,54.8,39.7,27.0,17.5,3.31,158.2
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,San Diego Padres,Jackson Merrill,Mitch Bratt,0.0,0,0,4.4,1.2,1.84,0.83,1.11,3.79,60.0,3.0,5|1|5|3|1,08/04|08/03|08/02|08/01|07/31,3.2,5|1|5|3|1|1|2|5|4|5,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,2.73,5|1|5|3|1|1|2|5|4|5|1|0|4|4|0,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24|07/23|07/22|07/21|07/20,95.5,83.1,66.6,48.9,33.4,21.2,13.0,3.31,161.8
2026-08-05,San Diego Padres @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,San Diego Padres,Manny Machado,Mitch Bratt,0.0,0,0,3.7,1.2,1.47,0.85,1.01,3.34,66.7,2.2,8|0|0|1|2,08/04|08/03|08/02|08/01|07/31,2.6,8|0|0|1|2|0|2|5|6|2,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25,2.87,8|0|0|1|2|0|2|5|6|2|4|3|0|6|4,08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24|07/23|07/22|07/21|07/20,93.8,78.8,59.7,40.9,26.4,15.7,9.2,3.52,170.2
