Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
26,2026-07-17,824414,2026-07-17T23:10:00Z,Postponed,Progressive Field,Pittsburgh Pirates @ Cleveland Guardians,Away,656811,Ryan O'Hearn,Pittsburgh Pirates,Cleveland Guardians,RF,L,No,,82,339,306,88,13,0,16,49,63,26,5,74,0.288,0.351,0.487,0.838,8,34,27,10,3,0.37,0.0882,22,94,85,24,5,0.282,0.0532,0.0472,0.0432,4.15,16,5,19.1,0.84,83.7,Near normal interval,668909,Gavin Williams,R,LHB vs RHP,19,19,113.1,3.81,1.15,17,1.35,10.64,2.94,1.271,1.04,1.025,1.0,1.0,16.75,22.15,83.7,50.4,D,Lineup unconfirmed
27,2026-07-17,823524,2026-07-17T23:05:00Z,Warmup,Yankee Stadium,Los Angeles Dodgers @ New York Yankees,Home,502671,Paul Goldschmidt,New York Yankees,Los Angeles Dodgers,1B,R,Yes,3.0,68,262,240,62,9,1,15,32,42,18,3,61,0.258,0.317,0.492,0.809,7,25,24,3,1,0.125,0.04,21,77,74,12,4,0.162,0.0519,0.0573,0.0493,4.49,1,1,16.0,0.06,6.2,Very recent HR,808963,Roki Sasaki,R,RHB vs RHP,16,16,81.0,5.33,1.36,19,2.11,8.89,3.67,0.968,1.162,0.985,1.0,0.98,20.32,21.89,88.9,49.9,F,Good
28,2026-07-17,823115,2026-07-18T02:10:00Z,Pre-Game,T-Mobile Park,San Francisco Giants @ Seattle Mariners,Away,669477,Casey Schmitt,San Francisco Giants,Seattle Mariners,LF,R,Yes,3.0,88,370,350,98,17,1,19,42,50,9,7,71,0.28,0.308,0.497,0.805,9,40,37,10,3,0.27,0.075,22,89,85,23,4,0.271,0.0449,0.0514,0.0466,4.55,4,1,18.4,0.22,21.7,Very recent HR,682243,Bryce Miller,R,RHB vs RHP,10,9,57.2,2.18,0.83,8,1.25,10.14,1.4,1.128,1.02,0.985,1.0,0.98,19.52,21.47,95.0,50.0,D,Good
29,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,624424,Michael Conforto,Chicago Cubs,Minnesota Twins,DH,L,Yes,7.0,62,160,140,34,10,0,8,20,22,19,0,47,0.243,0.331,0.486,0.817,5,16,15,4,1,0.267,0.0625,15,45,42,12,4,0.286,0.0889,0.05,0.0423,4.02,4,2,17.5,0.23,22.9,Very recent HR,641927,Bailey Ober,R,LHB vs RHP,13,13,71.2,4.4,1.19,13,1.63,6.4,2.39,1.258,1.085,1.025,1.0,0.98,15.94,21.34,79.0,47.7,F,Good
30,2026-07-17,822789,2026-07-17T23:15:00Z,Warmup,Rogers Centre,Chicago White Sox @ Toronto Blue Jays,Away,695657,Colson Montgomery,Chicago White Sox,Toronto Blue Jays,SS,L,Yes,4.0,91,381,341,75,16,0,23,45,53,31,9,121,0.22,0.302,0.469,0.771,8,35,34,8,2,0.235,0.0571,22,93,88,18,4,0.205,0.043,0.0604,0.0536,4.48,24,6,14.8,1.62,161.9,Above normal drought,693686,Spencer Miles,R,LHB vs RHP,26,3,60.0,2.85,1.1,4,0.6,8.55,2.85,0.979,0.931,1.025,1.0,1.035,21.86,21.22,95.0,53.0,D,Good
31,2026-07-17,825060,2026-07-18T01:40:00Z,Pre-Game,Chase Field,St. Louis Cardinals @ Arizona Diamondbacks,Away,676369,Nelson Velázquez,St. Louis Cardinals,Arizona Diamondbacks,LF,R,No,,24,65,57,14,3,0,4,10,12,6,1,16,0.246,0.323,0.509,0.832,6,15,15,2,1,0.133,0.0667,13,36,30,5,2,0.167,0.0556,0.0615,0.0424,4.15,5,2,14.2,0.35,35.1,Recently homered,518876,Merrill Kelly,R,RHB vs RHP,16,16,93.2,5.38,1.51,20,1.92,5.67,3.65,1.179,1.131,0.985,1.0,1.0,16.45,21.15,59.5,44.9,F,Small season sample; Lineup unconfirmed
32,2026-07-17,824655,2026-07-18T00:05:00Z,Pre-Game,Wrigley Field,Minnesota Twins @ Chicago Cubs,Home,673548,Seiya Suzuki,Chicago Cubs,Minnesota Twins,RF,R,Yes,2.0,80,343,302,81,14,0,15,47,48,35,3,88,0.268,0.347,0.464,0.811,8,34,33,8,2,0.242,0.0588,20,94,84,24,5,0.286,0.0532,0.0437,0.0407,4.59,13,3,20.1,0.65,64.6,Recently homered,641927,Bailey Ober,R,RHB vs RHP,13,13,71.2,4.4,1.19,13,1.63,6.4,2.39,1.153,1.085,0.985,1.0,1.0,17.36,21.03,95.0,49.4,F,Good
33,2026-07-17,824901,2026-07-17T23:15:00Z,Warmup,Truist Park,Texas Rangers @ Atlanta Braves,Away,694671,Wyatt Langford,Texas Rangers,Atlanta Braves,LF,R,Yes,2.0,44,191,178,49,8,2,9,26,22,12,1,41,0.275,0.325,0.494,0.819,4,18,16,4,1,0.25,0.0556,13,61,55,20,6,0.364,0.0984,0.0471,0.0413,4.65,8,2,19.8,0.4,40.4,Recently homered,519242,Chris Sale,L,RHB vs LHP,17,17,98.0,2.2,1.11,8,0.73,10.74,2.3,1.229,0.941,1.025,1.0,1.0,17.8,20.81,82.5,47.4,F,Good
34,2026-07-17,823766,2026-07-17T23:40:00Z,Pre-Game,American Family Field,Miami Marlins @ Milwaukee Brewers,Home,641343,Jake Bauers,Milwaukee Brewers,Miami Marlins,1B,L,Yes,5.0,87,346,295,79,15,1,18,56,59,47,3,89,0.268,0.373,0.508,0.881,10,39,31,8,3,0.258,0.0769,25,96,80,21,5,0.262,0.0521,0.052,0.0469,4.29,5,2,16.4,0.31,30.5,Very recent HR,645261,Sandy Alcantara,R,LHB vs RHP,20,20,130.2,3.99,1.22,13,0.9,6.89,2.27,1.161,0.968,1.025,1.0,0.98,18.61,20.8,95.0,50.0,D,Good
35,2026-07-17,824766,2026-07-17T17:35:00Z,Final,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,683748,Victor Mesa Jr.,Tampa Bay Rays,Boston Red Sox,RF,L,Yes,1.0,34,104,89,19,2,0,5,13,12,13,0,24,0.213,0.311,0.404,0.715,8,22,17,6,2,0.353,0.0909,18,53,47,11,3,0.234,0.0566,0.0481,0.0395,4.75,3,3,17.8,0.17,16.9,Very recent HR,687562,Jake Bennett,L,LHB vs LHP,9,9,53.2,2.35,0.88,3,0.5,6.37,1.51,1.342,0.927,0.985,1.0,0.98,17.41,20.6,75.7,44.5,F,Good
36,2026-07-17,824981,2026-07-18T01:40:00Z,Pre-Game,Sutter Health Park,Washington Nationals @ Athletics,Away,682928,CJ Abrams,Washington Nationals,Athletics,SS,L,Yes,4.0,93,395,345,95,17,2,20,56,67,34,10,85,0.275,0.352,0.51,0.862,8,36,30,9,2,0.3,0.0556,20,83,74,18,6,0.243,0.0723,0.0506,0.0463,4.48,12,3,17.2,0.7,69.6,Recently homered,695611,Gage Jump,L,LHB vs LHP,9,9,48.2,3.51,1.29,4,0.74,8.88,2.77,1.145,0.96,0.985,1.0,1.0,19.13,20.58,95.0,49.4,F,Good
37,2026-07-17,824737,2026-07-17T23:10:00Z,Warmup,Fenway Park,Tampa Bay Rays @ Boston Red Sox,Away,668723,Ryan Vilade,Tampa Bay Rays,Boston Red Sox,RF,R,Yes,4.0,53,160,142,37,6,1,7,15,31,13,1,32,0.261,0.321,0.465,0.786,5,16,16,2,1,0.125,0.0625,9,33,31,5,3,0.161,0.0909,0.0438,0.0387,4.48,4,1,20.3,0.2,19.7,Very recent HR,700842,Eduardo Rivera,L,RHB vs LHP,2,1,7.0,0.0,0.57,0,0.0,7.71,2.57,1.288,1.0,1.025,1.0,0.98,16.21,20.57,78.1,45.9,F,Good
38,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,545361,Mike Trout,Los Angeles Angels,Detroit Tigers,CF,R,Yes,2.0,78,354,283,67,13,0,18,58,39,67,4,87,0.237,0.39,0.473,0.863,4,19,18,5,1,0.278,0.0526,4,19,18,5,1,0.278,0.0526,0.0508,0.0461,4.59,14,3,15.7,0.89,89.0,Near normal interval,675512,Troy Melton,R,RHB vs RHP,8,8,49.1,1.82,0.81,7,1.28,7.48,2.01,1.031,1.02,0.985,1.0,1.0,19.47,20.12,90.5,48.7,F,Limited recent games
39,2026-07-17,824009,2026-07-18T01:38:00Z,Pre-Game,Angel Stadium,Detroit Tigers @ Los Angeles Angels,Home,666139,Josh Lowe,Los Angeles Angels,Detroit Tigers,LF,L,Yes,5.0,60,185,173,36,4,0,8,17,21,9,1,50,0.208,0.25,0.37,0.62,7,26,24,4,2,0.167,0.0769,15,51,48,13,3,0.271,0.0588,0.0432,0.0388,4.29,0,0,21.6,0.0,0.0,Very recent HR,675512,Troy Melton,R,LHB vs RHP,8,8,49.1,1.82,0.81,7,1.28,7.48,2.01,1.309,1.02,1.025,0.975,0.98,15.62,20.03,81.3,43.4,F,Good
40,2026-07-17,824170,2026-07-18T00:10:00Z,Pre-Game,Daikin Park,Baltimore Orioles @ Houston Astros,Away,624413,Pete Alonso,Baltimore Orioles,Houston Astros,1B,R,Yes,4.0,97,419,361,91,17,0,21,59,65,50,4,104,0.252,0.346,0.474,0.82,8,35,29,9,2,0.31,0.0571,22,95,78,20,5,0.256,0.0526,0.0501,0.0461,4.48,5,1,17.2,0.29,29.1,Very recent HR,663567,Peter Lambert,R,RHB vs RHP,15,15,86.0,3.14,1.12,11,1.15,8.48,3.45,1.078,1.008,0.985,1.0,0.98,19.05,19.91,95.0,47.7,F,Good
41,2026-07-17,824332,2026-07-18T00:40:00Z,Pre-Game,Coors Field,Cincinnati Reds @ Colorado Rockies,Away,701398,Sal Stewart,Cincinnati Reds,Colorado Rockies,1B,R,Yes,2.0,95,414,363,93,22,0,19,51,65,45,2,87,0.256,0.338,0.474,0.812,8,36,32,9,2,0.281,0.0556,22,96,89,24,5,0.27,0.0521,0.0459,0.0428,4.65,16,4,19.1,0.84,83.7,Near normal interval,687312,Gabriel Hughes,R,RHB vs RHP,2,1,9.0,3.0,1.0,0,0.0,8.0,3.0,1.105,1.0,0.985,1.0,1.0,18.39,19.88,95.0,47.9,F,Good
