Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 7 FS/G,Last 14 FS/G,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
11,11,2026-07-09,Rafael Devers,SF,COL,COL @ SF,HOME,1B,9.96,10.21,80.5,73.1,73.1,69.5,69.5,60.2,60.2,57.3,57.3,50.6,50.6,46.4,46.4,43.0,43.0,247.49,A,Forecast 10.0 FS | Sim 10.2,1,5.13,Regular,14,1.04,Ryan Feltner,R,4.27,1.22,0.2131,0.0369,0.082,5.46,1.51,0.2549,0.0343,Oracle Park,0.94,1.025,63.7,16.1,279.0,0.0,windy,389,352,0.244,0.311,0.472,0.783,258,0.897,86,24,1,18,46,47,34,1,0,10.29,10.64,9.37,2.614,0.2456,0.1404,0.1228,0.1228,0.0,8.0,8.78,3.0,16.0,22.0,0.1289,0.0524,0.0033,0.0559,0.0889,0.0067,0.1296,0.1113,0.0071,Low
12,12,2026-07-09,Manny Machado,SD,ARI,ARI @ SD,HOME,3B,10.08,10.15,79.8,72.8,72.8,68.2,68.2,59.1,59.1,55.9,55.9,49.4,49.4,45.6,45.6,41.7,41.7,247.22,A,Forecast 10.1 FS | Sim 10.2,2,5.02,Regular,14,1.04,Merrill Kelly,R,5.71,1.56,0.2584,0.0491,0.0904,4.3,1.29,0.2271,0.0326,Petco Park,0.94,1.0,74.9,7.2,309.0,0.0,neutral,374,324,0.188,0.282,0.404,0.686,284,0.649,61,16,0,18,44,51,44,0,2,9.29,9.07,8.27,2.117,0.1667,0.1167,0.0667,0.2,0.0167,7.0,8.9,3.0,16.0,22.0,0.118,0.0483,0.0028,0.0593,0.1124,0.0064,0.1217,0.1334,0.0097,Low
13,13,2026-07-09,Bobby Witt Jr.,KC,NYM,KC @ NYM,AWAY,SS,9.83,9.15,82.6,74.5,74.5,71.2,71.2,60.2,60.2,56.2,56.2,48.9,48.9,43.3,43.3,39.0,39.0,245.9,A,Forecast 9.8 FS | Sim 9.2,1,5.13,Regular,13,1.04,Sean Manaea,L,4.76,1.35,0.2277,0.0264,0.0759,4.34,1.32,0.2111,0.0282,Citi Field,1.0,1.03,83.9,9.8,210.0,6.0,warm,386,343,0.289,0.36,0.458,0.818,98,0.899,99,20,1,12,49,38,39,1,30,7.0,10.71,10.4,2.459,0.2787,0.0656,0.0492,0.0984,0.0656,7.0,7.48,3.0,13.0,20.0,0.1662,0.0496,0.0037,0.0293,0.0902,0.0075,0.1405,0.0982,0.0351,Low
14,14,2026-07-09,Dillon Dingler,DET,ATH,ATH @ DET,HOME,C,10.28,9.88,82.2,73.5,73.5,70.5,70.5,59.6,59.6,56.4,56.4,50.2,50.2,45.8,45.8,42.5,42.5,243.55,A,Forecast 10.3 FS | Sim 9.9,4,4.82,Regular,12,1.04,Jack Perkins,R,6.75,1.45,0.2311,0.0319,0.0837,5.13,1.47,0.2336,0.0394,Comerica Park,0.97,1.03,84.7,5.3,292.0,27.0,warm,353,318,0.264,0.325,0.516,0.841,247,0.882,84,19,2,19,48,60,23,7,0,6.0,6.36,9.1,1.561,0.2456,0.1053,0.0175,0.0175,0.0,8.0,8.31,3.0,15.0,21.0,0.1568,0.0585,0.0053,0.0505,0.0706,0.0158,0.1316,0.1764,0.0073,Low
15,15,2026-07-09,Pete Alonso,BAL,CHC,CHC @ BAL,HOME,1B,10.11,9.58,83.4,75.4,75.4,71.3,71.3,61.2,61.2,57.0,57.0,49.7,49.7,44.8,44.8,40.8,40.8,243.32,A,Forecast 10.1 FS | Sim 9.6,3,4.92,Regular,14,1.04,David Peterson,L,6.75,1.67,0.2652,0.0221,0.0912,4.36,1.27,0.2202,0.041,Oriole Park at Camden Yards,1.01,1.03,84.2,6.7,200.0,17.0,warm,402,348,0.25,0.341,0.468,0.809,114,0.611,87,16,0,20,55,62,47,3,2,7.14,7.93,9.2,1.82,0.2131,0.082,0.0328,0.1475,0.0,7.0,7.79,4.0,14.0,21.0,0.166,0.0525,0.0032,0.0405,0.106,0.0099,0.1368,0.1572,0.0088,Low
16,16,2026-07-09,Hunter Goodman,COL,SF,COL @ SF,AWAY,C,9.72,9.38,78.3,70.0,70.0,65.4,65.4,55.2,55.2,52.2,52.2,45.6,45.6,41.9,41.9,38.6,38.6,240.61,A,Forecast 9.7 FS | Sim 9.4,2,5.02,Regular,13,1.04,TBD,R,4.2,1.25,0.224,0.03,0.085,4.56,1.38,0.2203,0.0271,Oracle Park,0.94,1.025,63.7,16.1,279.0,0.0,windy,359,324,0.25,0.318,0.543,0.861,247,0.844,81,14,0,27,58,51,29,4,5,7.71,10.64,10.17,2.569,0.2586,0.1379,0.1034,0.0862,0.0,7.0,8.52,3.0,14.0,21.0,0.1261,0.039,0.0024,0.0533,0.0875,0.0112,0.1426,0.135,0.0112,Low
17,17,2026-07-09,Matt Olson,ATL,PIT,ATL @ PIT,AWAY,1B,9.57,9.49,80.6,72.1,72.1,68.2,68.2,58.0,58.0,54.6,54.6,47.8,47.8,43.8,43.8,39.8,39.8,237.31,A,Forecast 9.6 FS | Sim 9.5,1,5.13,Regular,14,1.04,Mitch Keller,R,5.02,1.31,0.229,0.028,0.0771,4.26,1.3,0.2102,0.0271,PNC Park,0.97,1.03,83.2,3.4,262.0,7.0,warm,398,356,0.27,0.339,0.539,0.878,223,0.907,96,24,0,24,62,57,38,1,2,12.14,8.79,8.1,1.984,0.2419,0.1452,0.0645,0.0806,0.0,7.0,8.19,3.0,14.0,21.0,0.1319,0.0552,0.0025,0.0442,0.0874,0.0068,0.1398,0.111,0.0087,Low
18,18,2026-07-09,Spencer Torkelson,DET,ATH,ATH @ DET,HOME,1B,9.66,9.49,79.8,72.0,72.0,67.5,67.5,57.6,57.6,54.2,54.2,46.9,46.9,42.9,42.9,39.0,39.0,236.7,A,Forecast 9.7 FS | Sim 9.5,3,4.92,Regular,13,1.04,Jack Perkins,R,6.75,1.45,0.2311,0.0319,0.0837,5.13,1.47,0.2336,0.0394,Comerica Park,0.97,1.03,84.7,5.3,292.0,27.0,warm,356,307,0.215,0.315,0.42,0.735,265,0.693,66,18,0,15,37,41,41,5,0,8.86,8.0,7.43,1.965,0.193,0.0877,0.0526,0.1228,0.0,7.0,8.34,3.0,14.0,21.0,0.1306,0.0508,0.0028,0.0485,0.1042,0.0134,0.1238,0.1462,0.0073,Low
19,19,2026-07-09,Alec Bohm,PHI,CIN,PHI @ CIN,AWAY,3B,9.87,9.93,82.5,73.9,73.9,70.5,70.5,60.3,60.3,56.1,56.1,49.5,49.5,45.2,45.2,42.0,42.0,236.02,A,Forecast 9.9 FS | Sim 9.9,4,4.82,Regular,14,1.04,Brady Singer,R,5.03,1.54,0.2594,0.0535,0.0802,4.57,1.46,0.2138,0.0346,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,357,324,0.222,0.283,0.367,0.65,243,0.665,72,14,0,11,30,47,25,4,1,9.14,6.71,7.57,1.541,0.1639,0.0984,0.0328,0.0984,0.0,7.0,8.39,3.0,15.0,21.0,0.1529,0.0573,0.0032,0.0535,0.0875,0.0137,0.1024,0.1481,0.0082,Low
20,20,2026-07-09,Willson Contreras,BOS,CWS,BOS @ CWS,AWAY,1B,9.5,8.9,79.5,71.4,71.4,66.2,66.2,55.5,55.5,51.7,51.7,44.4,44.4,40.1,40.1,36.2,36.2,235.86,A,Forecast 9.5 FS | Sim 8.9,2,4.83,Likely regular,11,1.0,Anthony Kay,L,4.29,1.39,0.2205,0.0289,0.0866,4.25,1.34,0.2097,0.0282,Rate Field,1.0,1.0,,,,,Weather unavailable,364,312,0.285,0.379,0.542,0.921,99,0.982,89,16,2,20,46,61,35,14,2,11.57,10.71,9.87,2.679,0.2679,0.1429,0.0714,0.125,0.0179,7.0,7.79,3.0,14.0,20.0,0.1368,0.0464,0.0042,0.0426,0.1028,0.0199,0.1317,0.152,0.0105,Low
21,21,2026-07-09,Sal Stewart,CIN,PHI,PHI @ CIN,HOME,1B,9.62,9.17,80.0,72.2,72.2,68.5,68.5,57.7,57.7,54.4,54.4,47.1,47.1,42.4,42.4,38.2,38.2,235.45,A,Forecast 9.6 FS | Sim 9.2,1,5.13,Regular,14,1.04,Jesús Luzardo,L,3.75,1.27,0.2243,0.0206,0.0755,4.29,1.33,0.233,0.0313,Great American Ball Park,1.08,1.055,90.3,8.2,244.0,2.0,hot,396,347,0.256,0.341,0.481,0.822,98,0.93,89,21,0,19,50,64,45,1,11,10.29,10.29,9.07,2.361,0.2787,0.1639,0.082,0.0656,0.0,7.0,7.86,3.0,14.0,21.0,0.1347,0.0588,0.0029,0.0391,0.0871,0.0066,0.131,0.1196,0.015,Low
22,22,2026-07-09,Juan Soto,NYM,KC,KC @ NYM,HOME,LF,9.66,9.09,79.7,72.0,72.0,66.7,66.7,56.5,56.5,52.4,52.4,45.5,45.5,40.8,40.8,37.0,37.0,235.14,A,Forecast 9.7 FS | Sim 9.1,3,4.84,Regular,13,1.04,Michael Wacha,R,3.45,1.16,0.2198,0.028,0.0668,4.86,1.45,0.2323,0.0333,Citi Field,1.0,1.03,83.9,9.8,210.0,6.0,warm,318,264,0.295,0.41,0.568,0.978,208,1.047,78,8,2,20,42,49,52,0,7,12.71,9.64,9.6,2.213,0.1967,0.082,0.0492,0.2623,0.0164,7.0,7.91,3.0,14.0,20.0,0.1418,0.0357,0.0048,0.0473,0.1302,0.0062,0.1165,0.1526,0.0141,Low
23,23,2026-07-09,Miguel Vargas,CWS,BOS,BOS @ CWS,HOME,3B,9.57,9.07,78.8,71.5,71.5,65.4,65.4,55.8,55.8,52.2,52.2,44.9,44.9,41.5,41.5,36.9,36.9,233.59,A,Forecast 9.6 FS | Sim 9.1,1,5.13,Regular,14,1.04,Patrick Sandoval,L,4.2,1.25,0.224,0.03,0.085,3.7,1.23,0.2153,0.0282,Rate Field,1.0,1.0,,,,,Weather unavailable,392,327,0.242,0.358,0.483,0.841,116,1.013,79,17,1,20,61,56,56,5,11,7.57,10.79,8.07,2.359,0.2188,0.1406,0.0625,0.1719,0.0156,7.0,8.01,3.0,14.0,21.0,0.1215,0.0451,0.0035,0.0408,0.1179,0.0095,0.1403,0.1115,0.0162,Low
24,24,2026-07-09,Taylor Ward,BAL,CHC,CHC @ BAL,HOME,LF,9.48,9.54,86.5,79.8,79.8,75.4,75.4,65.2,65.2,60.9,60.9,52.4,52.4,46.7,46.7,41.5,41.5,231.22,A,Forecast 9.5 FS | Sim 9.5,1,5.13,Regular,14,1.04,David Peterson,L,6.75,1.67,0.2652,0.0221,0.0912,4.36,1.27,0.2202,0.041,Oriole Park at Camden Yards,1.01,1.03,84.2,6.7,200.0,17.0,warm,422,346,0.254,0.382,0.353,0.735,111,0.851,88,19,0,5,55,24,70,3,3,6.29,6.29,6.63,1.397,0.2222,0.0476,0.0159,0.0952,0.0159,8.0,7.09,5.0,13.0,19.0,0.1847,0.0542,0.0032,0.0243,0.1273,0.0092,0.1363,0.0777,0.0106,Medium
25,25,2026-07-09,Geraldo Perdomo,ARI,SD,ARI @ SD,AWAY,SS,9.38,9.13,83.7,76.9,76.9,71.5,71.5,61.3,61.3,56.5,56.5,48.4,48.4,43.2,43.2,38.1,38.1,230.35,A,Forecast 9.4 FS | Sim 9.1,3,4.92,Regular,14,1.04,Griffin Canning,R,6.71,1.61,0.2291,0.0352,0.1322,4.21,1.34,0.2188,0.0289,Petco Park,0.94,1.0,74.9,7.2,309.0,0.0,neutral,373,309,0.243,0.352,0.362,0.714,263,0.74,75,13,3,6,42,32,52,3,14,8.57,8.07,8.1,1.823,0.2258,0.0806,0.0323,0.0806,0.0484,7.0,7.23,4.0,13.0,19.0,0.1587,0.0425,0.0046,0.0276,0.1514,0.0146,0.1193,0.1141,0.0211,Low
26,26,2026-07-09,Ryan O'Hearn,PIT,ATL,ATL @ PIT,HOME,RF,9.27,8.2,76.7,66.1,66.1,62.7,62.7,52.1,52.1,48.0,48.0,41.4,41.4,36.3,36.3,33.4,33.4,228.09,A,Forecast 9.3 FS | Sim 8.2,4,4.73,Regular,13,1.04,Bryce Elder,R,4.01,1.23,0.2193,0.0289,0.0723,3.61,1.23,0.205,0.0299,PNC Park,0.97,1.03,83.2,3.4,262.0,7.0,warm,323,294,0.293,0.35,0.497,0.847,238,0.906,86,12,0,16,47,61,25,2,1,13.29,13.14,8.87,2.968,0.3387,0.1452,0.0806,0.0806,0.0,6.0,7.52,3.0,12.0,19.0,0.1563,0.0416,0.0024,0.0408,0.0747,0.0081,0.1283,0.1957,0.0081,Low
27,27,2026-07-09,Mike Trout,LAA,TEX,LAA @ TEX,AWAY,CF,9.39,9.14,76.4,69.1,69.1,63.8,63.8,54.0,54.0,50.8,50.8,44.0,44.0,40.4,40.4,36.8,36.8,226.97,A,Forecast 9.4 FS | Sim 9.1,3,4.84,Regular,14,1.04,Nathan Eovaldi,R,4.02,1.17,0.2271,0.0436,0.055,4.07,1.24,0.2174,0.0325,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,340,269,0.234,0.394,0.48,0.874,254,0.875,63,12,0,18,56,38,67,4,7,13.0,9.21,9.2,1.985,0.1692,0.0923,0.0615,0.1385,0.0308,7.0,8.42,3.0,14.0,21.0,0.1143,0.0401,0.0026,0.0567,0.104,0.0087,0.1339,0.1224,0.0146,Low
28,28,2026-07-09,Zach Neto,LAA,TEX,LAA @ TEX,AWAY,SS,9.55,9.46,77.6,69.0,69.0,65.9,65.9,55.3,55.3,52.7,52.7,46.7,46.7,42.6,42.6,39.4,39.4,226.94,A,Forecast 9.6 FS | Sim 9.5,1,5.13,Regular,13,1.04,Nathan Eovaldi,R,4.02,1.17,0.2271,0.0436,0.055,4.07,1.24,0.2174,0.0325,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,405,355,0.234,0.326,0.462,0.788,302,0.745,83,20,2,19,64,45,42,7,11,9.14,7.64,9.4,1.911,0.2679,0.125,0.0357,0.0536,0.0,7.0,8.62,3.0,15.0,21.0,0.1214,0.0506,0.0041,0.052,0.0646,0.0099,0.1381,0.0972,0.0148,Low
29,29,2026-07-09,Jackson Merrill,SD,ARI,ARI @ SD,HOME,CF,9.45,9.0,79.9,69.2,69.2,66.9,66.9,56.6,56.6,52.4,52.4,46.3,46.3,40.8,40.8,37.9,37.9,226.93,A,Forecast 9.4 FS | Sim 9.0,3,4.92,Regular,14,1.04,Merrill Kelly,R,5.71,1.56,0.2584,0.0491,0.0904,4.3,1.29,0.2271,0.0326,Petco Park,0.94,1.0,74.9,7.2,309.0,0.0,neutral,374,345,0.22,0.275,0.357,0.632,273,0.604,76,15,1,10,40,37,25,1,19,9.71,7.29,7.97,1.789,0.2456,0.0351,0.0351,0.0175,0.0702,7.0,7.9,3.0,14.0,20.0,0.1688,0.0418,0.004,0.0422,0.0705,0.0074,0.1126,0.1197,0.0264,Low
30,30,2026-07-09,TJ Rumfield,COL,SF,COL @ SF,AWAY,1B,9.14,8.95,82.8,74.8,74.8,70.8,70.8,60.0,60.0,55.3,55.3,47.1,47.1,41.8,41.8,37.6,37.6,224.98,A,Forecast 9.1 FS | Sim 8.9,1,5.13,Regular,13,1.04,TBD,R,4.2,1.25,0.224,0.03,0.085,4.56,1.38,0.2203,0.0271,Oracle Park,0.94,1.025,63.7,16.1,279.0,0.0,windy,368,324,0.296,0.375,0.481,0.856,262,0.939,96,20,2,12,42,47,35,7,0,7.29,7.79,9.1,1.847,0.322,0.1017,0.0,0.1186,0.0,7.0,7.22,3.0,13.0,19.0,0.1618,0.0543,0.004,0.0285,0.0993,0.0156,0.1181,0.1038,0.0072,Low
