Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 7 FS/G,Last 14 FS/G,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
11,11,2026-07-10,Luis Arraez,SF,COL,COL @ SF,HOME,2B,11.03,11.42,91.5,83.0,83.0,81.9,81.9,73.5,73.5,68.5,68.5,63.7,63.7,55.7,55.7,52.6,52.6,268.06,A+,Forecast 11.0 FS | Sim 11.4,2,5.02,Regular,13,1.04,Tanner Gordon,R,6.95,1.59,0.3024,0.0537,0.0488,5.49,1.52,0.2554,0.0347,Oracle Park,0.94,1.025,65.2,15.3,282.0,0.0,windy,389,350,0.326,0.363,0.46,0.823,266,0.82,114,21,7,4,46,35,22,3,7,8.0,8.14,8.4,1.932,0.322,0.1186,0.0169,0.0678,0.0169,10.0,8.01,5.0,16.0,22.0,0.2578,0.0726,0.012,0.0318,0.0512,0.0061,0.1256,0.1071,0.0132,High
12,12,2026-07-10,Colson Montgomery,CWS,ATH,ATH @ CWS,HOME,SS,11.48,11.78,86.1,79.9,79.9,76.2,76.2,67.5,67.5,64.0,64.0,57.6,57.6,53.7,53.7,49.5,49.5,267.16,A,Forecast 11.5 FS | Sim 11.8,3,4.92,Regular,14,1.04,Jacob Lopez,L,7.04,1.84,0.2529,0.0428,0.1323,5.12,1.47,0.2331,0.0398,Rate Field,1.0,1.0,,,,,Weather unavailable,368,329,0.222,0.304,0.48,0.784,113,0.882,73,16,0,23,42,53,30,9,1,7.0,7.21,7.17,1.683,0.2333,0.1,0.05,0.0333,0.0,9.0,9.29,5.0,18.0,25.0,0.1494,0.0581,0.0033,0.071,0.1016,0.0207,0.1278,0.1586,0.0084,Medium
13,13,2026-07-10,James Wood,WSH,NYY,NYY @ WSH,HOME,RF,10.62,10.38,81.9,76.2,76.2,70.9,70.9,62.2,62.2,58.9,58.9,51.6,51.6,47.9,47.9,43.2,43.2,265.21,A,Forecast 10.6 FS | Sim 10.4,1,5.13,Regular,14,1.04,Ryan Weathers,L,4.29,1.25,0.228,0.0415,0.0699,3.41,1.19,0.2048,0.0264,Nationals Park,1.0,1.03,80.4,5.0,306.0,20.0,warm,440,357,0.269,0.402,0.546,0.948,145,0.848,96,22,1,25,85,61,77,4,15,19.57,13.14,11.43,2.706,0.2059,0.1324,0.0735,0.2353,0.0294,8.0,8.62,4.0,16.0,23.0,0.1189,0.0483,0.0039,0.0544,0.117,0.008,0.1631,0.1123,0.0196,Medium
14,14,2026-07-10,Ian Happ,CHC,CIN,CHC @ CIN,AWAY,LF,11.78,12.74,90.9,85.7,85.7,82.4,82.4,74.9,74.9,71.0,71.0,64.2,64.2,59.4,59.4,55.1,55.1,265.17,A,Forecast 11.8 FS | Sim 12.7,5,4.61,Regular,13,1.04,Hunter Greene,R,21.6,3.3,0.35,0.05,0.2,4.53,1.45,0.2131,0.0342,Great American Ball Park,1.08,1.03,80.0,1.6,82.0,16.0,warm,385,332,0.22,0.325,0.434,0.759,275,0.847,73,16,2,17,59,41,47,5,4,3.57,4.21,5.8,1.135,0.1538,0.0385,0.0192,0.0577,0.0,11.0,9.09,5.0,19.0,26.0,0.1885,0.0717,0.0075,0.0678,0.1374,0.0163,0.1323,0.1357,0.0103,High
15,15,2026-07-10,Nico Hoerner,CHC,CIN,CHC @ CIN,AWAY,2B,11.39,11.68,91.8,86.3,86.3,84.2,84.2,75.2,75.2,71.0,71.0,64.4,64.4,58.6,58.6,53.6,53.6,259.41,A,Forecast 11.4 FS | Sim 11.7,3,4.92,Regular,14,1.04,Hunter Greene,R,21.6,3.3,0.35,0.05,0.2,4.53,1.45,0.2131,0.0342,Great American Ball Park,1.08,1.03,80.0,1.6,82.0,16.0,warm,409,363,0.24,0.313,0.336,0.649,297,0.592,87,23,0,4,37,38,36,5,14,5.86,6.29,5.03,1.517,0.2414,0.0862,0.0,0.0517,0.0345,10.0,7.87,6.0,16.0,23.0,0.2232,0.0913,0.0041,0.0339,0.1129,0.0159,0.1151,0.119,0.0184,High
16,16,2026-07-10,Sal Stewart,CIN,CHC,CHC @ CIN,HOME,1B,10.69,11.03,82.3,74.5,74.5,71.5,71.5,62.4,62.4,59.6,59.6,53.5,53.5,49.8,49.8,46.9,46.9,256.66,A,Forecast 10.7 FS | Sim 11.0,1,5.13,Regular,14,1.04,Shota Imanaga,L,4.28,1.1,0.2096,0.0506,0.0627,4.35,1.27,0.2188,0.0408,Great American Ball Park,1.08,1.03,80.0,1.6,82.0,16.0,warm,400,351,0.254,0.338,0.476,0.814,101,0.899,89,21,0,19,50,64,45,1,11,9.86,10.29,8.53,2.323,0.2742,0.1613,0.0806,0.0645,0.0,8.0,9.28,3.0,17.0,24.0,0.1245,0.0529,0.0027,0.0674,0.08,0.0061,0.1319,0.1201,0.0149,Medium
17,17,2026-07-10,Riley Greene,DET,PHI,PHI @ DET,HOME,LF,10.47,10.71,86.2,77.7,77.7,74.8,74.8,65.4,65.4,60.8,60.8,54.5,54.5,49.2,49.2,45.9,45.9,256.58,A,Forecast 10.5 FS | Sim 10.7,2,5.02,Regular,14,1.04,Aaron Nola,R,5.87,1.46,0.2593,0.0469,0.0716,4.24,1.32,0.2316,0.031,Comerica Park,0.97,1.03,83.1,5.2,47.0,4.0,warm,388,336,0.289,0.376,0.464,0.84,268,0.871,97,18,1,13,46,45,47,2,2,11.14,9.36,7.9,2.148,0.2459,0.1148,0.0656,0.082,0.0164,8.0,8.53,4.0,16.0,23.0,0.1823,0.0512,0.0046,0.0523,0.0853,0.0068,0.1189,0.1261,0.0096,Medium
18,18,2026-07-10,Jackson Merrill,SD,TOR,TOR @ SD,HOME,CF,10.98,11.22,88.3,80.6,80.6,78.2,78.2,68.9,68.9,64.9,64.9,59.0,59.0,53.1,53.1,49.5,49.5,256.22,A,Forecast 11.0 FS | Sim 11.2,2,5.02,Regular,14,1.04,Shane Bieber,R,9.0,2.08,0.3125,0.0938,0.1094,4.08,1.3,0.2118,0.0297,Petco Park,0.94,1.0,70.9,6.0,219.0,0.0,neutral,378,349,0.218,0.272,0.352,0.624,282,0.599,76,15,1,10,40,37,25,1,19,7.71,7.29,7.97,1.789,0.2456,0.0351,0.0351,0.0175,0.0702,9.0,8.48,5.0,16.0,23.0,0.2085,0.0512,0.0049,0.0466,0.0847,0.0089,0.1239,0.1162,0.0263,Medium
19,19,2026-07-10,Willy Adames,SF,COL,COL @ SF,HOME,SS,10.71,10.98,85.8,77.0,77.0,75.1,75.1,65.5,65.5,62.0,62.0,56.1,56.1,50.4,50.4,47.8,47.8,254.01,A,Forecast 10.7 FS | Sim 11.0,3,4.92,Regular,14,1.04,Tanner Gordon,R,6.95,1.59,0.3024,0.0537,0.0488,5.49,1.52,0.2554,0.0347,Oracle Park,0.94,1.025,65.2,15.3,282.0,0.0,windy,371,345,0.229,0.28,0.426,0.706,269,0.736,79,21,1,15,45,36,24,1,2,8.14,7.21,7.07,1.804,0.2143,0.0893,0.0357,0.125,0.0179,9.0,8.89,5.0,16.0,24.0,0.184,0.069,0.0041,0.0558,0.0571,0.0053,0.1296,0.1273,0.0098,Medium
20,20,2026-07-10,Casey Schmitt,SF,COL,COL @ SF,HOME,LF,11.03,11.12,87.1,76.8,76.8,75.9,75.9,66.3,66.3,61.9,61.9,57.5,57.5,50.8,50.8,48.6,48.6,253.25,A,Forecast 11.0 FS | Sim 11.1,4,4.82,Regular,13,1.04,Tanner Gordon,R,6.95,1.59,0.3024,0.0537,0.0488,5.49,1.52,0.2554,0.0347,Oracle Park,0.94,1.025,65.2,15.3,282.0,0.0,windy,357,338,0.278,0.305,0.494,0.799,255,0.765,94,17,1,18,41,47,8,7,7,8.86,5.43,7.0,1.357,0.1786,0.0714,0.0357,0.0179,0.0,9.0,8.85,5.0,17.0,24.0,0.211,0.0604,0.0046,0.0616,0.0357,0.0106,0.1206,0.153,0.0126,Medium
21,21,2026-07-10,Kevin McGonigle,DET,PHI,PHI @ DET,HOME,SS,10.13,10.31,86.7,79.5,79.5,76.1,76.1,66.8,66.8,62.1,62.1,55.3,55.3,49.4,49.4,45.1,45.1,250.59,A,Forecast 10.1 FS | Sim 10.3,1,5.13,Regular,14,1.04,Aaron Nola,R,5.87,1.46,0.2593,0.0469,0.0716,4.24,1.32,0.2316,0.031,Comerica Park,0.97,1.03,83.1,5.2,47.0,4.0,warm,400,338,0.287,0.398,0.42,0.818,289,0.841,97,18,3,7,57,32,59,3,11,8.29,8.71,8.33,1.877,0.2615,0.0308,0.0154,0.1692,0.0308,8.0,7.88,5.0,15.0,21.0,0.1935,0.0501,0.0057,0.0342,0.1085,0.0085,0.1364,0.0839,0.0165,Medium
22,22,2026-07-10,Junior Caminero,TB,SEA,SEA @ TB,HOME,3B,9.53,9.03,77.6,68.7,68.7,65.0,65.0,54.7,54.7,51.2,51.2,44.8,44.8,40.5,40.5,37.4,37.4,249.24,A,Forecast 9.5 FS | Sim 9.0,1,5.13,Regular,14,1.04,Luis Castillo,R,4.79,1.33,0.2274,0.0247,0.074,3.57,1.17,0.216,0.0245,Tropicana Field,1.0,1.0,,,,,Indoor/retractable neutral,398,346,0.277,0.367,0.546,0.913,292,0.885,96,12,0,27,58,57,49,1,1,8.29,14.36,10.17,3.295,0.2459,0.1803,0.1803,0.0656,0.0164,7.0,8.17,3.0,14.0,21.0,0.1364,0.0331,0.0025,0.0505,0.0823,0.0071,0.136,0.1318,0.0089,Low
23,23,2026-07-10,Sam Antonacci,CWS,ATH,ATH @ CWS,HOME,LF,10.38,10.36,87.6,80.2,80.2,76.7,76.7,66.8,66.8,62.2,62.2,55.5,55.5,49.9,49.9,45.5,45.5,248.88,A,Forecast 10.4 FS | Sim 10.4,4,4.73,Regular,13,1.04,Jacob Lopez,L,7.04,1.84,0.2529,0.0428,0.1323,5.12,1.47,0.2331,0.0398,Rate Field,1.0,1.0,,,,,Weather unavailable,294,253,0.289,0.38,0.411,0.791,64,0.52,73,12,2,5,46,25,21,17,12,5.0,6.79,8.63,1.61,0.2542,0.0508,0.0169,0.0678,0.0169,8.0,7.79,5.0,15.0,21.0,0.2017,0.0515,0.0051,0.0381,0.1037,0.0264,0.1498,0.1262,0.0195,Medium
24,24,2026-07-10,Ben Rice,NYY,WSH,NYY @ WSH,AWAY,1B,10.2,9.62,83.6,74.8,74.8,71.0,71.0,60.8,60.8,57.0,57.0,50.0,50.0,44.8,44.8,41.0,41.0,248.18,A,Forecast 10.2 FS | Sim 9.6,2,5.02,Regular,13,1.04,Carson Palmquist,L,7.11,1.58,0.2857,0.0,0.0714,4.76,1.39,0.2283,0.0351,Nationals Park,1.0,1.03,80.4,5.0,306.0,20.0,warm,377,327,0.275,0.366,0.59,0.956,128,0.786,90,15,2,28,63,65,45,3,2,14.86,8.93,8.27,2.193,0.193,0.1053,0.1053,0.0877,0.0,8.0,7.93,3.0,14.0,21.0,0.1722,0.0477,0.0055,0.0384,0.0869,0.0104,0.1512,0.1529,0.009,Low
25,25,2026-07-10,Chase Meidroth,CWS,ATH,ATH @ CWS,HOME,2B,10.44,10.75,89.0,82.5,82.5,79.0,79.0,69.5,69.5,65.1,65.1,57.6,57.6,51.8,51.8,47.2,47.2,247.81,A,Forecast 10.4 FS | Sim 10.8,2,5.02,Regular,14,1.04,Jacob Lopez,L,7.04,1.84,0.2529,0.0428,0.1323,5.12,1.47,0.2331,0.0398,Rate Field,1.0,1.0,,,,,Weather unavailable,380,335,0.266,0.339,0.373,0.712,109,0.819,89,15,0,7,52,29,36,2,2,5.14,6.43,5.73,1.5,0.2167,0.0333,0.0167,0.15,0.0,9.0,7.93,5.0,15.0,22.0,0.2022,0.0523,0.0033,0.0381,0.1265,0.0116,0.1423,0.0984,0.009,Medium
26,26,2026-07-10,Dillon Dingler,DET,PHI,PHI @ DET,HOME,C,10.54,10.37,83.4,74.5,74.5,72.4,72.4,61.9,61.9,58.5,58.5,52.4,52.4,47.4,47.4,44.7,44.7,246.48,A,Forecast 10.5 FS | Sim 10.4,4,4.82,Regular,12,1.04,Aaron Nola,R,5.87,1.46,0.2593,0.0469,0.0716,4.24,1.32,0.2316,0.031,Comerica Park,0.97,1.03,83.1,5.2,47.0,4.0,warm,353,318,0.264,0.325,0.516,0.841,247,0.882,84,19,2,19,48,60,23,7,0,6.0,6.36,9.1,1.561,0.2456,0.1053,0.0175,0.0175,0.0,8.0,8.59,3.0,16.0,22.0,0.1628,0.0607,0.0055,0.0581,0.0578,0.0129,0.1268,0.17,0.0073,Medium
27,27,2026-07-10,Bryan Reynolds,PIT,MIL,MIL @ PIT,HOME,LF,9.78,9.64,82.4,76.3,76.3,70.2,70.2,61.0,61.0,56.8,56.8,49.1,49.1,44.6,44.6,39.8,39.8,246.23,A,Forecast 9.8 FS | Sim 9.6,1,5.13,Regular,14,1.04,Brandon Sproat,R,5.13,1.37,0.2113,0.0417,0.1101,3.33,1.16,0.1937,0.0262,PNC Park,0.97,0.985,72.9,9.3,117.0,46.0,"rain risk, humid",410,342,0.281,0.395,0.477,0.872,285,0.842,96,21,2,14,65,57,61,5,7,12.71,9.14,10.33,1.939,0.197,0.0758,0.0455,0.1515,0.0303,7.0,8.0,4.0,14.0,21.0,0.1317,0.0415,0.0037,0.0391,0.1469,0.0135,0.143,0.1041,0.0138,Low
28,28,2026-07-10,Pete Alonso,BAL,KC,KC @ BAL,HOME,1B,9.97,9.64,84.0,78.0,78.0,71.9,71.9,62.7,62.7,58.0,58.0,50.0,50.0,45.2,45.2,39.9,39.9,244.66,A,Forecast 10.0 FS | Sim 9.6,3,4.92,Regular,14,1.04,Luinder Avila,R,5.05,1.59,0.2277,0.0223,0.1384,4.89,1.45,0.2327,0.0336,Oriole Park at Camden Yards,1.01,1.0,78.6,3.9,24.0,12.0,neutral,406,349,0.249,0.345,0.467,0.812,290,0.896,87,16,0,20,56,62,49,4,2,7.29,8.0,9.23,1.867,0.2,0.0833,0.0333,0.1833,0.0,7.0,7.69,4.0,14.0,21.0,0.1436,0.0473,0.0027,0.0386,0.1541,0.0154,0.1254,0.1608,0.0082,Medium
29,29,2026-07-10,Gavin Sheets,SD,TOR,TOR @ SD,HOME,1B,10.61,10.93,86.2,79.3,79.3,75.5,75.5,66.2,66.2,62.3,62.3,55.8,55.8,50.5,50.5,46.6,46.6,244.56,A,Forecast 10.6 FS | Sim 10.9,5,4.52,Regular,12,1.04,Shane Bieber,R,9.0,2.08,0.3125,0.0938,0.1094,4.08,1.3,0.2118,0.0297,Petco Park,0.94,1.0,70.9,6.0,219.0,0.0,neutral,309,272,0.228,0.32,0.438,0.758,255,0.807,62,15,0,14,33,39,33,4,4,3.43,6.21,5.87,1.673,0.2115,0.0769,0.0385,0.1154,0.0,9.0,8.53,5.0,16.0,23.0,0.1835,0.0622,0.0036,0.0605,0.1176,0.0164,0.1111,0.1534,0.0108,Medium
30,30,2026-07-10,Kazuma Okamoto,TOR,SD,TOR @ SD,AWAY,3B,10.15,10.09,80.5,72.8,72.8,68.3,68.3,58.6,58.6,54.9,54.9,48.8,48.8,44.7,44.7,41.2,41.2,243.82,A,Forecast 10.2 FS | Sim 10.1,2,5.02,Regular,14,1.04,JP Sears,L,4.7,1.37,0.209,0.0597,0.1045,4.2,1.34,0.2188,0.0289,Petco Park,0.94,1.0,70.9,6.0,219.0,0.0,neutral,369,329,0.237,0.314,0.462,0.776,85,0.803,78,11,0,21,48,59,33,5,0,8.43,8.71,8.67,2.068,0.2373,0.0678,0.0678,0.0508,0.0,7.0,8.86,3.0,16.0,23.0,0.1367,0.0321,0.0025,0.0609,0.099,0.0144,0.1348,0.1426,0.0079,Low
