rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,opponent,home_away,game_id,game_date,game_name
31,2026,PRE,1,Preseason Week 1,00-0040464,DJ Uiagalelei,LAC,ACT,1,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e8mdfuh7skuez3kdmm4r",TEAM_BLEND,30.0,6.98,209.8,0,,,,,,,,,,,,,30.0,6.98,209.8,74.76524452996912,TEAM_PRIOR_NO_NFL_HISTORY,30.0,18.0,AUTO_PRESEASON_USAGE,young_backup,138.2,64.9,55.3,94.8,138.3,181.5,221.3,72.4,HIGH,66.8,SOLID,61.1,SOLID,55.1,LEAN,48.9,COIN FLIP,42.8,COIN FLIP,36.7,LOW,31.1,LOW,25.7,LOW,21.1,VERY LOW,16.9,VERY LOW,13.3,VERY LOW,10.3,VERY LOW,7.8,VERY LOW,5.9,VERY LOW,4.2,VERY LOW,3.0,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.0,92.8,82.0,64.6,50.0,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2902,HOU,away,2026_PRE_W1_LAC_HOU,,LAC at HOU
32,2026,PRE,1,Preseason Week 1,00-0034869,Sam Darnold,SEA,ACT,8,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",TEAM_BLEND,29.1,7.24,209.5,36,2025.0,227.0,229.4,240.2,238.1,254.1,30.6,28.5,28.1,7.37,8.61,8.87,29.4,8.01,235.1,59.92849595566856,NFL_HISTORY,29.4,15.0,AUTO_PRESEASON_USAGE,veteran_backup,137.4,44.8,79.8,106.9,137.6,167.5,194.6,79.6,HIGH,72.8,HIGH,65.1,SOLID,56.6,LEAN,47.8,COIN FLIP,38.9,LOW,30.6,LOW,23.3,VERY LOW,16.9,VERY LOW,12.0,VERY LOW,8.0,VERY LOW,5.2,VERY LOW,3.2,VERY LOW,1.9,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.7,97.9,92.3,78.8,61.7,47.1,QB_3_SEASON_EMPIRICAL,1493,DAL,home,2026_PRE_W1_DAL_SEA,,DAL at SEA
33,2026,PRE,1,Preseason Week 1,00-0039534,Carter Bradley,JAX,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kw2ogega4ojum3hyecya",TEAM_BLEND,29.9,6.86,205.6,0,,,,,,,,,,,,,29.9,6.86,205.6,67.62900909900132,TEAM_PRIOR_NO_NFL_HISTORY,29.9,18.0,AUTO_PRESEASON_USAGE,young_backup,135.7,58.7,60.7,96.4,135.3,175.1,210.7,73.0,HIGH,67.0,SOLID,60.4,SOLID,53.7,LEAN,46.9,COIN FLIP,40.3,COIN FLIP,33.9,LOW,27.9,LOW,22.5,VERY LOW,17.7,VERY LOW,13.6,VERY LOW,10.2,VERY LOW,7.5,VERY LOW,5.5,VERY LOW,3.8,VERY LOW,2.6,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.9,92.1,80.3,61.4,45.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2830,NO,away,2026_PRE_W1_JAX_NO,,JAX at NO
34,2026,PRE,1,Preseason Week 1,00-0039164,Anthony Richardson,IND,ACT,3,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wrddeyklfcgk9qybgofq",TEAM_BLEND,29.9,6.94,207.5,14,2024.0,171.2,174.3,165.7,174.3,144.2,26.2,26.0,26.0,7.24,7.25,7.25,26.5,7.21,167.8,54.03968425367596,NFL_HISTORY,26.5,18.0,AUTO_PRESEASON_USAGE,young_backup,135.5,47.9,74.3,103.1,135.5,168.1,196.9,77.0,HIGH,70.1,HIGH,62.6,SOLID,54.5,LEAN,46.3,COIN FLIP,38.2,LOW,30.6,LOW,23.7,VERY LOW,17.6,VERY LOW,12.8,VERY LOW,8.9,VERY LOW,6.0,VERY LOW,3.9,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.4,94.1,86.0,70.4,61.9,QB_3_SEASON_EMPIRICAL,430,NE,away,2026_PRE_W1_IND_NE,,IND at NE
35,2026,PRE,1,Preseason Week 1,00-0040203,Will Howard,PIT,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nao2wr6j5irfvk43ssgy",TEAM_BLEND,29.5,6.83,201.6,0,,,,,,,,,,,,,29.5,6.83,201.6,68.74960730582022,TEAM_PRIOR_NO_NFL_HISTORY,29.5,18.0,AUTO_PRESEASON_USAGE,young_backup,134.8,60.1,57.9,94.4,134.7,175.1,212.0,72.0,HIGH,66.0,SOLID,59.6,LEAN,53.1,LEAN,46.4,COIN FLIP,39.8,LOW,33.6,LOW,27.8,LOW,22.5,VERY LOW,18.0,VERY LOW,14.0,VERY LOW,10.6,VERY LOW,7.8,VERY LOW,5.7,VERY LOW,4.1,VERY LOW,2.8,VERY LOW,1.9,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.4,91.9,80.1,64.5,52.2,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2683,GB,home,2026_PRE_W1_GB_PIT,,GB at PIT
36,2026,PRE,1,Preseason Week 1,00-0040222,Cam Miller,MIA,ACT,1,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kzi3uhytwrzsdjgi8vel",TEAM_BLEND,29.2,6.82,200.4,0,,,,,,,,,,,,,29.2,6.82,200.4,73.3078371167153,TEAM_PRIOR_NO_NFL_HISTORY,29.2,18.0,AUTO_PRESEASON_USAGE,young_backup,134.5,64.5,51.4,90.9,134.9,178.5,217.4,70.4,HIGH,64.8,SOLID,59.0,LEAN,53.0,LEAN,46.8,COIN FLIP,40.7,COIN FLIP,34.9,LOW,29.2,LOW,24.3,VERY LOW,19.6,VERY LOW,15.7,VERY LOW,12.2,VERY LOW,9.3,VERY LOW,7.0,VERY LOW,5.2,VERY LOW,3.7,VERY LOW,2.6,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.9,92.5,72.7,48.8,31.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2698,WAS,away,2026_PRE_W1_MIA_WAS,,MIA at WAS
37,2026,PRE,1,Preseason Week 1,00-0039677,Sam Hartman,WAS,ACT,2,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mj9bvcyihsspmkwcbral",TEAM_BLEND,28.2,6.88,194.2,0,,,,,,,,,,,,,28.2,6.88,194.2,70.19315581302358,TEAM_PRIOR_NO_NFL_HISTORY,28.2,18.0,AUTO_PRESEASON_USAGE,young_backup,134.3,62.8,54.3,92.3,134.7,177.0,215.3,71.0,HIGH,65.2,SOLID,59.2,LEAN,53.0,LEAN,46.7,COIN FLIP,40.3,COIN FLIP,34.3,LOW,28.6,LOW,23.5,VERY LOW,19.0,VERY LOW,15.0,VERY LOW,11.6,VERY LOW,8.8,VERY LOW,6.5,VERY LOW,4.7,VERY LOW,3.3,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,98.6,91.2,75.1,64.4,45.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2869,MIA,home,2026_PRE_W1_MIA_WAS,,MIA at WAS
38,2026,PRE,1,Preseason Week 1,00-0040234,Quinn Ewers,MIA,ACT,1,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wikumn4ijbsxyuhtv1vz",TEAM_BLEND,29.2,6.82,200.4,4,2025.0,155.5,155.5,155.5,155.5,,20.8,20.8,20.8,7.27,7.27,7.27,21.6,7.21,155.5,85.71464285639881,NFL_HISTORY,21.6,18.0,AUTO_PRESEASON_USAGE,young_backup,133.7,78.4,33.6,80.6,133.7,187.0,234.8,66.7,SOLID,61.9,SOLID,57.0,LEAN,52.0,LEAN,46.8,COIN FLIP,41.8,COIN FLIP,37.1,LOW,32.5,LOW,27.9,LOW,23.8,VERY LOW,20.0,VERY LOW,16.7,VERY LOW,13.7,VERY LOW,11.1,VERY LOW,8.9,VERY LOW,7.0,VERY LOW,5.5,VERY LOW,4.2,VERY LOW,3.2,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,100.0,99.3,96.6,79.6,58.5,50.3,QB_3_SEASON_EMPIRICAL,104,WAS,away,2026_PRE_W1_MIA_WAS,,MIA at WAS
39,2026,PRE,1,Preseason Week 1,00-0039923,J.J. McCarthy,MIN,ACT,2,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omybnfokapjw6jwb5dd3",TEAM_BLEND,28.9,6.87,199.7,10,2025.0,158.0,163.2,163.2,163.2,,20.6,24.3,24.3,7.54,6.87,6.87,23.1,7.14,161.1,56.77470568527008,NFL_HISTORY,23.1,18.0,AUTO_PRESEASON_USAGE,young_backup,133.3,54.7,63.3,96.5,133.7,170.2,203.4,72.9,HIGH,66.6,SOLID,59.9,LEAN,52.7,LEAN,45.4,COIN FLIP,38.2,LOW,31.4,LOW,25.1,LOW,19.6,VERY LOW,14.9,VERY LOW,11.1,VERY LOW,8.0,VERY LOW,5.6,VERY LOW,3.8,VERY LOW,2.5,VERY LOW,1.6,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.3,95.6,86.0,64.6,55.2,QB_3_SEASON_EMPIRICAL,313,NYG,away,2026_PRE_W1_MIN_NYG,,MIN at NYG
40,2026,PRE,1,Preseason Week 1,00-0040211,Graham Mertz,HOU,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dkzhjatulzdzzvf5rpm3",TEAM_BLEND,29.7,6.74,200.6,0,,,,,,,,,,,,,29.7,6.74,200.6,69.37214936962758,TEAM_PRIOR_NO_NFL_HISTORY,29.7,18.0,AUTO_PRESEASON_USAGE,young_backup,133.2,60.5,55.9,92.0,133.0,173.7,210.6,70.7,HIGH,64.8,SOLID,58.5,LEAN,52.0,LEAN,45.4,COIN FLIP,38.9,LOW,32.7,LOW,27.0,LOW,21.8,VERY LOW,17.3,VERY LOW,13.4,VERY LOW,10.2,VERY LOW,7.5,VERY LOW,5.4,VERY LOW,3.9,VERY LOW,2.7,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.2,91.9,78.3,62.9,45.4,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,LAC,home,2026_PRE_W1_LAC_HOU,,LAC at HOU
41,2026,PRE,1,Preseason Week 1,00-0038550,Hendon Hooker,TEN,ACT,3,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bdky2q0tndjhtrgo2fgt",TEAM_BLEND,29.6,6.68,196.5,0,,,,,,,,,,,,,29.6,6.68,196.5,68.28192337549851,TEAM_PRIOR_NO_NFL_HISTORY,29.6,18.0,AUTO_PRESEASON_USAGE,young_backup,131.7,59.6,55.2,91.6,131.9,172.0,208.1,70.3,HIGH,64.2,SOLID,57.9,LEAN,51.2,LEAN,44.6,COIN FLIP,38.0,LOW,31.9,LOW,26.1,LOW,20.9,VERY LOW,16.4,VERY LOW,12.6,VERY LOW,9.4,VERY LOW,6.9,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.5,91.1,79.5,63.3,47.7,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2655,SF,away,2026_PRE_W1_TEN_SF,,TEN at SF
42,2026,PRE,1,Preseason Week 1,00-0039910,Jayden Daniels,WAS,ACT,2,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrdweg39v1ay4zoc0lgp",TEAM_BLEND,28.2,6.88,194.2,23,2025.0,165.8,178.5,192.3,180.3,222.6,23.2,27.5,26.9,6.99,6.36,6.78,25.5,6.76,182.4,63.236504698114615,NFL_HISTORY,25.5,18.0,AUTO_PRESEASON_USAGE,young_backup,130.8,54.6,60.9,94.1,130.8,167.9,201.1,71.5,HIGH,64.9,SOLID,57.9,LEAN,50.6,LEAN,43.3,COIN FLIP,36.4,LOW,29.7,LOW,23.8,VERY LOW,18.5,VERY LOW,14.0,VERY LOW,10.4,VERY LOW,7.5,VERY LOW,5.2,VERY LOW,3.6,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.5,89.1,74.6,58.4,48.2,QB_3_SEASON_EMPIRICAL,985,MIA,home,2026_PRE_W1_MIA_WAS,,MIA at WAS
43,2026,PRE,1,Preseason Week 1,00-0034857,Josh Allen,BUF,ACT,8,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",TEAM_BLEND,29.1,7.09,208.5,49,2025.0,191.8,227.1,218.3,229.2,233.2,26.6,28.2,28.8,7.11,8.03,7.93,27.7,7.53,215.2,67.87908643150404,NFL_HISTORY,27.7,15.0,AUTO_PRESEASON_USAGE,veteran_backup,128.3,51.3,62.6,93.6,128.1,163.1,194.2,70.9,HIGH,63.8,SOLID,56.1,LEAN,48.5,COIN FLIP,41.0,COIN FLIP,33.6,LOW,27.0,LOW,20.9,VERY LOW,15.8,VERY LOW,11.5,VERY LOW,8.2,VERY LOW,5.6,VERY LOW,3.7,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.8,97.7,90.5,75.8,64.3,44.9,QB_3_SEASON_EMPIRICAL,2127,CAR,home,2026_PRE_W1_CAR_BUF,,CAR at BUF
44,2026,PRE,1,Preseason Week 1,00-0032268,Marcus Mariota,WAS,ACT,11,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9ribxqudeehvmjlw0va",TEAM_BLEND,28.2,6.88,194.2,12,2025.0,205.2,182.6,181.6,185.0,183.0,27.0,24.1,24.8,8.11,7.85,7.73,25.9,7.81,190.9,68.00483760466776,NFL_HISTORY,25.9,15.0,AUTO_PRESEASON_USAGE,veteran_backup,128.2,52.1,61.2,93.1,128.4,163.4,195.0,70.8,HIGH,63.9,SOLID,56.5,LEAN,48.8,COIN FLIP,41.2,COIN FLIP,33.8,LOW,27.1,LOW,21.1,VERY LOW,16.0,VERY LOW,11.8,VERY LOW,8.4,VERY LOW,5.8,VERY LOW,3.9,VERY LOW,2.5,VERY LOW,1.6,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.8,98.7,94.7,79.9,62.0,40.9,QB_3_SEASON_EMPIRICAL,368,MIA,home,2026_PRE_W1_MIA_WAS,,MIA at WAS
45,2026,PRE,1,Preseason Week 1,00-0036355,Justin Herbert,LAC,ACT,6,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1oelyaroiaalgilbeqk",TEAM_BLEND,30.0,6.98,209.8,46,2025.0,207.2,223.4,227.3,232.9,227.6,27.2,29.6,32.0,7.57,7.44,7.29,29.0,7.4,220.7,79.06689127793621,NFL_HISTORY,29.0,15.0,AUTO_PRESEASON_USAGE,veteran_backup,127.5,56.1,55.3,89.7,127.5,165.0,199.6,68.8,SOLID,62.2,SOLID,55.3,LEAN,48.2,COIN FLIP,41.1,COIN FLIP,34.3,LOW,27.9,LOW,22.3,VERY LOW,17.4,VERY LOW,13.2,VERY LOW,9.9,VERY LOW,7.1,VERY LOW,5.0,VERY LOW,3.5,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.7,97.0,90.4,75.7,63.1,44.3,QB_3_SEASON_EMPIRICAL,1923,HOU,away,2026_PRE_W1_LAC_HOU,,LAC at HOU
46,2026,PRE,1,Preseason Week 1,00-0039150,Bryce Young,CAR,ACT,3,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",TEAM_BLEND,29.5,6.6,195.7,44,2025.0,176.0,186.1,190.5,188.2,195.8,27.0,27.9,29.9,6.58,6.43,6.2,28.0,6.46,184.9,93.45765412520761,NFL_HISTORY,28.0,18.0,AUTO_PRESEASON_USAGE,young_backup,126.6,70.8,36.1,79.3,126.7,174.5,217.4,64.9,SOLID,59.5,LEAN,53.9,LEAN,48.1,COIN FLIP,42.5,COIN FLIP,37.1,LOW,31.9,LOW,27.0,LOW,22.5,VERY LOW,18.5,VERY LOW,14.9,VERY LOW,11.9,VERY LOW,9.4,VERY LOW,7.2,VERY LOW,5.4,VERY LOW,4.1,VERY LOW,3.0,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.7,91.2,78.3,59.8,41.9,QB_3_SEASON_EMPIRICAL,1787,BUF,away,2026_PRE_W1_CAR_BUF,,CAR at BUF
47,2026,PRE,1,Preseason Week 1,00-0040668,Shedeur Sanders,CLE,ACT,1,2.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/joe08hz6to2madpko8zl",TEAM_BLEND,30.4,6.42,196.0,8,2025.0,199.0,175.0,175.0,175.0,,30.2,26.5,26.5,6.45,6.45,6.45,28.6,6.45,184.9,93.24922847020817,NFL_HISTORY,28.6,18.0,AUTO_PRESEASON_USAGE,young_backup,126.4,71.7,35.1,78.6,126.5,175.2,218.5,64.5,SOLID,59.1,LEAN,53.6,LEAN,48.0,COIN FLIP,42.6,COIN FLIP,37.2,LOW,32.2,LOW,27.4,LOW,23.0,VERY LOW,18.9,VERY LOW,15.3,VERY LOW,12.2,VERY LOW,9.7,VERY LOW,7.5,VERY LOW,5.7,VERY LOW,4.3,VERY LOW,3.2,VERY LOW,2.2,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.8,97.9,90.7,73.4,65.4,57.7,QB_3_SEASON_EMPIRICAL,270,CHI,away,2026_PRE_W1_CLE_CHI,,CLE at CHI
48,2026,PRE,1,Preseason Week 1,00-0036264,Jordan Love,GB,ACT,6,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",TEAM_BLEND,28.0,7.26,201.2,47,2025.0,192.0,212.2,225.4,225.4,225.9,25.8,29.2,29.3,7.32,7.2,7.67,27.6,7.36,211.1,79.27656418999861,NFL_HISTORY,27.6,15.0,AUTO_PRESEASON_USAGE,veteran_backup,125.5,57.2,52.7,86.9,125.5,163.9,198.8,67.2,SOLID,60.7,SOLID,53.8,LEAN,46.8,COIN FLIP,39.8,LOW,33.4,LOW,27.2,LOW,21.8,VERY LOW,17.0,VERY LOW,13.0,VERY LOW,9.6,VERY LOW,6.9,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.7,97.7,91.2,78.2,63.5,48.1,QB_3_SEASON_EMPIRICAL,1900,PIT,away,2026_PRE_W1_GB_PIT,,GB at PIT
49,2026,PRE,1,Preseason Week 1,00-0039398,Joe Milton III,DAL,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsj9lobse1gxzanf39dt",TEAM_BLEND,30.7,6.8,210.8,2,2025.0,157.0,157.0,157.0,73.0,241.0,21.0,21.0,13.0,6.96,6.96,5.62,20.5,6.65,152.8,118.79393923933998,LIMITED_NFL_HISTORY,20.5,18.0,AUTO_PRESEASON_USAGE,young_backup,124.6,109.5,0.0,50.7,124.9,198.5,265.1,58.9,LEAN,55.3,LEAN,51.7,LEAN,48.1,COIN FLIP,44.4,COIN FLIP,40.8,COIN FLIP,37.3,LOW,33.9,LOW,30.6,LOW,27.5,LOW,24.6,VERY LOW,21.9,VERY LOW,19.3,VERY LOW,16.9,VERY LOW,14.7,VERY LOW,12.7,VERY LOW,10.8,VERY LOW,9.2,VERY LOW,7.8,VERY LOW,6.5,VERY LOW,5.5,VERY LOW,4.5,VERY LOW,3.7,VERY LOW,3.0,VERY LOW,2.4,VERY LOW,1.9,VERY LOW,1.6,VERY LOW,1.2,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.6,VERY LOW,100.0,99.2,93.0,76.2,62.7,46.7,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,SEA,away,2026_PRE_W1_DAL_SEA,,DAL at SEA
