player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,projected_xpa,pat_make_rate,season_pat_made,season_pat_attempts,season_pat_make_pct,career_pat_made,career_pat_attempts,career_pat_make_pct,career_history_start_season,pat_makes_5y,pat_attempts_5y,pat_make_pct_5y,team_ppg,team_td_per_game,team_scoring_games,projected_team_points,xp_opportunity_pct,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0040200,Andy Borregales,NE,JAX,K,K,ACT,2026,REG,3,2026 REG W3,401872957,2026-09-27T17:00Z,away,2.592,2.62,2.62,99.45,60,62,96.77,60,62,96.77,2025.0,60,62,96.77,18.8,2.202,55,21.25,92.74,2.67,2.67,0.944,61.5,23,1.04,2.592,2.0,1.0,5.0,1.608,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,92.55,73.12,47.78,26.22,12.33,4.93
00-0039576,Spencer Shrader,IND,HOU,K,K,ACT,2026,REG,3,2026 REG W3,401872951,2026-09-27T17:00Z,home,2.506,2.63,2.63,95.58,14,14,100.0,23,23,100.0,2024.0,23,23,100.0,24.62,2.748,53,19.75,92.79,2.753,2.881,0.878,83.4,10,1.04,2.506,2.0,1.0,5.0,1.579,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,91.91,71.28,45.75,24.45,11.02,4.31
00-0031136,Chris Boswell,PIT,CIN,K,K,ACT,2026,REG,3,2026 REG W3,401872950,2026-09-27T17:00Z,home,2.414,2.47,2.47,97.72,42,43,97.67,108,110,98.18,2023.0,108,110,98.18,15.18,1.47,56,19.5,91.56,2.657,2.743,0.867,77.7,48,1.04,2.414,2.0,1.0,4.0,1.549,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,91.04,69.36,43.59,22.5,9.82,3.61
00-0033787,Jake Elliott,PHI,CHI,K,K,ACT,2026,REG,3,2026 REG W3,401872963,2026-09-29T00:15Z,away,2.419,2.53,2.53,95.85,42,44,95.45,147,154,95.45,2023.0,147,154,95.45,20.67,2.407,59,23.0,92.01,2.23,2.377,1.022,74.7,58,1.04,2.419,2.0,1.0,4.0,1.554,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,91.03,69.46,43.6,22.64,9.9,3.72
00-0040279,Ryan Fitzgerald,CAR,CLE,K,K,ACT,2026,REG,3,2026 REG W3,401872949,2026-09-27T17:00Z,away,2.4,2.63,2.63,91.53,31,34,91.18,31,34,91.18,2025.0,31,34,91.18,22.04,2.641,52,22.5,92.78,2.33,2.527,1.0,68.2,19,1.04,2.4,2.0,1.0,4.0,1.546,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.85,69.21,43.03,22.18,9.66,3.6
00-0032726,Ka'imi Fairbairn,HOU,IND,K,K,ACT,2026,REG,3,2026 REG W3,401872951,2026-09-27T17:00Z,away,2.365,2.58,2.58,91.83,32,33,96.97,97,102,95.1,2023.0,97,102,95.1,21.23,1.895,58,22.75,92.42,2.37,2.453,1.011,76.2,47,1.04,2.365,2.0,1.0,4.0,1.536,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.64,68.32,42.17,21.39,9.17,3.46
00-0039404,Will Reichard,MIN,TB,K,K,ACT,2026,REG,3,2026 REG W3,401872959,2026-09-27T20:05Z,away,2.354,2.38,2.38,99.45,31,31,100.0,69,69,100.0,2024.0,69,69,100.0,20.55,1.988,53,22.0,90.74,2.34,2.34,0.978,68.0,27,1.04,2.354,2.0,1.0,4.0,1.528,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,90.42,68.24,42.05,21.18,8.93,3.26
00-0037224,Cameron Dicker,LAC,BUF,K,K,ACT,2026,REG,3,2026 REG W3,401872953,2026-09-27T17:00Z,away,2.2,2.31,2.31,95.46,34,35,97.14,102,107,95.33,2023.0,102,107,95.33,14.66,1.559,55,21.75,90.03,2.21,2.293,0.967,74.1,47,1.04,2.2,2.0,0.0,4.0,1.48,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,88.94,64.52,37.8,18.05,7.21,2.54
00-0035269,Matt Gay,LV,NO,K,K,ACT,2026,REG,3,2026 REG W3,401872961,2026-09-27T20:25Z,away,2.142,2.16,2.16,99.1,26,26,100.0,94,95,98.95,2023.0,94,95,98.95,17.41,1.857,50,20.75,88.44,2.25,2.25,0.922,80.3,45,1.04,2.142,2.0,0.0,4.0,1.465,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,88.04,63.07,36.37,16.98,6.68,2.23
00-0032569,Wil Lutz,DEN,LAR,K,K,ACT,2026,REG,3,2026 REG W3,401872962,2026-09-28T00:20Z,home,2.046,2.06,2.06,98.9,43,43,100.0,119,121,98.35,2023.0,119,121,98.35,18.99,1.867,56,21.5,87.22,2.07,2.07,0.956,74.2,53,1.04,2.046,2.0,0.0,4.0,1.426,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,87.09,60.76,33.55,15.08,5.61,1.86
00-0040899,Trey Smack,GB,ATL,K,K,ACT,2026,REG,3,2026 REG W3,401872948,2026-09-25T00:15Z,home,2.052,2.26,2.26,90.6,0,0,,0,0,,,0,0,,21.25,2.4,57,24.5,89.62,1.675,2.0,1.089,55.0,2,1.04,2.052,2.0,0.0,4.0,1.437,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,86.99,60.64,33.81,15.31,5.89,1.91
00-0034161,Daniel Carlson,NO,LV,K,K,ACT,2026,REG,3,2026 REG W3,401872961,2026-09-27T20:25Z,home,1.892,2.04,2.04,92.55,21,22,95.45,76,79,96.2,2023.0,76,79,96.2,21.84,2.266,52,23.75,86.97,1.797,1.857,1.056,71.9,44,1.04,1.892,2.0,0.0,4.0,1.377,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,84.88,56.32,29.39,12.59,4.38,1.26
00-0036816,Riley Patterson,MIA,KC,K,K,ACT,2026,REG,3,2026 REG W3,401872952,2026-09-27T17:00Z,home,1.792,1.83,1.83,97.75,34,35,97.14,93,97,95.88,2023.0,93,97,95.88,18.03,1.906,54,17.0,83.89,2.26,2.323,0.756,65.0,35,1.04,1.792,2.0,0.0,4.0,1.337,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,83.43,53.42,26.76,10.73,3.54,1.07
00-0035358,Chase McLaughlin,TB,MIN,K,K,ACT,2026,REG,3,2026 REG W3,401872959,2026-09-27T20:05Z,home,1.783,1.84,1.84,96.88,32,33,96.97,126,129,97.67,2023.0,126,129,97.67,19.92,1.919,56,20.5,84.19,1.947,1.947,0.911,80.7,52,1.04,1.783,2.0,0.0,4.0,1.339,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,83.03,53.16,26.58,10.71,3.49,1.04
00-0038567,Chad Ryland,ARI,SF,K,K,ACT,2026,REG,3,2026 REG W3,401872958,2026-09-27T20:05Z,away,1.761,1.78,1.78,98.9,36,36,100.0,86,88,97.73,2023.0,86,88,97.73,18.21,1.896,52,19.5,83.21,1.98,1.98,0.867,80.7,43,1.04,1.761,2.0,0.0,4.0,1.329,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,82.76,52.47,25.98,10.27,3.41,0.93
00-0035192,Joey Slye,TEN,NYG,K,K,ACT,2026,REG,3,2026 REG W3,401872956,2026-09-27T17:00Z,away,1.67,1.73,1.73,96.58,26,27,96.3,83,88,94.32,2023.0,83,88,94.32,17.19,1.781,52,18.5,82.33,1.977,2.027,0.822,74.2,46,1.04,1.67,1.0,0.0,3.0,1.287,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,81.23,49.89,23.44,8.83,2.7,0.72
00-0038905,Blake Grupe,NYJ,DET,K,K,ACT,2026,REG,3,2026 REG W3,401872954,2026-09-27T17:00Z,away,1.596,1.63,1.63,98.0,25,25,100.0,96,98,97.96,2023.0,96,98,97.96,13.77,1.361,52,20.5,80.34,1.717,1.717,0.911,73.4,42,1.04,1.596,1.0,0.0,3.0,1.263,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,79.69,47.38,21.61,7.83,2.32,0.6
00-0038428,Andre Szmyt,CLE,CAR,K,K,ACT,2026,REG,3,2026 REG W3,401872949,2026-09-27T17:00Z,home,1.584,1.66,1.66,95.58,25,26,96.15,25,26,96.15,2025.0,25,26,96.15,14.94,1.374,54,20.0,80.94,1.793,1.793,0.889,78.2,16,1.04,1.584,1.0,0.0,3.0,1.256,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,79.56,47.01,21.2,7.68,2.29,0.55
00-0025565,Nick Folk,ATL,GB,K,K,ACT,2026,REG,3,2026 REG W3,401872948,2026-09-25T00:15Z,away,1.526,1.55,1.55,98.2,22,22,100.0,75,77,97.4,2023.0,75,77,97.4,18.31,1.748,52,19.0,78.68,1.76,1.76,0.844,73.4,39,1.04,1.526,1.0,0.0,3.0,1.236,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,78.13,45.07,19.87,6.95,1.95,0.48
00-0041182,Drew Stevens,WAS,SEA,K,K,ACT,2026,REG,3,2026 REG W3,401872955,2026-09-27T17:00Z,home,1.408,1.55,1.55,90.6,0,0,,0,0,,,0,0,,20.96,2.396,55,16.75,78.74,1.675,2.0,0.744,55.0,2,1.04,1.408,1.0,0.0,3.0,1.192,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,75.4,40.89,16.97,5.61,1.48,0.34
