Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-15,Miami Marlins @ Cincinnati Reds,Great American Ball Park,1.045,1.007,83.0,82.0,1.7,WSW,247.0,27.0,Overcast,3.0,4.3,56.6,C,92.0,Cincinnati Reds,Sal Stewart,Ryan Gusto,0.0,0,0,3.7,1.12,1.26,0.9,0.76,2.87,60.0,2.6,1|8|2|1|1,08/14|08/13|08/12|08/11|08/09,2.5,1|8|2|1|1|2|0|5|2|3,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,2.6,1|8|2|1|1|2|0|5|2|3|3|0|8|2|1,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,91.1,73.0,51.3,32.9,19.4,10.2,5.0,3.17,153.8
2026-08-15,Miami Marlins @ Cincinnati Reds,Great American Ball Park,1.045,1.007,83.0,82.0,1.7,WSW,247.0,27.0,Overcast,3.0,4.3,56.6,C,92.0,Cincinnati Reds,Elly De La Cruz,Ryan Gusto,0.0,0,0,4.8,1.12,1.06,0.88,0.88,2.82,53.3,1.2,0|2|0|4|0,08/14|08/13|08/12|08/11|08/09,1.8,0|2|0|4|0|0|3|3|1|5,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,1.93,0|2|0|4|0|0|3|3|1|5|3|0|2|6|0,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,90.9,72.8,50.4,31.3,18.1,9.3,4.8,2.41,124.8
2026-08-15,Miami Marlins @ Cincinnati Reds,Great American Ball Park,1.045,1.007,83.0,82.0,1.7,WSW,247.0,27.0,Overcast,3.0,4.3,56.6,C,92.0,Cincinnati Reds,Jose Trevino,Ryan Gusto,0.0,0,0,4.2,1.12,1.26,0.51,0.86,2.62,40.0,1.0,0|0|2|3|0,08/12|08/08|08/05|08/01|07/28,1.3,0|0|2|3|0|0|1|7|0|0,08/12|08/08|08/05|08/01|07/28|07/26|07/21|07/18|07/11|07/08,2.07,0|0|2|3|0|0|1|7|0|0|5|7|0|5|1,08/12|08/08|08/05|08/01|07/28|07/26|07/21|07/18|07/11|07/08|07/04|07/02|06/30|06/27|06/24,88.8,68.8,45.9,28.4,15.3,7.9,3.8,2.52,122.8
2026-08-15,San Diego Padres @ Cleveland Guardians,Progressive Field,0.995,1.004,76.8,71.0,5.4,SE,132.0,7.0,Overcast,1.8,2.6,54.0,C,92.0,Cleveland Guardians,Chase DeLauter,Unknown,0.0,0,0,4.4,1.0,1.38,0.84,0.46,2.68,60.0,2.4,1|2|3|5|1,08/14|08/13|08/12|08/11|08/09,2.3,1|2|3|5|1|1|3|5|0|2,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,2.33,1|2|3|5|1|1|3|5|0|2|6|4|0|2|0,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28,89.7,69.4,47.3,29.2,16.4,8.5,4.3,2.75,138.1
2026-08-15,San Diego Padres @ Cleveland Guardians,Progressive Field,0.995,1.004,76.8,71.0,5.4,SE,132.0,7.0,Overcast,1.8,2.6,54.0,C,92.0,Cleveland Guardians,Angel Martínez,Unknown,0.0,0,0,4.8,1.0,1.17,0.42,0.84,2.42,46.7,2.0,0|1|5|1|3,08/14|08/13|08/12|08/11|08/08,2.6,0|1|5|1|3|9|3|2|2|0,08/14|08/13|08/12|08/11|08/08|08/07|08/06|08/05|08/04|08/02,1.93,0|1|5|1|3|9|3|2|2|0|3|0|0|0|0,08/14|08/13|08/12|08/11|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/26,87.2,64.9,41.9,23.7,12.3,6.2,2.9,2.37,118.8
2026-08-15,San Diego Padres @ Cleveland Guardians,Progressive Field,0.995,1.004,76.8,71.0,5.4,SE,132.0,7.0,Overcast,1.8,2.6,54.0,C,92.0,Cleveland Guardians,Steven Kwan,Unknown,0.0,0,0,3.7,1.0,1.42,0.65,0.26,2.31,66.7,2.2,2|0|2|4|3,08/14|08/13|08/12|08/11|08/09,2.3,2|0|2|4|3|1|6|2|1|2,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/05|08/04|08/02,2.4,2|0|2|4|3|1|6|2|1|2|5|2|5|0|1,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/05|08/04|08/02|08/01|07/31|07/29|07/28|07/28,85.5,61.5,38.8,22.1,11.6,5.8,2.9,2.73,137.3
2026-08-15,Colorado Rockies @ San Francisco Giants,Oracle Park,0.965,0.999,65.1,84.0,8.6,W,260.0,0.0,Partly cloudy,-0.6,-0.9,48.7,C,92.0,Colorado Rockies,Jake McCarthy,Logan Webb,1.0,1,1,4.0,0.87,1.14,0.71,0.53,2.35,53.3,0.8,0|0|0|1|3,08/14|08/12|08/11|08/10|08/09,2.8,0|0|0|1|3|11|3|1|5|4,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03,2.67,0|0|0|1|3|11|3|1|5|4|5|4|0|0|3,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28,86.7,63.0,40.2,23.2,12.4,5.6,2.6,3.21,149.9
2026-08-15,Colorado Rockies @ San Francisco Giants,Oracle Park,0.965,0.999,65.1,84.0,8.6,W,260.0,0.0,Partly cloudy,-0.6,-0.9,48.7,C,92.0,Colorado Rockies,Brett Sullivan,Logan Webb,0.667,2,3,4.8,0.87,0.79,0.57,0.57,1.91,46.7,2.4,2|5|0|5|0,08/14|08/12|08/10|08/09|08/07,2.1,2|5|0|5|0|0|5|3|0|1,08/14|08/12|08/10|08/09|08/07|08/05|08/02|07/29|07/26|07/25,1.8,2|5|0|5|0|0|5|3|0|1|1|0|2|2|1,08/14|08/12|08/10|08/09|08/07|08/05|08/02|07/29|07/26|07/25|07/22|07/20|07/18|07/11|07/08,81.9,54.0,30.2,14.3,6.2,2.7,1.0,2.23,110.6
2026-08-15,Colorado Rockies @ San Francisco Giants,Oracle Park,0.965,0.999,65.1,84.0,8.6,W,260.0,0.0,Partly cloudy,-0.6,-0.9,48.7,C,92.0,Colorado Rockies,Cole Carrigg,Logan Webb,1.0,1,1,4.7,0.87,1.12,0.42,0.35,1.89,40.0,2.0,1|2|0|1|6,08/12|08/11|08/10|08/09|08/08,2.0,1|2|0|1|6|0|0|1|4|5,08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02,1.8,1|2|0|1|6|0|0|1|4|5|0|0|0|4|3,08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26,80.5,52.6,29.4,14.4,6.8,2.9,1.2,2.09,102.9
2026-08-15,Chicago White Sox @ Detroit Tigers,Comerica Park,0.982,1.006,84.3,50.0,5.6,S,187.0,5.0,Partly cloudy,2.8,4.1,56.2,C,92.0,Detroit Tigers,Kevin McGonigle,Anthony Kay,0.333,1,3,3.7,1.01,1.23,1.16,0.84,3.23,60.0,2.4,2|2|1|6|1,08/14|08/13|08/12|08/11|08/09,2.7,2|2|1|6|1|3|4|7|0|1,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,3.33,2|2|1|6|1|3|4|7|0|1|1|7|5|1|9,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28,93.4,77.6,58.2,39.4,24.9,14.0,7.5,4.13,188.8
