Run Timestamp,Target Date,Player ID,Player,Team,Game,Game Number,Model Version,Recommended Direction,Model Line,Projected FS,Sim Mean,Recommended Probability %,AI Score,Grade,Projection Edge,Lineup Spot,Lineup Source,Opp Pitcher,Opp Pitcher Hand,Weather Factor,Weather Note,Change From Previous,Change Reason
2026-07-31T15:28:25-07:00,2026-07-31,,Taylor Ward,BAL,PHI @ BAL,1,V5 Stable,MORE,5.5,7.89,7.89,68.6,207.81,A-,2.39,4,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Isaac Collins,KC,KC @ COL,1,V5 Stable,MORE,6.5,8.65,8.65,58.3,207.7,A-,2.15,6,Today Posted,Tomoyuki Sugano,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,William Contreras,MIL,MIL @ LAA,1,V5 Stable,MORE,6.0,8.26,8.26,58.2,207.53,B+,2.26,4,Today Posted,Ryan Johnson,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Otto Lopez,MIA,MIA @ NYM,1,V5 Stable,MORE,4.0,7.46,7.46,67.8,203.33,B+,3.46,3,Today Posted,Kodai Senga,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Brady House,WSH,WSH @ ATL,1,V5 Stable,MORE,5.0,8.45,8.45,66.2,202.84,B+,3.45,5,Today Posted,Bryce Elder,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Coby Mayo,BAL,PHI @ BAL,1,V5 Stable,MORE,5.5,8.55,8.55,67.2,202.53,B+,3.05,7,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Francisco Lindor,NYM,MIA @ NYM,1,V5 Stable,MORE,5.0,7.3,7.3,61.4,202.37,B+,2.3,2,Today Posted,Janson Junk,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Javier Báez,DET,DET @ ATH,1,V5 Stable,MORE,5.5,8.34,8.34,68.3,201.35,B+,2.84,8,Today Posted,Jeffrey Springs,L,1.055,hot,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Gabriel Moreno,ARI,ARI @ CLE,1,V5 Stable,MORE,5.0,7.33,7.33,65.0,200.49,B+,2.33,3,Today Posted,Tanner Bibee,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Yandy Díaz,TB,CWS @ TB,1,V5 Stable,MORE,5.0,7.78,7.78,66.6,200.0,B+,2.78,1,Today Posted,Erick Fedde,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Ryan O'Hearn,PIT,PIT @ CIN,1,V5 Stable,MORE,4.5,7.65,7.65,64.2,199.42,B+,3.15,5,Today Posted,Hunter Greene,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,José Ramírez,CLE,ARI @ CLE,1,V5 Stable,MORE,5.0,7.45,7.45,66.2,199.19,B+,2.45,2,Today Posted,Mitch Bratt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Munetaka Murakami,CWS,CWS @ TB,1,V5 Stable,MORE,4.5,7.2,7.2,60.3,198.92,B+,2.7,2,Today Posted,Nick Martinez,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Luis Lara,MIL,MIL @ LAA,1,V5 Stable,MORE,5.0,7.83,7.83,68.0,198.92,B+,2.83,7,Today Posted,Ryan Johnson,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Nick Gonzales,PIT,PIT @ CIN,1,V5 Stable,MORE,5.0,7.33,7.33,66.0,198.7,B+,2.33,6,Today Posted,Hunter Greene,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Drake Baldwin,ATL,WSH @ ATL,1,V5 Stable,MORE,4.0,6.78,6.78,58.6,198.24,B+,2.78,2,Today Posted,Foster Griffin,L,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Jake McCarthy,COL,KC @ COL,1,V5 Stable,MORE,4.5,6.98,6.98,62.3,197.61,B+,2.48,1,Today Posted,Michael Wacha,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Kyle Karros,COL,KC @ COL,1,V5 Stable,MORE,5.0,7.67,7.67,63.9,197.16,B+,2.67,5,Today Posted,Michael Wacha,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Dylan Crews,WSH,WSH @ ATL,1,V5 Stable,MORE,5.0,7.51,7.51,62.2,196.62,B+,2.51,3,Today Posted,Bryce Elder,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Liam Hicks,MIA,MIA @ NYM,1,V5 Stable,MORE,5.5,7.47,7.47,67.0,196.34,B+,1.97,1,Today Posted,Kodai Senga,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Julio Rodríguez,SEA,MIN @ SEA,1,V5 Stable,MORE,5.5,7.47,7.47,63.4,195.67,B+,1.97,2,Last 7 Confirmed,Zebby Matthews,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Jackson Merrill,SD,SF @ SD,1,V5 Stable,MORE,5.0,6.82,6.82,58.9,195.63,B+,1.82,5,Today Posted,Carson Whisenhunt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Ben Rice,NYY,NYY @ CHC,1,V5 Stable,MORE,4.5,7.6,7.6,61.9,194.4,B+,3.1,2,Today Posted,Shota Imanaga,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Jake Mangum,PIT,PIT @ CIN,1,V5 Stable,MORE,5.0,7.25,7.25,67.6,193.21,B+,2.25,1,Today Posted,Hunter Greene,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Kyle Schwarber,PHI,PHI @ BAL,1,V5 Stable,MORE,5.0,7.41,7.41,62.3,190.82,B+,2.41,2,Today Posted,Brandon Young,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Xavier Edwards,MIA,MIA @ NYM,1,V5 Stable,MORE,5.0,7.06,7.06,66.5,190.23,B+,2.06,2,Today Posted,Kodai Senga,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Ronald Acuña Jr.,ATL,WSH @ ATL,1,V5 Stable,MORE,3.5,6.24,6.24,60.8,188.46,B+,2.74,1,Today Posted,Foster Griffin,L,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Sal Stewart,CIN,PIT @ CIN,1,V5 Stable,MORE,4.5,6.8,6.8,59.6,187.7,B+,2.3,2,Today Posted,Paul Skenes,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,A.J. Ewing,NYM,MIA @ NYM,1,V5 Stable,MORE,4.5,6.7,6.7,63.2,187.65,B+,2.2,1,Today Posted,Janson Junk,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Jonathan Aranda,TB,CWS @ TB,1,V5 Stable,MORE,5.0,7.42,7.42,65.1,187.04,B,2.42,2,Today Posted,Erick Fedde,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Luis Rengifo,SD,SF @ SD,1,V5 Stable,MORE,5.0,6.82,6.82,61.5,187.01,B,1.82,2,Today Posted,Carson Whisenhunt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Nick Kurtz,ATH,DET @ ATH,1,V5 Stable,MORE,5.0,7.63,7.63,62.1,186.66,B,2.63,1,Today Posted,TBD,R,1.055,hot,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Matt Olson,ATL,WSH @ ATL,1,V5 Stable,MORE,3.5,6.79,6.79,61.4,186.41,B,3.29,3,Today Posted,Foster Griffin,L,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Corbin Carroll,ARI,ARI @ CLE,1,V5 Stable,MORE,4.5,6.71,6.71,63.6,186.28,B,2.21,1,Today Posted,Tanner Bibee,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Wyatt Langford,TEX,TEX @ HOU,1,V5 Stable,MORE,3.5,6.31,6.31,62.2,185.95,B,2.81,2,Today Posted,Hunter Brown,R,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Cooper Pratt,MIL,MIL @ LAA,1,V5 Stable,MORE,4.5,6.81,6.81,62.2,185.83,B,2.31,9,Today Posted,Ryan Johnson,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Leody Taveras,BAL,PHI @ BAL,1,V5 Stable,MORE,5.0,7.15,7.15,63.6,184.74,B,2.15,5,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Trea Turner,PHI,PHI @ BAL,1,V5 Stable,MORE,3.0,6.05,6.05,62.2,183.83,B,3.05,1,Today Posted,Brandon Young,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Alex Bregman,CHC,NYY @ CHC,1,V5 Stable,MORE,4.0,6.04,6.04,58.3,183.8,B,2.04,4,Today Posted,Will Warren,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Bryce Harper,PHI,PHI @ BAL,1,V5 Stable,MORE,5.0,6.67,6.67,58.2,182.95,B,1.67,3,Today Posted,Brandon Young,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Willson Contreras,BOS,BOS @ LAD,1,V5 Stable,MORE,4.0,6.36,6.36,64.4,182.85,B,2.36,4,Last 7 Confirmed,Edgardo Henriquez,R,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Pedro Ramírez,CHC,NYY @ CHC,1,V5 Stable,MORE,4.5,6.57,6.57,62.9,181.22,B,2.07,2,Today Posted,Will Warren,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,TJ Rumfield,COL,KC @ COL,1,V5 Stable,MORE,5.0,6.78,6.78,61.0,180.59,B,1.78,4,Today Posted,Michael Wacha,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Freddie Freeman,LAD,BOS @ LAD,1,V5 Stable,MORE,4.5,6.63,6.63,64.1,179.51,B,2.13,4,Today Posted,Ranger Suarez,L,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Angel Martínez,CLE,ARI @ CLE,1,V5 Stable,MORE,5.0,7.01,7.01,62.0,179.18,B,2.01,1,Today Posted,Mitch Bratt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Brandon Nimmo,TEX,TEX @ HOU,1,V5 Stable,MORE,4.0,6.29,6.29,58.1,178.3,B,2.29,4,Today Posted,Hunter Brown,R,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Kody Clemens,MIN,MIN @ SEA,1,V5 Stable,MORE,2.5,6.39,6.39,70.1,177.36,B,3.89,3,Today Posted,Bryce Miller,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Joe Mack,MIA,MIA @ NYM,1,V5 Stable,MORE,5.0,7.22,7.22,59.5,176.92,B,2.22,8,Today Posted,Kodai Senga,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Isaac Paredes,HOU,TEX @ HOU,1,V5 Stable,MORE,4.0,6.41,6.41,61.2,176.86,B,2.41,3,Today Posted,Nathan Eovaldi,R,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Michael Busch,CHC,NYY @ CHC,1,V5 Stable,MORE,4.0,6.26,6.26,63.1,175.7,B,2.26,3,Today Posted,Will Warren,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Travis Bazzana,CLE,ARI @ CLE,1,V5 Stable,MORE,4.0,6.21,6.21,65.1,175.37,B,2.21,7,Today Posted,Mitch Bratt,L,1.0,neutral,0.0,Initial V5 model run
