player_key,player_id,player_name,team,opponent,position,depth_chart_position,roster_status,years_exp,game_id,game_date,game_name
dante miller__NYG,00-0039230,Dante Miller,NYG,NYJ,RB,RB,ACT,2.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
dareke young__LV,00-0037093,Dareke Young,LV,SF,WR,WR,ACT,4.0,2026_PRE_W3_SF_LV,,SF at LV
darius cooper__PHI,00-0040024,Darius Cooper,PHI,CIN,WR,WR,ACT,1.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
darius slayton__NYG,00-0035535,Darius Slayton,NYG,NYJ,WR,WR,ACT,7.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
darnell mooney__NYG,00-0036309,Darnell Mooney,NYG,NYJ,WR,WR,ACT,6.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
davante adams__LAR,00-0031381,Davante Adams,LAR,LAC,WR,WR,ACT,12.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
david montgomery__HOU,00-0035685,David Montgomery,HOU,CAR,RB,RB,ACT,7.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
david moore__CAR,00-0033589,David Moore,CAR,HOU,WR,WR,ACT,9.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
david sills__TB,00-0035359,David Sills,TB,JAX,WR,WR,ACT,7.0,2026_PRE_W3_TB_JAX,,TB at JAX
davis mills__HOU,00-0036898,Davis Mills,HOU,CAR,QB,QB,ACT,5.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
davon booth__CLE,00-0041277,Davon Booth,CLE,NE,RB,RB,ACT,0.0,2026_PRE_W3_NE_CLE,,NE at CLE
dayton wade__BAL,00-0039259,Dayton Wade,BAL,WAS,WR,WR,ACT,2.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
de von achane__MIA,00-0039040,De'Von Achane,MIA,ATL,RB,RB,ACT,3.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
de zhaun stribling__SF,00-0041035,De'Zhaun Stribling,SF,LV,WR,WR,ACT,0.0,2026_PRE_W3_SF_LV,,SF at LV
dean connors__LAR,00-0041415,Dean Connors,LAR,LAC,RB,RB,ACT,0.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
dean patterson__TB,00-0041435,Dean Patterson,TB,JAX,WR,WR,ACT,0.0,2026_PRE_W3_TB_JAX,,TB at JAX
deejay dallas__JAX,00-0036425,DeeJay Dallas,JAX,TB,RB,RB,ACT,6.0,2026_PRE_W3_TB_JAX,,TB at JAX
deion burks__IND,00-0041132,Deion Burks,IND,DET,WR,WR,ACT,0.0,2026_PRE_W3_DET_IND,,DET at IND
demarcus robinson__SF,00-0032775,Demarcus Robinson,SF,LV,WR,WR,ACT,10.0,2026_PRE_W3_SF_LV,,SF at LV
demario douglas__NE,00-0038621,DeMario Douglas,NE,CLE,WR,WR,ACT,3.0,2026_PRE_W3_NE_CLE,,NE at CLE
demond claiborne__MIN,00-0041104,Demond Claiborne,MIN,DEN,RB,RB,ACT,0.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
dennis houston__TB,00-0037570,Dennis Houston,TB,JAX,WR,WR,ACT,4.0,2026_PRE_W3_TB_JAX,,TB at JAX
denzel boston__CLE,00-0041037,Denzel Boston,CLE,NE,WR,WR,ACT,0.0,2026_PRE_W3_NE_CLE,,NE at CLE
derius davis__LAC,00-0038573,Derius Davis,LAC,LAR,WR,WR,ACT,3.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
derrick henry__BAL,00-0032764,Derrick Henry,BAL,WAS,RB,RB,ACT,10.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
deshaun watson__CLE,00-0033537,Deshaun Watson,CLE,NE,QB,QB,ACT,9.0,2026_PRE_W3_NE_CLE,,NE at CLE
desmond reid__BUF,00-0041273,Desmond Reid,BUF,PIT,RB,RB,ACT,0.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
devaughn vele__NO,00-0039424,Devaughn Vele,NO,DAL,WR,WR,ACT,2.0,2026_PRE_W3_NO_DAL,,NO at DAL
devin neal__NO,00-0040202,Devin Neal,NO,DAL,RB,RB,ACT,1.0,2026_PRE_W3_NO_DAL,,NO at DAL
devin singletary__NYG,00-0035250,Devin Singletary,NYG,NYJ,RB,RB,ACT,7.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
devonta smith__PHI,00-0036912,DeVonta Smith,PHI,CIN,WR,WR,ACT,5.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
devonte ross__LAC,00-0041380,Devonte Ross,LAC,LAR,WR,WR,ACT,0.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
devontez walker__BAL,00-0039792,Devontez Walker,BAL,WAS,WR,WR,ACT,2.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
diego pavia__BAL,00-0040985,Diego Pavia,BAL,WAS,QB,QB,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
dillon bell__MIN,00-0041342,Dillon Bell,MIN,DEN,WR,WR,ACT,0.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
dillon gabriel__CLE,00-0040704,Dillon Gabriel,CLE,NE,QB,QB,ACT,1.0,2026_PRE_W3_NE_CLE,,NE at CLE
dj giddens__IND,00-0040179,DJ Giddens,IND,DET,RB,RB,ACT,1.0,2026_PRE_W3_DET_IND,,DET at IND
dj moore__BUF,00-0034827,DJ Moore,BUF,PIT,WR,WR,ACT,8.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
dj uiagalelei__LAC,00-0040464,DJ Uiagalelei,LAC,LAR,QB,QB,ACT,1.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
dk metcalf__PIT,00-0035640,DK Metcalf,PIT,BUF,WR,WR,ACT,7.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
dohnte meyers__CIN,00-0040785,Dohnte Meyers,CIN,PHI,WR,WR,ACT,0.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
dominic lovett__DET,00-0040241,Dominic Lovett,DET,IND,WR,WR,ACT,1.0,2026_PRE_W3_DET_IND,,DET at IND
dominic richardson__DAL,00-0040937,Dominic Richardson,DAL,NO,RB,RB,ACT,0.0,2026_PRE_W3_NO_DAL,,NO at DAL
donaven mcculley__MIA,00-0041158,Donaven McCulley,MIA,ATL,WR,WR,ACT,0.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
donovan edwards__MIA,00-0040400,Donovan Edwards,MIA,ATL,RB,RB,ACT,1.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
dont e thornton jr__LV,00-0040581,Dont'e Thornton Jr.,LV,SF,WR,WR,ACT,1.0,2026_PRE_W3_SF_LV,,SF at LV
dontae fleming__MIN,00-0040498,Dontae Fleming,MIN,DEN,WR,WR,ACT,1.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
dontae mcmillan__BAL,00-0040984,Dontae McMillan,BAL,WAS,RB,RB,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
dontayvion wicks__PHI,00-0038393,Dontayvion Wicks,PHI,CIN,WR,WR,ACT,3.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
drake london__ATL,00-0037238,Drake London,ATL,MIA,WR,WR,ACT,4.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
drake maye__NE,00-0039851,Drake Maye,NE,CLE,QB,QB,ACT,2.0,2026_PRE_W3_NE_CLE,,NE at CLE
drew allar__PIT,00-0041565,Drew Allar,PIT,BUF,QB,QB,RES,0.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
drew lock__SEA,00-0035704,Drew Lock,SEA,KC,QB,QB,ACT,7.0,2026_PRE_W3_SEA_KC,,SEA at KC
dyami brown__WAS,00-0036626,Dyami Brown,WAS,BAL,WR,WR,ACT,5.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
dylan drummond__ATL,00-0038953,Dylan Drummond,ATL,MIA,WR,WR,ACT,3.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
dylan laube__LV,00-0039407,Dylan Laube,LV,SF,RB,RB,ACT,2.0,2026_PRE_W3_SF_LV,,SF at LV
dylan sampson__CLE,00-0040162,Dylan Sampson,CLE,NE,RB,RB,ACT,1.0,2026_PRE_W3_NE_CLE,,NE at CLE
e j horton__IND,00-0041229,E.J. Horton,IND,DET,WR,WR,ACT,0.0,2026_PRE_W3_DET_IND,,DET at IND
e j smith__KC,00-0040964,E.J. Smith,KC,SEA,RB,RB,ACT,0.0,2026_PRE_W3_SEA_KC,,SEA at KC
e j williams__LV,00-0041011,E.J. Williams,LV,SF,WR,WR,ACT,0.0,2026_PRE_W3_SF_LV,,SF at LV
easton stick__IND,00-0035282,Easton Stick,IND,DET,QB,QB,ACT,7.0,2026_PRE_W3_DET_IND,,DET at IND
efton chism iii__NE,00-0040563,Efton Chism III,NE,CLE,WR,WR,ACT,1.0,2026_PRE_W3_NE_CLE,,NE at CLE
eli heidenreich__PIT,00-0041490,Eli Heidenreich,PIT,BUF,RB,RB,ACT,0.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
eli pancol__IND,00-0040337,Eli Pancol,IND,DET,WR,WR,ACT,1.0,2026_PRE_W3_DET_IND,,DET at IND
elic ayomanor__TEN,00-0040170,Elic Ayomanor,TEN,CHI,WR,WR,ACT,1.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
elijah mitchell__PHI,00-0036567,Elijah Mitchell,PHI,CIN,RB,RB,ACT,5.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
elijah moore__PHI,00-0036980,Elijah Moore,PHI,CIN,WR,WR,ACT,5.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
elijah sarratt__BAL,00-0040876,Elijah Sarratt,BAL,WAS,WR,WR,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
elijah tau tolliver__BAL,00-0040991,Elijah Tau-Tolliver,BAL,WAS,RB,RB,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
