Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-22,Chicago Cubs @ Seattle Mariners,T-Mobile Park,0.97,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Chicago Cubs,Seiya Suzuki,Kade Anderson,0.0,0,0,4.5,1.0,0.95,0.63,0.67,2.15,2.0,0.0,5.0,3.89,20.4,40,111,67.5,1.4,1|0|0|4|2,08/21|08/19|08/18|08/17|08/16,2.6,1|0|0|4|2|2|6|0|6|5,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,2.27,1|0|0|4|2|2|6|0|6|5|0|4|0|2|2,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/08|08/07|08/06|08/05|08/04,79.5,56.6,35.7,20.9,11.4,5.7,2.9,2.83,61.2
2026-08-22,Athletics @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Isaac Paredes,Jacob Lopez,0.0,0,1,4.2,1.2,1.15,0.41,0.62,2.13,2.0,0.0,5.0,3.4,21.1,40,122,50.0,1.6,3|2|2|0|1,08/21|08/20|08/19|08/18|08/16,2.6,3|2|2|0|1|6|5|1|2|4,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10,2.07,3|2|2|0|1|6|5|1|2|4|0|1|4|0|0,08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04,78.9,55.4,35.3,20.6,11.2,5.8,3.0,2.36,53.2
2026-08-22,New York Mets @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,New York Mets,Bo Bichette,Luis Castillo,0.353,6,17,4.2,1.15,1.17,0.56,0.58,2.19,2.0,0.0,5.0,1.95,25.4,40,128,57.5,2.6,3|3|2|2|3,08/21|08/19|08/18|08/17|08/16,2.3,3|3|2|2|3|1|3|3|0|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,2.67,3|3|2|2|3|1|3|3|0|3|11|0|1|3|2,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,74.6,53.0,35.1,22.1,13.7,8.5,5.0,2.54,55.2
2026-08-22,Chicago Cubs @ Seattle Mariners,T-Mobile Park,0.97,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Chicago Cubs,Alex Bregman,Kade Anderson,0.0,0,0,4.5,1.0,1.14,0.63,0.76,2.4,1.0,0.0,6.0,1.02,30.8,40,126,55.0,3.0,8|0|4|3|0,08/21|08/19|08/18|08/17|08/16,3.5,8|0|4|3|0|1|0|0|13|6,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,3.4,8|0|4|3|0|1|0|0|13|6|6|1|2|5|2,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05,69.2,49.3,35.1,24.8,17.8,12.6,9.1,3.15,56.9
2026-08-22,Athletics @ Houston Astros,Daikin Park,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Houston Astros,Jeremy Peña,Jacob Lopez,0.0,0,3,4.2,1.2,0.95,0.72,0.51,2.17,2.0,0.0,5.0,2.54,21.9,40,78,57.5,1.8,0|0|3|2|4,08/19|08/18|08/16|08/15|08/14,1.3,0|0|3|2|4|1|0|3|0|0,08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,1.4,0|0|3|2|4|1|0|3|0|0|0|1|0|2|5,08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04|08/03|08/02,78.1,54.5,35.0,21.2,12.5,7.0,4.0,2.4,54.9
2026-08-22,Cincinnati Reds @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Corbin Carroll,Rhett Lowder,0.333,1,3,4.4,1.2,0.97,0.83,0.38,2.11,2.0,0.0,5.0,4.27,20.5,40,125,52.5,1.6,4|2|1|0|1,08/21|08/19|08/18|08/17|08/16,2.4,4|2|1|0|1|3|2|5|3|3,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,2.27,4|2|1|0|1|3|2|5|3|3|1|2|0|2|5,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,79.5,56.2,34.7,19.9,10.6,5.5,2.6,2.35,54.1
2026-08-22,Detroit Tigers @ Kansas City Royals,Kauffman Stadium,0.995,1.008,88.1,39.0,9.7,NNE,26.0,3.0,Clear,3.6,5.2,58.0,B,92.0,Kansas City Royals,Vinnie Pasquantino,Drew Anderson,1.0,1,1,4.2,1.0,1.16,0.59,0.43,2.08,2.0,0.0,5.0,4.48,20.7,40,84,57.5,3.6,5|1|8|3|1,08/21|08/20|08/19|08/18|08/17,2.6,5|1|8|3|1|0|4|0|2|2,08/21|08/20|08/19|08/18|08/17|07/28|07/25|07/24|07/23|07/22,2.4,5|1|8|3|1|0|4|0|2|2|3|1|2|3|1,08/21|08/20|08/19|08/18|08/17|07/28|07/25|07/24|07/23|07/22|07/21|07/20|07/18|07/17|07/12,79.3,55.8,34.6,18.6,10.4,5.3,2.6,2.56,56.6
2026-08-22,Cleveland Guardians @ Colorado Rockies,Coors Field,1.08,1.014,90.3,24.0,14.7,SSE,158.0,22.0,Partly cloudy,6.3,9.2,63.9,B,75.0,Colorado Rockies,Jake McCarthy,Tanner Bibee,0.4,2,5,4.3,0.94,1.04,0.69,0.5,2.31,2.0,0.0,5.0,1.34,21.2,40,109,57.5,2.2,1|2|4|1|3,08/21|08/19|08/18|08/17|08/16,1.3,1|2|4|1|3|1|0|0|0|1,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10,2.4,1|2|4|1|3|1|0|0|0|1|3|11|3|1|5,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/05|08/04,78.8,50.3,34.6,23.5,15.1,9.8,6.3,2.64,54.6
2026-08-22,Pittsburgh Pirates @ Los Angeles Dodgers,UNIQLO Field at Dodger Stadium,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Los Angeles Dodgers,Andy Pages,Jared Jones,0.0,0,2,4.3,1.05,1.07,0.53,0.5,2.12,2.0,0.0,5.0,2.99,20.1,40,127,50.0,2.6,0|2|1|7|3,08/21|08/19|08/18|08/17|08/16,2.1,0|2|1|7|3|0|6|0|1|1,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,2.0,0|2|1|7|3|0|6|0|1|1|0|3|2|3|1,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/05,79.9,54.7,34.5,19.9,10.9,6.0,3.3,2.44,53.4
2026-08-22,San Francisco Giants @ Boston Red Sox,Fenway Park,1.03,1.001,69.9,79.0,7.2,NE,54.0,8.0,Overcast,0.3,0.4,50.6,C,92.0,Boston Red Sox,Caleb Durbin,Blade Tidwell,0.0,0,0,4.2,1.0,1.0,0.66,0.61,2.18,2.0,0.0,5.0,1.81,25.7,40,119,57.5,2.4,2|0|3|6|1,08/21|08/19|08/18|08/17|08/16,2.8,2|0|3|6|1|2|1|9|4|0,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11,2.67,2|0|3|6|1|2|1|9|4|0|0|0|3|3|6,08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06,74.3,51.2,34.4,22.1,14.1,8.5,5.0,2.73,55.6
