Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-25,Texas Rangers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Braden Montgomery,Jacob deGrom,0.0,0,2,4.2,0.91,0.77,0.44,0.5,1.73,1.0,0.0,4.0,1.57,30.6,40,63,45.0,2.0,2|0|4|0|4,08/24|08/23|08/22|08/20|08/19,2.1,2|0|4|0|4|0|1|1|3|6,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.87,2|0|4|0|4|0|1|1|3|6|2|1|0|1|3,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08,69.3,42.6,26.1,15.5,8.8,5.0,2.8,2.21,45.2
2026-08-25,Cincinnati Reds @ San Francisco Giants,Oracle Park,0.965,1.0,69.1,67.0,14.8,W,281.0,0.0,Overcast,0.0,0.0,50.0,C,75.0,Cincinnati Reds,Sal Stewart,Adrian Houser,0.0,0,0,4.4,1.02,1.16,0.58,0.75,2.49,2.0,0.0,5.0,2.8,15.9,40,132,55.0,3.2,1|4|6|1|4,08/24|08/23|08/22|08/21|08/20,2.4,1|4|6|1|4|5|1|1|1|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/17|08/16,2.67,1|4|6|1|4|5|1|1|1|0|4|1|8|2|1,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/13|08/12|08/11,84.1,60.4,40.8,25.6,16.1,9.6,5.5,3.06,61.3
2026-08-25,Cincinnati Reds @ San Francisco Giants,Oracle Park,0.965,1.0,69.1,67.0,14.8,W,281.0,0.0,Overcast,0.0,0.0,50.0,C,75.0,Cincinnati Reds,Tyler Stephenson,Adrian Houser,0.0,0,1,3.6,1.02,0.84,0.51,0.5,1.87,1.0,0.0,5.0,1.66,28.0,40,101,45.0,1.8,2|1|5|1|0,08/24|08/23|08/22|08/20|08/19,1.3,2|1|5|1|0|0|1|0|3|0,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/17|08/16|08/15,1.8,2|1|5|1|0|0|1|0|3|0|2|7|0|3|2,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09,72.0,46.4,28.4,17.0,10.2,5.9,3.4,2.27,47.3
2026-08-25,Cincinnati Reds @ San Francisco Giants,Oracle Park,0.965,1.0,69.1,67.0,14.8,W,281.0,0.0,Overcast,0.0,0.0,50.0,C,75.0,Cincinnati Reds,Elly De La Cruz,Adrian Houser,0.0,0,3,4.4,1.02,0.9,0.64,0.35,1.81,1.0,0.0,5.0,1.39,33.4,40,113,55.0,2.8,1|2|9|0|2,08/24|08/23|08/22|08/21|08/20,2.0,1|2|9|0|2|2|0|4|0|0,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/17|08/16,1.73,1|2|9|0|2|2|0|4|0|0|0|0|2|0|4,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/17|08/16|08/15|08/14|08/13|08/12|08/11,66.6,43.2,27.9,17.4,10.7,6.5,3.8,2.27,48.3
2026-08-25,Cleveland Guardians @ Los Angeles Angels,Angel Stadium,1.0,1.008,89.9,42.0,8.9,WSW,245.0,1.0,Overcast,3.6,5.2,57.9,B,75.0,Cleveland Guardians,Steven Kwan,Walbert Ureña,0.5,1,2,4.5,0.85,1.06,0.67,0.21,1.95,2.0,0.0,4.0,10.82,15.6,40,121,62.5,2.6,3|4|0|3|3,08/24|08/23|08/22|08/21|08/20,2.4,3|4|0|3|3|0|4|0|5|2,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/14,2.27,3|4|0|3|3|0|4|0|5|2|0|2|4|3|1,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08,84.5,55.5,30.5,14.6,6.2,2.3,0.9,2.44,56.9
2026-08-25,Cleveland Guardians @ Los Angeles Angels,Angel Stadium,1.0,1.008,89.9,42.0,8.9,WSW,245.0,1.0,Overcast,3.6,5.2,57.9,B,75.0,Cleveland Guardians,Chase DeLauter,Walbert Ureña,0.0,0,2,4.2,0.85,1.05,0.54,0.39,2.01,2.0,0.0,5.0,2.54,21.2,40,110,57.5,2.4,7|1|1|0|3,08/23|08/22|08/21|08/16|08/15,2.4,7|1|1|0|3|1|2|3|5|1,08/23|08/22|08/21|08/16|08/15|08/14|08/13|08/12|08/11|08/09,2.33,7|1|1|0|3|1|2|3|5|1|1|3|5|0|2,08/23|08/22|08/21|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,78.8,51.2,31.7,18.6,10.1,5.5,2.6,2.55,54.4
2026-08-25,Cleveland Guardians @ Los Angeles Angels,Angel Stadium,1.0,1.008,89.9,42.0,8.9,WSW,245.0,1.0,Overcast,3.6,5.2,57.9,B,75.0,Cleveland Guardians,José Ramírez,Walbert Ureña,0.0,0,2,4.3,0.85,0.8,0.55,0.26,1.62,1.0,0.0,4.0,2.46,28.1,40,97,55.0,1.2,1|2|0|3|0,08/24|08/22|08/21|08/20|08/19,1.7,1|2|0|3|0|5|2|3|0|1,08/24|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/13|08/12,1.8,1|2|0|3|0|5|2|3|0|1|1|3|0|3|3,08/24|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/13|08/12|08/11|08/09|08/08|08/07|08/06,72.0,43.2,23.8,11.8,6.1,2.9,1.5,2.08,47.1
2026-08-25,Colorado Rockies @ Washington Nationals,Nationals Park,1.0,1.005,82.8,42.0,4.8,NNW,347.0,0.0,Mainly clear,2.2,3.1,54.7,C,92.0,Colorado Rockies,Willi Castro,Andrew Alvarez,0.5,1,2,4.0,0.95,0.92,0.6,0.45,1.93,2.0,0.0,4.0,4.91,21.3,40,112,62.5,1.6,3|1|2|2|0,08/24|08/23|08/22|08/21|08/19,2.1,3|1|2|2|0|7|2|2|1|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,1.93,3|1|2|2|0|7|2|2|1|1|5|0|1|2|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,78.7,52.8,30.6,16.1,8.0,3.8,1.6,2.42,55.5
2026-08-25,Colorado Rockies @ Washington Nationals,Nationals Park,1.0,1.005,82.8,42.0,4.8,NNW,347.0,0.0,Mainly clear,2.2,3.1,54.7,C,92.0,Colorado Rockies,Jake McCarthy,Andrew Alvarez,0.667,2,3,4.3,0.95,1.06,0.55,0.4,2.05,2.0,0.0,5.0,2.03,20.4,40,112,55.0,1.4,1|1|2|1|2,08/24|08/23|08/22|08/21|08/19,1.6,1|1|2|1|2|4|1|3|1|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.07,1|1|2|1|2|4|1|3|1|0|0|0|1|3|11,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,79.6,50.4,31.1,18.9,11.2,6.5,3.6,2.42,52.6
2026-08-25,Colorado Rockies @ Washington Nationals,Nationals Park,1.0,1.005,82.8,42.0,4.8,NNW,347.0,0.0,Mainly clear,2.2,3.1,54.7,C,92.0,Colorado Rockies,Mickey Moniak,Andrew Alvarez,0.0,0,0,4.0,0.95,0.78,0.42,0.6,1.78,1.0,0.0,4.0,1.47,29.1,40,92,47.5,2.2,2|0|3|0|6,08/24|08/23|08/22|08/21|08/19,1.8,2|0|3|0|6|0|4|0|1|2,08/24|08/23|08/22|08/21|08/19|08/18|08/16|08/15|08/14|08/12,1.4,2|0|3|0|6|0|4|0|1|2|1|0|1|0|1,08/24|08/23|08/22|08/21|08/19|08/18|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08|08/07,70.9,43.2,26.4,15.8,9.2,5.1,3.1,2.27,46.4
