rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,ladder_yards,probability_pct,grade
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,110,62.6,SOLID
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,120,56.5,LEAN
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,130,50.2,LEAN
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,140,44.0,COIN FLIP
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,150,37.9,LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,160,32.1,LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,170,26.8,LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,180,21.8,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,190,17.5,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,200,13.7,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,210,10.6,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,220,8.1,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,230,6.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,240,4.3,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,250,3.0,VERY LOW
2,2026,PRE,0,2026 Hall of Fame Game,00-0041149,Haynes King,CAR,ARI,away,2026-08-06T17:00:00-07:00,ACT,0,16.0,TEAM_PRIOR_NO_NFL_HISTORY,TEAM_BLEND,29.5,6.6,195.7,0,29.5,18.0,AUTO_PRESEASON_USAGE,rookie,6.6,130.3,63.9,,,,49.0,87.6,130.4,173.4,212.3,260,2.1,VERY LOW
